time,year,month,ag_year,sm_c4grass
1/10/83,1983,1,1983,85.41
1/20/83,1983,1,1983,85.45
1/31/83,1983,1,1983,92.27
2/10/83,1983,2,1983,93.13
2/20/83,1983,2,1983,95.74
2/28/83,1983,2,1983,88.86
3/10/83,1983,3,1983,84.81
3/20/83,1983,3,1983,89.23
3/31/83,1983,3,1983,85.43
4/10/83,1983,4,1983,76.37
4/20/83,1983,4,1983,72.09
4/30/83,1983,4,1983,58.66
5/10/83,1983,5,1983,47.41
5/20/83,1983,5,1983,38.13
5/31/83,1983,5,1983,31.5
6/10/83,1983,6,1983,26.74
6/20/83,1983,6,1983,23.21
6/30/83,1983,6,1983,20.29
7/10/83,1983,7,1983,17.83
7/20/83,1983,7,1983,15.75
7/31/83,1983,7,1983,13.86
8/10/83,1983,8,1983,12.26
8/20/83,1983,8,1983,10.94
8/31/83,1983,8,1983,9.73
9/10/83,1983,9,1984,8.65
9/20/83,1983,9,1984,7.86
9/30/83,1983,9,1984,7.25
10/10/83,1983,10,1984,7.58
10/20/83,1983,10,1984,9.35
10/31/83,1983,10,1984,13.97
11/10/83,1983,11,1984,11
11/20/83,1983,11,1984,15.37
11/30/83,1983,11,1984,30.12
12/10/83,1983,12,1984,40.55
12/20/83,1983,12,1984,54.4
12/31/83,1983,12,1984,68.39
1/10/84,1984,1,1984,75.3
1/20/84,1984,1,1984,78.33
1/31/84,1984,1,1984,70.38
2/10/84,1984,2,1984,82.87
2/20/84,1984,2,1984,84.42
2/29/84,1984,2,1984,88.48
3/10/84,1984,3,1984,86.54
3/20/84,1984,3,1984,83.42
3/31/84,1984,3,1984,86.46
4/10/84,1984,4,1984,85.67
4/20/84,1984,4,1984,73.37
4/30/84,1984,4,1984,55.53
5/10/84,1984,5,1984,42.56
5/20/84,1984,5,1984,34.45
5/31/84,1984,5,1984,28.66
6/10/84,1984,6,1984,24.4
6/20/84,1984,6,1984,21.09
6/30/84,1984,6,1984,18.35
7/10/84,1984,7,1984,16.01
7/20/84,1984,7,1984,14.03
7/31/84,1984,7,1984,12.24
8/10/84,1984,8,1984,10.69
8/20/84,1984,8,1984,9.41
8/31/84,1984,8,1984,8.28
9/10/84,1984,9,1985,7.4
9/20/84,1984,9,1985,6.73
9/30/84,1984,9,1985,6.07
10/10/84,1984,10,1985,7.15
10/20/84,1984,10,1985,8.32
10/31/84,1984,10,1985,7.03
11/10/84,1984,11,1985,15.76
11/20/84,1984,11,1985,34.75
11/30/84,1984,11,1985,39.16
12/10/84,1984,12,1985,51.95
12/20/84,1984,12,1985,71.42
12/31/84,1984,12,1985,81.77
1/10/85,1985,1,1985,77.94
1/20/85,1985,1,1985,86.21
1/31/85,1985,1,1985,91.5
2/10/85,1985,2,1985,95.51
2/20/85,1985,2,1985,96.22
2/28/85,1985,2,1985,90.5
3/10/85,1985,3,1985,89.85
3/20/85,1985,3,1985,90.38
3/31/85,1985,3,1985,92.03
4/10/85,1985,4,1985,88.69
4/20/85,1985,4,1985,85.63
4/30/85,1985,4,1985,68.3
5/10/85,1985,5,1985,53.32
5/20/85,1985,5,1985,43.6
5/31/85,1985,5,1985,36.74
6/10/85,1985,6,1985,31.52
6/20/85,1985,6,1985,27.42
6/30/85,1985,6,1985,24
7/10/85,1985,7,1985,21.12
7/20/85,1985,7,1985,18.64
7/31/85,1985,7,1985,16.39
8/10/85,1985,8,1985,14.39
8/20/85,1985,8,1985,12.72
8/31/85,1985,8,1985,11.21
9/10/85,1985,9,1986,9.96
9/20/85,1985,9,1986,9.2
9/30/85,1985,9,1986,8.37
10/10/85,1985,10,1986,7.64
10/20/85,1985,10,1986,7.23
10/31/85,1985,10,1986,8.15
11/10/85,1985,11,1986,18.98
11/20/85,1985,11,1986,22.12
11/30/85,1985,11,1986,22.32
12/10/85,1985,12,1986,42.55
12/20/85,1985,12,1986,63.8
12/31/85,1985,12,1986,80.06
1/10/86,1986,1,1986,88.89
1/20/86,1986,1,1986,90.54
1/31/86,1986,1,1986,89.71
2/10/86,1986,2,1986,94.11
2/20/86,1986,2,1986,95.12
2/28/86,1986,2,1986,94.21
3/10/86,1986,3,1986,91.9
3/20/86,1986,3,1986,92.2
3/31/86,1986,3,1986,93
4/10/86,1986,4,1986,87.38
4/20/86,1986,4,1986,82.26
4/30/86,1986,4,1986,88.11
5/10/86,1986,5,1986,72.83
5/20/86,1986,5,1986,56.11
5/31/86,1986,5,1986,44.71
6/10/86,1986,6,1986,37.45
6/20/86,1986,6,1986,32.53
6/30/86,1986,6,1986,28.43
7/10/86,1986,7,1986,24.95
7/20/86,1986,7,1986,21.9
7/31/86,1986,7,1986,19.1
8/10/86,1986,8,1986,16.72
8/20/86,1986,8,1986,14.68
8/31/86,1986,8,1986,12.85
9/10/86,1986,9,1987,11.34
9/20/86,1986,9,1987,10.13
9/30/86,1986,9,1987,9.35
10/10/86,1986,10,1987,9.7
10/20/86,1986,10,1987,17.01
10/31/86,1986,10,1987,24.7
11/10/86,1986,11,1987,47.31
11/20/86,1986,11,1987,39.35
11/30/86,1986,11,1987,39.91
12/10/86,1986,12,1987,67.76
12/20/86,1986,12,1987,74.23
12/31/86,1986,12,1987,65.71
1/10/87,1987,1,1987,75.02
1/20/87,1987,1,1987,79.89
1/31/87,1987,1,1987,89.92
2/10/87,1987,2,1987,89.68
2/20/87,1987,2,1987,92.18
2/28/87,1987,2,1987,89.53
3/10/87,1987,3,1987,87.59
3/20/87,1987,3,1987,85.94
3/31/87,1987,3,1987,83.68
4/10/87,1987,4,1987,77.03
4/20/87,1987,4,1987,65.36
4/30/87,1987,4,1987,52
5/10/87,1987,5,1987,41.8
5/20/87,1987,5,1987,34.61
5/31/87,1987,5,1987,29.34
6/10/87,1987,6,1987,25.64
6/20/87,1987,6,1987,22.42
6/30/87,1987,6,1987,19.84
7/10/87,1987,7,1987,17.55
7/20/87,1987,7,1987,15.54
7/31/87,1987,7,1987,13.69
8/10/87,1987,8,1987,12.06
8/20/87,1987,8,1987,10.73
8/31/87,1987,8,1987,9.52
9/10/87,1987,9,1988,8.52
9/20/87,1987,9,1988,7.7
9/30/87,1987,9,1988,7.98
10/10/87,1987,10,1988,8.15
10/20/87,1987,10,1988,10.64
10/31/87,1987,10,1988,9.16
11/10/87,1987,11,1988,9.5
11/20/87,1987,11,1988,9.71
11/30/87,1987,11,1988,15.57
12/10/87,1987,12,1988,38.14
12/20/87,1987,12,1988,55.33
12/31/87,1987,12,1988,53.92
1/10/88,1988,1,1988,59.3
1/20/88,1988,1,1988,70.18
1/31/88,1988,1,1988,80.53
2/10/88,1988,2,1988,80.28
2/20/88,1988,2,1988,87.91
2/29/88,1988,2,1988,93.89
3/10/88,1988,3,1988,94.7
3/20/88,1988,3,1988,96.07
3/31/88,1988,3,1988,92.41
4/10/88,1988,4,1988,81.92
4/20/88,1988,4,1988,72.28
4/30/88,1988,4,1988,65.87
5/10/88,1988,5,1988,52.32
5/20/88,1988,5,1988,41.32
5/31/88,1988,5,1988,33.71
6/10/88,1988,6,1988,28.51
6/20/88,1988,6,1988,24.7
6/30/88,1988,6,1988,21.55
7/10/88,1988,7,1988,18.89
7/20/88,1988,7,1988,16.64
7/31/88,1988,7,1988,14.61
8/10/88,1988,8,1988,12.85
8/20/88,1988,8,1988,11.37
8/31/88,1988,8,1988,10.07
9/10/88,1988,9,1989,9.01
9/20/88,1988,9,1989,8.24
9/30/88,1988,9,1989,7.46
10/10/88,1988,10,1989,6.89
10/20/88,1988,10,1989,9.34
10/31/88,1988,10,1989,13.89
11/10/88,1988,11,1989,20.82
11/20/88,1988,11,1989,24.66
11/30/88,1988,11,1989,21.88
12/10/88,1988,12,1989,37.92
12/20/88,1988,12,1989,39.49
12/31/88,1988,12,1989,54.43
1/10/89,1989,1,1989,74.27
1/20/89,1989,1,1989,86.25
1/31/89,1989,1,1989,89.03
2/10/89,1989,2,1989,93.93
2/20/89,1989,2,1989,96.38
2/28/89,1989,2,1989,98.41
3/10/89,1989,3,1989,98.8
3/20/89,1989,3,1989,98.08
3/31/89,1989,3,1989,96.74
4/10/89,1989,4,1989,96.11
4/20/89,1989,4,1989,86.37
4/30/89,1989,4,1989,78.12
5/10/89,1989,5,1989,65.14
5/20/89,1989,5,1989,52.25
5/31/89,1989,5,1989,43.13
6/10/89,1989,6,1989,36.75
6/20/89,1989,6,1989,32.28
6/30/89,1989,6,1989,28.46
7/10/89,1989,7,1989,25.01
7/20/89,1989,7,1989,22.11
7/31/89,1989,7,1989,19.55
8/10/89,1989,8,1989,17.2
8/20/89,1989,8,1989,15.29
8/31/89,1989,8,1989,13.52
9/10/89,1989,9,1990,12.13
9/20/89,1989,9,1990,10.92
9/30/89,1989,9,1990,10.02
10/10/89,1989,10,1990,10.38
10/20/89,1989,10,1990,10.88
10/31/89,1989,10,1990,11.36
11/10/89,1989,11,1990,13.64
11/20/89,1989,11,1990,23.41
11/30/89,1989,11,1990,26.14
12/10/89,1989,12,1990,46.36
12/20/89,1989,12,1990,61.77
12/31/89,1989,12,1990,67.9
1/10/90,1990,1,1990,85.61
1/20/90,1990,1,1990,92.78
1/31/90,1990,1,1990,94.64
2/10/90,1990,2,1990,96.46
2/20/90,1990,2,1990,98.31
2/28/90,1990,2,1990,98.35
3/10/90,1990,3,1990,94.68
3/20/90,1990,3,1990,85.65
3/31/90,1990,3,1990,90.7
4/10/90,1990,4,1990,92.55
4/20/90,1990,4,1990,85.66
4/30/90,1990,4,1990,73.16
5/10/90,1990,5,1990,68.35
5/20/90,1990,5,1990,54.6
5/31/90,1990,5,1990,43.89
6/10/90,1990,6,1990,36.8
6/20/90,1990,6,1990,31.81
6/30/90,1990,6,1990,27.84
7/10/90,1990,7,1990,24.44
7/20/90,1990,7,1990,21.5
7/31/90,1990,7,1990,18.84
8/10/90,1990,8,1990,16.55
8/20/90,1990,8,1990,14.65
8/31/90,1990,8,1990,12.91
9/10/90,1990,9,1991,11.42
9/20/90,1990,9,1991,10.28
9/30/90,1990,9,1991,9.33
10/10/90,1990,10,1991,12.08
10/20/90,1990,10,1991,13.32
10/31/90,1990,10,1991,14.5
11/10/90,1990,11,1991,11.75
11/20/90,1990,11,1991,13.1
11/30/90,1990,11,1991,24.73
12/10/90,1990,12,1991,30.44
12/20/90,1990,12,1991,46.06
12/31/90,1990,12,1991,54.93
1/10/91,1991,1,1991,74.94
1/20/91,1991,1,1991,85.5
1/31/91,1991,1,1991,89.32
2/10/91,1991,2,1991,92.85
2/20/91,1991,2,1991,95.26
2/28/91,1991,2,1991,94.05
3/10/91,1991,3,1991,92.05
3/20/91,1991,3,1991,93.26
3/31/91,1991,3,1991,94.9
4/10/91,1991,4,1991,88.53
4/20/91,1991,4,1991,78.67
4/30/91,1991,4,1991,62.75
5/10/91,1991,5,1991,49.21
5/20/91,1991,5,1991,40.74
5/31/91,1991,5,1991,34.39
6/10/91,1991,6,1991,29.48
6/20/91,1991,6,1991,25.7
6/30/91,1991,6,1991,22.49
7/10/91,1991,7,1991,19.73
7/20/91,1991,7,1991,17.4
7/31/91,1991,7,1991,15.33
8/10/91,1991,8,1991,13.48
8/20/91,1991,8,1991,11.96
8/31/91,1991,8,1991,10.61
9/10/91,1991,9,1992,9.46
9/20/91,1991,9,1992,8.63
9/30/91,1991,9,1992,7.88
10/10/91,1991,10,1992,7.3
10/20/91,1991,10,1992,10.04
10/31/91,1991,10,1992,12.85
11/10/91,1991,11,1992,14.65
11/20/91,1991,11,1992,21.86
11/30/91,1991,11,1992,32.5
12/10/91,1991,12,1992,37.65
12/20/91,1991,12,1992,54.75
12/31/91,1991,12,1992,72.1
1/10/92,1992,1,1992,76.82
1/20/92,1992,1,1992,79.13
1/31/92,1992,1,1992,82.89
2/10/92,1992,2,1992,83.9
2/20/92,1992,2,1992,76.53
2/29/92,1992,2,1992,72.62
3/10/92,1992,3,1992,76.27
3/20/92,1992,3,1992,77.5
3/31/92,1992,3,1992,86.67
4/10/92,1992,4,1992,84.2
4/20/92,1992,4,1992,72.49
4/30/92,1992,4,1992,61.03
5/10/92,1992,5,1992,57.57
5/20/92,1992,5,1992,45.59
5/31/92,1992,5,1992,35.54
6/10/92,1992,6,1992,29.17
6/20/92,1992,6,1992,24.78
6/30/92,1992,6,1992,21.32
7/10/92,1992,7,1992,18.49
7/20/92,1992,7,1992,16.06
7/31/92,1992,7,1992,13.9
8/10/92,1992,8,1992,12.06
8/20/92,1992,8,1992,10.54
8/31/92,1992,8,1992,9.19
9/10/92,1992,9,1993,8.07
9/20/92,1992,9,1993,7.17
9/30/92,1992,9,1993,6.44
10/10/92,1992,10,1993,5.82
10/20/92,1992,10,1993,6.64
10/31/92,1992,10,1993,12.36
11/10/92,1992,11,1993,17.11
11/20/92,1992,11,1993,24.11
11/30/92,1992,11,1993,35.78
12/10/92,1992,12,1993,30.37
12/20/92,1992,12,1993,55.4
12/31/92,1992,12,1993,76.55
1/10/93,1993,1,1993,84.57
1/20/93,1993,1,1993,89.57
1/31/93,1993,1,1993,89.35
2/10/93,1993,2,1993,93.7
2/20/93,1993,2,1993,96.02
2/28/93,1993,2,1993,98.07
3/10/93,1993,3,1993,98.95
3/20/93,1993,3,1993,98.37
3/31/93,1993,3,1993,96.28
4/10/93,1993,4,1993,94.22
4/20/93,1993,4,1993,94.32
4/30/93,1993,4,1993,86.56
5/10/93,1993,5,1993,71.95
5/20/93,1993,5,1993,56.73
5/31/93,1993,5,1993,46.19
6/10/93,1993,6,1993,39.22
6/20/93,1993,6,1993,34.24
6/30/93,1993,6,1993,30.05
7/10/93,1993,7,1993,26.54
7/20/93,1993,7,1993,23.37
7/31/93,1993,7,1993,20.48
8/10/93,1993,8,1993,18
8/20/93,1993,8,1993,15.91
8/31/93,1993,8,1993,14.02
9/10/93,1993,9,1994,12.42
9/20/93,1993,9,1994,11.09
9/30/93,1993,9,1994,10.3
10/10/93,1993,10,1994,10.59
10/20/93,1993,10,1994,9.33
10/31/93,1993,10,1994,8.63
11/10/93,1993,11,1994,16.32
11/20/93,1993,11,1994,31.84
11/30/93,1993,11,1994,34.12
12/10/93,1993,12,1994,40.38
12/20/93,1993,12,1994,45.2
12/31/93,1993,12,1994,59.02
1/10/94,1994,1,1994,67.52
1/20/94,1994,1,1994,79.19
1/31/94,1994,1,1994,88.31
2/10/94,1994,2,1994,92.27
2/20/94,1994,2,1994,93.77
2/28/94,1994,2,1994,93.29
3/10/94,1994,3,1994,86.73
3/20/94,1994,3,1994,80.22
3/31/94,1994,3,1994,70.19
4/10/94,1994,4,1994,61.86
4/20/94,1994,4,1994,51.52
4/30/94,1994,4,1994,49.05
5/10/94,1994,5,1994,38.75
5/20/94,1994,5,1994,31.28
5/31/94,1994,5,1994,26.06
6/10/94,1994,6,1994,22.26
6/20/94,1994,6,1994,19.45
6/30/94,1994,6,1994,17.06
7/10/94,1994,7,1994,15.11
7/20/94,1994,7,1994,13.38
7/31/94,1994,7,1994,11.81
8/10/94,1994,8,1994,10.45
8/20/94,1994,8,1994,9.34
8/31/94,1994,8,1994,8.34
9/10/94,1994,9,1995,7.43
9/20/94,1994,9,1995,6.72
9/30/94,1994,9,1995,6.3
10/10/94,1994,10,1995,6.86
10/20/94,1994,10,1995,6.85
10/31/94,1994,10,1995,9.03
11/10/94,1994,11,1995,10.06
11/20/94,1994,11,1995,10.65
11/30/94,1994,11,1995,17.14
12/10/94,1994,12,1995,38
12/20/94,1994,12,1995,43.83
12/31/94,1994,12,1995,54.09
1/10/95,1995,1,1995,68.55
1/20/95,1995,1,1995,77.93
1/31/95,1995,1,1995,82.44
2/10/95,1995,2,1995,85.76
2/20/95,1995,2,1995,90.03
2/28/95,1995,2,1995,93.15
3/10/95,1995,3,1995,90.25
3/20/95,1995,3,1995,80.75
3/31/95,1995,3,1995,81.83
4/10/95,1995,4,1995,77.26
4/20/95,1995,4,1995,63.15
4/30/95,1995,4,1995,51.3
5/10/95,1995,5,1995,42.41
5/20/95,1995,5,1995,34.05
5/31/95,1995,5,1995,28.25
6/10/95,1995,6,1995,24.17
6/20/95,1995,6,1995,21
6/30/95,1995,6,1995,18.3
7/10/95,1995,7,1995,16.03
7/20/95,1995,7,1995,14.1
7/31/95,1995,7,1995,12.34
8/10/95,1995,8,1995,10.85
8/20/95,1995,8,1995,9.59
8/31/95,1995,8,1995,8.47
9/10/95,1995,9,1996,7.53
9/20/95,1995,9,1996,6.79
9/30/95,1995,9,1996,6.16
10/10/95,1995,10,1996,5.7
10/20/95,1995,10,1996,5.62
10/31/95,1995,10,1996,10.07
11/10/95,1995,11,1996,8.68
11/20/95,1995,11,1996,11.31
11/30/95,1995,11,1996,26.17
12/10/95,1995,12,1996,38.2
12/20/95,1995,12,1996,53.55
12/31/95,1995,12,1996,69.12
