"dekad","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
1,"1983",34.9329536053749,69.1843027481755,72.1113877215467,72.1576942173412,81.0633635112184,36.6340435924654,68.4604607531399,66.8474690226237,35.8194901191955,38.1659307511493,49.1239998935001,72.7622299506882,52.1534484165095,92.1264680864765,50.3391096425979,40.8042104903669,96.5883150398101,33.2769238520986,35.0194922834003,56.8966275009259,55.0642230117682,34.7921585172472,34.4034572571379,57.627677586653,84.7405974457995,43.1346051140641,60.3404245072839,37.3194794379587,35.7328213356932,46.8979729842832,64.0558126063994,49.6759884160677,53.1714137083558,67.8763831488917,46.006321503135,40.8731278319217,66.5088808982445,91.8025474605374,49.22208357258,43.551852881766,33.7029323491965,114.52912898068,44.0590943124132,47.958680102928,57.7474337663139,48.3643009149032,39.2647079002795,40.0078607111405,32.291941942049,38.5984400257412,49.7660681939536,55.9307865836096,56.7625817844881,65.6815652488749,67.4032815353334,58.8273701787713,102.410303647717,88.6476147971961,40.4082551697427,46.0147379949356,85.9998955539798,82.7330466391572,44.2857578808627,77.7994231394582,55.3912975778939,48.271556607565,36.0441713991038,77.9860986332232,59.6469939656531,64.6091632211203,48.4844345902249,50.4453064289754,34.8841061682805,71.1397375020994,54.4816391533085,103.281245294607,79.4442176150607,46.2008695363957,55.2920865245553,45.1303179342245,40.3212236033878,92.1280621106977,54.5715719628508,42.145095013367,73.7322377602142,67.7557509544235,54.3387263629673,75.687127681968,65.0096307145641,44.3474553903472,67.6944613694387,53.701395287327,40.6532343155636,45.590620895518,70.787976986151,37.7025300850071,34.7131446824772,35.9939992498636,35.0183759769882,58.4943963959962,67.842450208949,79.7104410992013,57.4614399331043,54.5259975284441,65.0301657792169,35.9580756567511,86.1706806547557,33.9328003845968,57.115753016069,31.10368171193,34.8583667822237,72.8733385873745,50.0596083018191,37.4368669691917,62.0054766482734,41.5690948100575
2,"1983",65.5360408723826,122.384578674173,184.036409797212,59.3712451983989,111.471268535398,62.8156782175894,57.2523593903784,89.8882921479659,49.7776858949111,61.4282097032091,58.7776843855761,104.733802565353,74.6558371059886,109.351686263065,113.252417166942,77.8213301485761,85.6650937325605,39.0713860319488,43.0434291893912,101.270811642752,54.5300276617518,50.6385863679801,71.2869735669559,66.5546008169474,96.0701993910384,44.9895624859374,62.6959182165519,48.8852120473684,47.2297840786985,48.6941895299438,52.2066773000725,89.7838441148151,66.3125620741465,122.091007564274,55.764749066574,67.0842392072404,65.4013407426885,88.6926965620939,66.0634913164879,75.9993477324324,61.9786571679203,86.4927012314936,48.0400069281579,73.290444996458,103.22070409239,75.7108010397582,41.8436876528521,51.2278318727667,35.5033853090356,51.127056650362,76.1675165106209,75.2546793779836,56.3506387075277,153.224514922845,183.337401657824,77.4450943130228,98.0965904375185,83.8554860000498,61.5491261639616,61.2112095165121,134.604903235007,121.268728558919,86.3168062386458,78.0642429412447,66.1322411233855,70.5565834247276,59.5969419415356,121.253880443898,85.3341850422546,41.5938352442646,72.8013171470832,60.4328616475448,62.2036899224395,102.490206545669,72.3432398578236,64.5920182517425,102.057647697075,59.6602475947582,52.6670210444808,53.68531967399,63.3892318679374,100.802513749585,70.7136618441038,53.9342212048236,80.9272552157539,83.0023594271437,70.2598171015213,156.226714935861,71.0180442699289,46.2717601003129,85.7791388753741,70.8049214169346,54.7536082531835,57.9047980616323,57.3991302660811,51.3464129483471,63.5500566734566,53.7485260161949,40.35611065766,85.6975753810669,64.364762862596,128.548012977432,92.909241043734,56.466219924495,61.5821638376373,62.9352792476387,131.968805351671,43.852628678165,48.0059076285633,63.6304439710242,56.1921032568634,60.1074321663016,70.0069658123826,65.8637714000996,51.5736262392319,63.3107364818649
3,"1983",85.890663984083,73.3260050099841,76.7485258013192,58.6268614911529,84.0504011757606,100.112007610327,79.2876513438638,74.7483607628046,103.116328179996,100.663440841014,95.0594759727692,73.4047072599414,88.660473849423,93.8522953374674,84.1657132427727,85.8085046975347,86.9199214175515,89.9654070066098,111.059017710296,94.8506261609033,92.8263158785515,102.022658181866,95.8121502294472,58.8259683440556,75.8762148717375,87.8711249501362,68.5741783572546,102.635239401608,94.9046709611126,71.4552388031982,94.3540142799279,94.5535547643786,93.7075729772545,78.1783530888127,88.4716638136617,98.599055071436,82.4450969915648,93.1909720355792,86.5497640934219,77.0551042086238,84.9263334887058,87.4765601700139,93.0037907780935,88.8003549388225,91.2916122850766,73.0281366811197,84.449383992704,91.4767658044317,84.5639117672339,106.14378014589,88.1169401595592,97.5654691245405,78.7590104342657,79.5489379981179,84.3902414873809,86.5131148992214,103.400191094123,85.385598508043,114.207919902243,83.3338801790191,85.6113267298526,87.4799310086347,78.0730053685402,73.4718666142563,67.5113802198426,77.8637021021747,81.6893232665144,111.254130912511,85.1730899042062,73.9357639257879,103.082636766588,92.5506789435929,92.8056443409024,84.203932835947,94.5387402447336,93.044788182692,110.694901082036,92.226754787293,79.9855725328826,97.2260820848677,82.5771582041202,94.7927389117439,92.0470925288323,88.7716710136283,77.4134475112398,75.660816605326,70.8110452587968,84.1329824564719,81.0146935465004,88.4600487669065,79.3485606149421,86.1226733944981,95.0578228042501,76.3358079399324,90.9211260640603,100.506363680631,88.2358246280856,82.5265709672688,112.93991712738,84.2733938880033,97.6983876970718,115.100167033628,105.25855163174,93.6099472837502,76.1390102741048,91.583057847316,91.953320849823,92.960483388302,69.3120523623007,100.251223719994,86.4535056101664,87.8925625929274,89.36198783984,85.0585308563363,62.4808848509007,97.2952520327777
4,"1983",101.2416373,69.474073,91.799349,83.7859898,74.309471,95.6720496,79.8970934,84.6407948,88.0446624,86.7683492,92.689318,76.89939,105.342441,69.29487125,90.696898,103.2561394,87.79085,73.6761478,110.9711092,98.937239,69.851698,111.0701104,88.673925,73.263073,67.51394924,76.334474,63.55777603,122.88409597,93.9934782,50.92237924,72.14287145,106.033256,73.112762,100.953445,49.6545335,107.69416527,87.509164,60.1764065,88.8787098,105.1289749,92.3097072,98.5821221,56.773151,103.633371,87.8430318,61.73280845,45.1734871,58.58321702,55.3295819,103.9239442,78.45164,69.677045,50.232723,79.2615266,78.35502078,103.130962,79.571674,81.4886185,108.5984422,88.778396,82.5992715,77.759768,86.48276,84.515421,68.6460761,91.688324,82.454627,60.818847,92.2265899,52.2683367,112.7527678,67.21528101,71.812896,66.1413801,73.6429798,104.893427,59.78372504,107.578806,77.536655,63.714979,76.701585752,69.55726546,73.83372147,51.0043546,96.416929,84.66038077,65.2875591,83.6157977,40.807327463,74.437223,78.1622413,94.836557,90.3776836,76.560896,73.6933393,96.6056043,83.0832102,82.4014884,93.125197,101.356114,54.9206993,78.171851794,112.5163348,46.6852715,44.967877156,84.892676,69.6887608,84.08947043,56.509276,53.05697,85.118438,44.4780765,63.9074485,101.6445768,69.7688192,58.959708
5,"1983",39.9776289188696,61.2848052859241,65.9234050638329,38.3195325300077,84.2670177607812,47.2048418194352,47.3601930724071,71.5034439204925,39.1142530389588,50.8074314146113,79.7855052645324,68.2360530599421,76.3520732400143,77.5562539383336,70.9477338255676,52.2641123561795,97.5186928965989,51.4706767660099,41.3683674492749,71.9892250457362,37.6031977664864,41.5812798765839,37.4969375071193,76.8063160222634,81.1712814749528,36.9809871343303,56.5683517714747,38.5656589264779,40.5543937791012,55.8362000101294,38.3064564894384,59.3527801254901,69.1972490906817,60.3335280677285,89.6791463550961,47.2831005333093,51.1876436798799,61.4504625821518,56.0805980012204,55.3550870448758,38.1509572904994,59.8457860234908,45.3346244853018,66.3816241223591,68.5428023426706,50.2605973696791,61.9359842254976,66.3570553794723,59.3418859854676,50.1249495518953,60.2006407219208,57.1946694238333,73.8633190424206,76.9180640131021,68.1467052978786,67.5691452820862,55.3980515605024,68.9607569404912,37.8003338880755,51.7474378948952,60.8539713778014,81.0574508417353,61.3382660703973,90.8574046200082,65.1828918918522,66.7864619816414,54.4337221483252,52.2353272630352,79.6487564762398,42.3689436670204,57.4613352697332,50.2907429170409,35.8835683955534,60.1001511231386,49.7136305452668,61.8817533638396,44.8321202682372,68.7004412057668,72.3246136587173,46.6135479254502,45.3005863367459,71.3176393388211,69.518806013677,44.8184399280618,53.0661498573809,88.3898284811926,71.9263389976228,77.1021687572858,53.3534559236208,29.0102424473123,60.6619703663901,72.6850142616722,45.307593252399,70.8750941577016,48.1083770483736,52.5214941973126,32.5500203339417,50.9058411480341,56.2470031029324,79.0301601190045,54.7599764684233,66.0709200965135,57.571595368683,43.1652121338853,49.1897330807469,62.4645255515956,75.8962109858981,47.5816981976023,47.6474141495903,38.588660863961,43.745121029441,46.0690741488106,70.162407034867,50.9383921255834,37.0086975747608,40.2958984470202
6,"1983",0,3.28356916,3.1822849,0.7601443,0.2340797,0,20.1133388,0.69444761,0,0,0,2.663732,0,14.1065661,0,0,12.3597476,0,0,6.049988,2.271274,0,0,1.4713892,14.675997,1.426231,0,0,0,0,5.436356,0,1.369045,9.275689895,0,0,25.858071,14.9964681,0,0,0,23.752334273,3.89507653,0,4.54157284,0.416268,2.298446,0.2523294,0,0,0,0,0,0.03237631,0.2739853,1.43452,30.45540016,11.388217,0,0,16.14076848,14.593894413,0,3.4971565,0,0,0,37.511867,0.6388645,0.2112648,0,1.768341,0,0.67738945,0,34.2199426,27.6533456,0,0,3.109884,0.02836663,25.9492,0.7506107,1.026356,14.272967,7.69824179,0.3485819,21.0254023,0.8391005,1.244665,17.260925,0,0,0,32.5142547,0,0,0,0,0.6102442,1.156778,26.3787814,0.369031,0.82174392,2.542792,0,7.74956461,0,0.5765112,0,0,0.5224054,2.76182,0,0.09769587,1.866426
7,"1983",44.428103,41.109105,66.596852,36.79078589,30.216436,41.9466877,62.28697,44.805615,53.7076393,45.95195845,44.27411161,45.0245448,44.215238,39.62579544,63.1322774,49.28513058,64.214954,44.4857665,29.2806009,56.44010285,36.027105,26.4265909,47.912305,70.249985,30.219234,26.18572152,53.89571011,34.038013,45.845639,32.185969,34.1306635,27.822901,53.69132128,47.841206,64.239045,31.0870421,62.445356,33.85339112,30.62783185,68.51408,58.4902101,74.90862,23.03726861,34.61972655,56.656589,36.3147106,20.2006078,43.7649033,31.5350745,38.485709,34.530282,26.99705594,56.8203311,71.4513687,82.504337,38.245838,58.0146186,54.725293,49.152148,69.3676598,44.953164,55.668232,76.793003829,49.086012,54.16704262,23.27574349,44.158016,52.6117004,31.96327032,28.118737,30.4557234,38.935355,41.168923,51.7358484,21.15448841,68.411547,57.85511,32.1625582,41.30560732,28.6007489,37.20668064,39.2312285,37.99131871,23.235748,65.103164,53.2158419,77.1796107,40.045734648,39.2624027,36.1097882,65.630085,31.843803,28.250509,56.2939333,57.341789,49.0926314,42.147053,42.8406347,33.66630527,49.79040431,39.2748093,44.8368655,47.724166,30.10383231,38.444792,39.908045,51.367449,48.115101,36.880196,37.7280272,40.0593117,40.4098312,53.1987529,52.938901758,35.2028196,27.16445334
8,"1983",23.6204869,44.9915248,25.9784761,76.9155662,29.465816579,14.7443693,102.184065,25.2681801,0,5.1957486,26.7936376,46.565157,40.285399,56.0474248,13.927744,18.552069,78.7054736,4.38435,13.2040893,26.48135613,17.12955289,2.533769,0.4838629,149.747466,64.03021795,8.9626014,100.0751338,10.913222,2.5221869,74.998465,8.5974573,64.867273,79.95158,47.2085147,11.94006873,17.708261,76.15422,43.3423283,35.379366567,17.219884,15.40767352,84.0346463,8.7475253,58.61296409,17.6213079,35.809965,5.0380649,4.888238611,0.8829429,19.364967,60.5345656,44.0327763,39.83140906,10.84258003,11.4208599,28.5914514,60.146274,60.59350291,1.546716,29.113344,56.460066,80.619314,17.0867181,32.4922962,60.9276513,30.474005,6.023426,49.061223,46.92921743,93.827673,12.44506419,26.65718933,4.1942928,20.25910507,37.217694,78.988515,62.105587,39.1975726,22.2826988,18.918881,18.3158821,32.3770159,30.4164613,6.059864,103.375933,67.911512,110.300289,53.9888893,41.9491056,6.6472042,81.3871502,30.9489,48.188781,4.0560987,56.6547382,24.853386,14.886731,23.225321,2.647644,45.99587884,59.50248356,46.23662113,31.3077428,23.5437725,58.5412442,8.153886,66.254849,0,78.0269244,6.2303087,9.919062,57.056183986,26.6974986,16.7215068,65.57704907,4.89542256
9,"1983",11.9398077364865,35.3729838096216,14.5044507632432,8.21203841603676,17.8354179356757,18.0675217794595,64.114690522973,9.09631541097297,11.5619311718919,31.8124260451351,10.2619126094595,7.66430752162162,11.2659309132432,21.9995340989189,10.2944611,11.6937609486486,15.5828297418919,5.95312921378378,11.3124150459459,12.5169995462162,17.4332298654054,21.246120767027,11.5005225405135,57.1400390013513,31.9182881002703,17.8410788934743,28.87204646,20.3829645702703,16.536540692387,11.7704543137838,18.6916595710811,10.5347710189189,38.9131296255946,6.36672186864865,20.3716960906757,19.1148093110811,71.7794432162162,9.96707400072973,22.6311977081081,13.1986671586486,13.6008825091892,61.6545579817568,29.3926746821622,7.51082678918919,15.0489859257027,14.7980961575676,25.5911927027027,23.9580127189189,5.12401628648649,14.0000646921622,10.1118349,14.2914948063514,26.3183058656757,16.8978414602703,4.93952937567568,4.80219817621622,19.7387225216216,18.3278240243243,25.9679847824324,21.3884886908649,23.6741639783784,24.8959359767568,17.1383102501351,22.9469249575676,47.2253738216216,18.6476827286487,30.2573253783784,16.6535286543243,6.68854691416216,12.0962969386486,14.72891295,13.7722953879459,21.9383624481081,25.1730225540541,18.4374919378378,56.7278998054054,37.2454426594595,7.05151216756757,25.8828945260541,23.0649281108108,15.9770625324324,14.4425276553784,31.4092268955676,28.5816746508108,94.7674326405405,47.9999867062162,60.9352987756757,31.1956858432162,12.3491036681346,14.4198791810541,106.260002572973,6.08769694524324,12.6233195189189,22.3046154583784,50.07722769,19.993540295,13.4262886837838,11.4048725351351,8.5863963514054,7.07343376378378,18.4705824844595,15.2436882028108,15.0403679570541,31.0570944394595,26.2789720351351,35.3404676943243,16.5462621883784,8.21629485675676,14.4962072924324,13.1749655116216,11.6605591,21.0685376837838,25.9523926340541,13.837858787027,15.5048132740541,29.5628872468378
10,"1983",10.3217704337632,65.0292485297558,64.119596841579,35.4349970078947,29.8594099789474,5.89226347342105,65.1205473315789,63.1033864289474,0.670543480421316,2.77574452710526,72.9645560105263,65.0580063210526,68.7544535081579,33.0302465419474,85.699436168421,57.7245768815789,77.988424996,1.03001367878947,3.22912780278947,14.9575859657632,3.78909294263158,1.93689879736842,0.838156310947368,31.2234180315789,30.7281879949474,25.9344397790263,16.1677850939211,3.79067173657895,1.47827816044737,12.1396569684211,18.7280730052632,65.5634821447368,23.9887454186842,68.0950156531842,25.8188988397368,12.3336089489211,51.2020181142105,87.9635314815263,10.3563799216053,30.1155066265789,5.71796571736842,90.1014891394737,27.5687648421053,72.6475988655263,31.3623592440118,13.2995530078947,35.9963642789474,25.8598858263158,0.500399747368421,1.98525884526316,80.4269512289474,57.1879919973684,13.527392485,54.1899580786842,76.6612681631579,50.5695686587105,118.61449561,76.5422524602632,3.97585732368421,11.0967140042105,90.9198136044737,106.182746881579,34.2401158468421,33.1454912105263,10.3289813236842,44.4121505763158,0.608321161578947,57.6943056131579,26.3190358294737,13.5886740252632,7.60035657421053,9.20752714292105,1.11623208921053,35.9743203992105,23.2657861622895,94.5701241555263,65.2072639552632,60.7803605997368,7.96369010947368,15.1958891763158,8.94771590052632,62.3704021655263,42.6749186828947,13.8750636907895,92.8531253221053,54.8919032897368,27.7021309426316,48.0527534771053,13.7303528478947,1.82452904736842,71.5149571818421,44.1165508289474,5.90169175105263,28.6579565542105,58.6459184263158,1.62021361973684,1.62942983684211,9.3916495131579,0.344848199210526,43.7388084789474,6.065086704,64.72046421,10.7064291974497,8.72228485289474,2.40133047631579,2.93602778947368,43.2875060514905,1.01177814315789,5.75848925078947,6.2050886518421,7.18461078526316,2.14849462631579,67.6257568863158,47.1714775223684,33.3771907231579,7.81971343657895
