"dekad","year","1","2","3","4","5","6","7","8","9","10"
1,"1981",46.29353,63.04742,46.04873,50.32312,37.55538,48.70789,42.63238,60.91672,25.99471,19.70012
2,"1981",61.18171,74.72736,51.68397,64.53657,82.73328,51.68111,52.26703,59.5062,48.7283,28.76808
3,"1981",108.2908,130.0801,63.95283,125.71,76.36765,78.16592,128.6358,111.9044,116.7411,107.64
4,"1981",91.67536,90.22907,97.19911,58.06296,101.6659,74.0236,71.20568,51.18315,131.0347,102.9152
5,"1981",117.1068,135.1433,108.9895,95.65329,125.6538,112.2849,114.2527,94.7262,75.40551,66.5395
6,"1981",69.31676,61.31796,81.88844,44.40454,36.93259,45.67429,62.47209,35.30928,63.07619,58.60452
7,"1981",86.88239,115.8616,82.26868,108.2882,66.75456,74.11127,110.549,104.0867,55.89706,99.85558
8,"1981",35.00024,44.82756,26.36312,33.13537,31.96914,26.75879,60.73745,32.50763,20.9793,46.06622
9,"1981",10.18249,14.10844,20.72136,76.35104,15.88004,37.5089,35.34749,84.05789,10.25666,16.33784
10,"1981",5.438825,6.752696,2.869567,9.77787,5.712587,4.250521,4.001788,16.18869,3.207243,3.138375
11,"1981",8.795033,12.47302,7.5279,9.958333,6.861636,6.680739,5.979011,12.26998,4.338956,6.282401
12,"1981",20.3223,30.47454,18.18596,44.01848,31.82011,15.72465,19.02431,27.98506,9.384661,6.689819
13,"1981",1.49867,2.340803,1.920843,4.453182,1.408317,5.73939,2.332116,7.400612,1.197163,2.134759
14,"1981",0.4709918,0.3112452,0.5779525,0.841769,0.4074109,0.8670284,0.2829812,1.073522,0.3914481,0.463552
15,"1981",0.32092,0.06782562,0.5663911,0.3792441,0.2709799,0.8648491,0.06258956,0.7721068,0.3186032,0.1940654
16,"1981",0.2561302,0.2552611,0.4237314,0.5107971,0.2712684,0.6059387,0.3035482,0.8082275,0.3167256,0.2780149
17,"1981",0.07309306,0.02904571,0.2133939,0.04199126,0.1333071,0.1850691,0.08078028,0.176533,0.2429823,0.08092184
18,"1981",0.04567615,0.008706057,0.1560764,0.009721202,0.08712129,0.1060747,0.03679209,0.07841074,0.1681803,0.05327375
19,"1981",0.05532834,0.008679918,0.151545,0.02234179,0.0535703,0.1202212,0.01210622,0.07053981,0.04103456,0.02129835
20,"1981",0.04222633,0.00014040267,0.1078727,0.005205338,0.0273455,0.07880704,0.001276231,0.01403437,0.00085882959,0.004771465
21,"1981",0.0620079,0.01174739,0.1259053,0.02909369,0.04581369,0.08816894,0.03062924,0.02781259,0.002448566,0.01346493
22,"1981",0.08058637,0.05263368,0.06792078,0.03431621,0.08126902,0.06612106,0.06052032,0.02685726,0.01309371,0.02468533
23,"1981",0.09578418,0.07911118,0.06085835,0.08388267,0.1067679,0.06982124,0.112333,0.06370416,0.02022177,0.04205239
24,"1981",0.1772514,0.1806862,0.1093127,0.4461151,0.1765884,0.1641427,0.5182023,0.4294471,0.1160596,0.1944692
25,"1981",0.03176993,0.001564637,0.05892342,0.6494709,0.05404312,0.1708591,0.5044684,0.6563553,0.02003747,0.07184269
26,"1981",0.09959146,0.04653368,0.117162,0.9989369,0.1377756,0.2580749,0.8169029,0.9820349,0.1417529,0.2151888
27,"1981",1.199242,1.513919,0.8058528,3.232436,0.9067979,0.950852,2.519902,2.436291,1.283501,1.695878
28,"1981",2.604072,3.779862,1.975627,8.149105,1.545469,2.118783,9.902499,5.787601,3.087794,5.167189
29,"1981",4.127043,5.200688,5.356544,8.949047,2.816001,5.055086,10.09456,7.864291,2.859048,5.916537
30,"1981",5.630121,7.188665,6.440945,15.58376,4.49951,7.887635,12.69076,13.8341,4.491264,6.928807
31,"1981",15.23952,27.67675,11.52244,13.31444,13.08685,13.85445,18.047,12.89574,16.99166,14.3682
32,"1981",26.28674,23.97493,11.73468,15.11386,17.02562,9.854438,40.18913,11.83082,46.26123,44.61889
33,"1981",25.3438,44.59714,24.12474,40.29892,32.8269,34.90809,47.9955,30.04841,18.28811,17.41836
34,"1981",14.6558,28.70456,21.67858,81.82225,19.31275,45.1371,34.22643,88.95522,11.71638,13.08213
35,"1981",9.203706,11.55645,14.30772,22.31355,2.971803,12.46466,27.21267,8.534416,9.611261,19.53559
36,"1981",42.91531,82.36384,67.99287,73.73506,38.74683,50.50062,64.48934,49.05006,21.32586,21.82171
1,"1982",109.908,115.4467,107.6712,51.09857,107.6228,68.48353,102.2643,49.22093,71.81217,51.09353
2,"1982",56.81447,39.43661,73.35464,74.99216,51.68457,84.80936,58.94477,79.57746,26.73487,37.57745
3,"1982",114.5471,139.2835,85.81664,109.9094,79.79813,91.38986,139.4424,82.48959,52.96726,96.504
4,"1982",114.6737,92.4744,82.39928,67.04256,101.3771,89.63094,95.98119,63.80204,65.82127,44.69759
5,"1982",112.6374,105.7699,101.1575,98.25413,100.7303,120.7928,91.16175,103.7187,66.50518,65.535
6,"1982",30.94937,49.16453,48.30526,44.70215,29.54615,52.9166,63.07649,46.073,12.24936,30.33574
7,"1982",17.61719,20.44645,23.01711,61.50998,11.33727,58.90754,35.5117,85.02481,14.09573,25.05171
8,"1982",8.365659,19.12786,25.53743,53.12239,2.654654,42.37245,21.62454,63.4059,3.527144,9.525147
9,"1982",16.64314,30.70342,33.74427,53.01212,11.60566,48.00972,42.7407,67.37,8.755,24.01339
10,"1982",6.418102,18.71861,24.47644,51.80276,4.785503,38.21671,35.74412,60.41605,5.150166,23.56628
11,"1982",11.82229,20.55513,26.43227,44.71423,8.92217,32.07585,19.66261,57.40955,4.574811,14.37334
12,"1982",5.046939,11.25861,9.67913,19.02786,5.378674,16.02113,10.81449,18.22323,4.142255,8.385373
13,"1982",2.905235,5.646669,4.961695,13.36841,2.207067,10.25586,2.947999,22.82391,1.446714,2.302762
14,"1982",0.9542779,0.4230939,1.330543,1.210853,0.7523624,2.036027,0.2980979,2.323981,0.593192,0.548992
15,"1982",0.6521435,0.1155469,1.406496,0.5040309,0.4082057,2.471544,0.06557731,2.147937,0.3729504,0.2254209
16,"1982",0.2731754,0.2558799,0.4571801,0.4409074,0.2869037,0.537954,0.2853804,0.6313144,0.3318082,0.2614321
17,"1982",0.08340774,0.03091642,0.2717727,0.04057493,0.1397332,0.2182635,0.08060805,0.1870648,0.2522218,0.07784921
18,"1982",0.04924929,0.008886206,0.1751477,0.009607795,0.09723767,0.1123244,0.03755505,0.08157976,0.1967015,0.06521495
19,"1982",0.06474148,0.009100144,0.1888245,0.02297395,0.05919272,0.1364073,0.01232747,0.07393914,0.04793388,0.0213373
20,"1982",0.0529834,0.0001594252,0.1506043,0.005294888,0.03311977,0.09245158,0.001324726,0.01502979,0.0009081121,0.004818594
21,"1982",0.06479731,0.01189345,0.1364739,0.0303071,0.04833439,0.09506218,0.03064168,0.02852442,0.001966259,0.01370488
22,"1982",0.08654398,0.05418791,0.08024158,0.03484344,0.08561502,0.07191835,0.06175555,0.02781601,0.01493659,0.02595731
23,"1982",0.1025085,0.08079482,0.06954261,0.08426026,0.1048394,0.07670035,0.1143997,0.063001,0.02223698,0.04370752
24,"1982",0.19259,0.181925,0.1271609,0.4014792,0.1812435,0.1754764,0.4894653,0.3769708,0.1310396,0.2094721
25,"1982",0.02624259,0.001268766,0.0458662,0.6900619,0.04926258,0.1537766,0.8374909,0.764111,0.02219998,0.125608
26,"1982",0.1030484,0.04119312,0.1169611,1.053125,0.1402339,0.2529385,1.03833,1.110042,0.1401612,0.2769926
27,"1982",1.254819,1.483744,0.722531,2.452523,0.9907351,0.7542729,2.649284,2.107926,1.216286,2.33829
28,"1982",8.073443,14.7342,2.337825,21.9617,4.459759,2.185646,39.61296,10.11973,4.2687,12.76093
29,"1982",15.51096,22.64606,3.295918,13.3595,15.68586,2.122012,23.36002,6.44268,22.94128,15.68314
30,"1982",13.93909,17.9108,14.17583,33.04695,14.75122,17.59075,22.53121,30.27965,8.760882,12.15406
31,"1982",16.4067,40.41217,9.121984,54.75635,4.518474,24.90619,71.00364,40.91265,10.8519,55.46362
32,"1982",42.71787,83.87717,34.63211,105.506,18.53856,57.33614,76.26492,84.35333,12.43107,38.53157
33,"1982",76.89603,81.13351,64.60036,112.1078,47.06204,95.92977,72.54794,151.2398,38.60343,61.12182
34,"1982",37.88441,67.36938,55.95406,92.39388,34.95496,68.3852,59.04632,95.94424,35.93762,54.04067
35,"1982",48.068,66.13239,69.1094,89.7134,61.35727,87.5477,68.79364,100.3485,22.22959,24.65873
36,"1982",50.07214,77.18633,51.05061,111.3033,35.2759,86.03448,65.57304,135.7383,29.31468,47.81009
1,"1983",62.10333,71.8588,54.30552,81.32096,41.26275,59.94465,65.45368,79.40766,52.97664,56.73576
2,"1983",75.46387,90.5451,96.102,69.16988,60.04676,83.35607,67.89119,81.71734,61.68575,55.06828
3,"1983",93.04114,114.316,88.88871,91.34644,86.45014,72.18298,73.5148,100.6817,96.2067,70.58644
4,"1983",49.49758,60.55764,67.43769,72.59605,62.86654,62.19461,73.94201,63.15049,42.75134,42.48235
5,"1983",84.04242,119.7007,105.4559,104.7796,94.50725,96.89745,62.49405,72.6094,36.53669,41.95194
6,"1983",12.75936,16.53029,8.265908,39.27045,6.113797,15.8028,8.470493,38.02672,11.03403,8.718358
7,"1983",41.44207,49.40703,47.55291,91.16544,33.34761,68.01836,58.63027,92.46008,32.23756,41.28464
8,"1983",17.29499,28.72791,16.75553,63.36402,4.989332,39.2502,47.46974,60.45327,7.37783,26.73426
9,"1983",21.5999,28.16724,27.80993,23.50888,12.36746,22.60003,38.79424,22.87799,27.2549,34.01176
10,"1983",15.33286,42.2571,25.22661,45.48613,9.681205,27.98154,38.80423,60.53149,10.15637,18.27805
11,"1983",8.241874,13.78123,12.72132,24.69094,7.302531,12.22715,22.13428,23.1087,6.302671,24.55267
12,"1983",8.487743,14.51742,11.40202,22.0035,13.78539,7.962799,7.653782,28.40363,6.839259,9.631879
13,"1983",3.550778,6.139669,2.738685,4.402419,3.465377,3.558788,5.950018,6.686592,1.64251,2.899527
14,"1983",0.694815,0.2664537,0.9645303,1.17338,0.4607292,1.71519,0.3161264,1.983522,0.5735685,0.6444229
15,"1983",0.4105462,0.06326064,0.7526587,0.4782417,0.2549178,1.311449,0.07452066,1.358127,0.4065245,0.2789636
16,"1983",0.2734779,0.2559852,0.5083647,0.5229672,0.2883364,0.6029962,0.2853572,0.7349712,0.3308953,0.2601641
17,"1983",0.07795641,0.02967595,0.2520356,0.03914636,0.1427496,0.1727316,0.08104538,0.1731901,0.252488,0.07479892
18,"1983",0.04874978,0.008891399,0.1878199,0.009547505,0.09798209,0.1104101,0.03755094,0.08172183,0.1903798,0.05444955
19,"1983",0.06455116,0.009100144,0.1839325,0.02294999,0.06154671,0.1406329,0.01232596,0.07404253,0.04858961,0.02135009
20,"1983",0.05279863,0.00015936348,0.1490131,0.005274134,0.0330188,0.09654445,0.001322824,0.015043,0.00090779737,0.004818215
21,"1983",0.06799227,0.01192467,0.1463853,0.03037697,0.04700759,0.1010649,0.03068909,0.02889073,0.001936531,0.01369822
22,"1983",0.08682083,0.05423191,0.08157051,0.04361345,0.08553123,0.07332312,0.06671905,0.04935052,0.01516966,0.02611283
23,"1983",0.1026969,0.08082478,0.0710642,0.08893757,0.1048687,0.07678736,0.11287,0.06667475,0.0224422,0.04386754
24,"1983",0.1919788,0.1818686,0.1283506,0.4001882,0.1800466,0.1758996,0.4730601,0.3962798,0.127292,0.2012624
25,"1983",0.02719867,0.001361573,0.04798491,0.6298213,0.05529909,0.1561533,0.4759871,0.549109,0.02131127,0.07224602
26,"1983",0.09912734,0.04317163,0.1189385,1.095292,0.1580724,0.2588735,0.7001178,0.8840258,0.1518833,0.1950889
27,"1983",1.068768,1.328645,0.7228438,2.808004,0.9660696,0.7869893,2.133093,1.790168,1.160743,1.53795
