"dekad","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
1,"1981",46.6965,38.17618,37.81727,24.77056,53.86781,47.10172,29.24438,73.14178,40.36972,49.00219,55.59146,71.75797,56.46338,49.88831,46.62921,49.06202,48.49701,35.09623,40.35104,56.12515,30.56132,43.83091,26.72279,57.50803,33.87255,30.88837,31.7096,41.63179,41.72141,22.43765,27.54893,67.5768,42.32077,62.41675,24.77339,47.99942,31.66833,73.57291,52.07841,51.23874,50.20399,45.4076,13.99677,70.68566,57.38532,24.41813,12.49534,19.72504,29.62779,38.54176,73.42429,61.804,25.3826,36.2177,32.68678,68.00685,67.28652,61.49834,45.82044,55.22124,69.57118,41.01286,51.66395,55.1123,35.67696,68.38057,42.40126,75.80161,59.88701,21.10045,50.62209,24.50144,36.44482,49.15989,61.19267,49.50507,64.65314,63.181,38.52289,12.79478,49.55181,59.31981,51.91687,9.703965,31.78806,38.491,52.46975,31.56463,24.64323,38.25993,27.87271,73.87975,55.05323,29.50851,38.88005,46.66609,29.42642,54.27359,33.64973,61.32889,20.70549,63.30524,51.28875,13.30199,16.14568,52.62889,61.32291,29.48229,19.21477,21.90119,47.65022,18.86451,49.70042,48.15192,25.30979,20.45833
2,"1981",58.74841,36.25038,42.1619,39.36994,83.93333,73.19208,23.95986,79.97732,81.53336,83.59688,79.48426,74.89204,75.1208,45.77919,53.25952,56.49812,71.94987,85.90372,86.00496,51.74342,64.70367,103.2481,59.95391,70.90144,26.58879,38.13112,49.48711,79.30311,97.0711,39.72614,55.93621,84.98629,43.24189,84.84106,51.02876,81.00564,27.50363,73.84561,57.31578,52.64639,55.77896,58.54331,24.00682,85.71811,58.9414,39.37911,28.118,43.38031,67.14227,72.10239,82.73403,70.01839,47.94024,45.9574,50.15228,71.96252,66.65917,69.79299,94.53169,44.73702,69.50327,29.72606,49.78801,79.16188,52.5784,76.01562,64.64674,72.59661,74.69527,46.86737,65.74155,31.98536,58.28267,57.18167,74.43732,52.15102,63.11633,85.28964,46.31569,19.90712,58.7903,51.50157,57.95009,10.77508,57.95522,68.87495,63.65277,25.15983,19.0784,44.66853,35.92735,80.83186,74.06865,48.58673,35.2181,56.01714,63.43015,56.71794,78.55031,66.35994,20.91597,60.00133,48.43947,8.908589,10.02047,69.31923,69.53118,67.37722,28.87604,52.90689,57.38043,8.471392,51.90441,59.0073,46.63437,49.10725
3,"1981",55.95889,60.7651,56.61035,132.2678,141.4782,97.37848,79.85167,141.4072,99.95795,98.4965,142.3076,122.1299,137.319,88.44245,57.44162,57.88555,143.2337,84.80499,92.87563,96.43104,123.5165,97.00611,87.74133,136.1463,69.80693,161.9368,136.8215,98.07479,93.63074,117.3379,136.8613,134.4142,109.8204,98.51947,125.3866,99.74371,77.62021,118.0083,146.9937,65.8545,65.36279,124.4527,124.5116,131.8558,88.71886,118.2863,115.5923,132.7177,50.93663,64.20279,129.3647,137.3412,134.9956,55.10112,61.09853,118.1047,116.7117,129.1126,97.01067,71.44787,117.6598,68.02162,63.27814,139.8371,107.6782,115.5445,100.8239,138.4268,130.5689,128.7881,78.4431,111.7574,107.457,70.59036,123.0044,107.6449,129.6816,132.4486,134.1889,117.8297,128.3524,96.5843,137.1926,90.82037,138.9773,141.3377,107.0922,70.79627,99.64394,138.0591,103.1944,130.0984,118.4779,126.1852,88.38074,68.66704,108.0338,79.89174,64.98272,116.3733,96.30576,111.7781,83.89713,71.17514,81.12372,97.21055,95.83913,78.17628,113.8535,98.08172,73.51558,69.64491,126.9294,52.61177,141.5851,118.7989
4,"1981",131.7946,62.31569,72.3478,39.92286,66.91294,101.9509,40.46407,72.68703,126.3734,125.9969,81.52251,75.0798,86.08106,57.33254,120.2588,140.0815,48.82973,99.47404,97.75826,82.18224,139.113,116.5516,138.2013,42.18665,63.87213,85.69565,50.36839,85.91145,115.2501,91.80048,122.882,86.45444,73.58564,95.75136,76.35472,82.42683,40.88185,67.68176,100.4944,116.4369,114.3197,44.11074,125.5038,84.22096,87.19585,80.78801,138.019,78.84718,92.54247,84.41641,86.19071,95.69001,67.53063,81.12099,91.97465,90.86767,54.11672,56.57856,127.3568,76.2919,62.50694,81.3007,82.09853,57.74213,46.06814,86.86765,130.1634,42.9795,74.42693,63.8252,85.99033,81.515,136.8382,76.74271,89.96822,46.15781,42.30871,79.81332,78.20172,115.5718,111.6905,45.00505,100.0038,144.1811,38.77935,46.32864,47.86383,44.02817,114.4498,114.7128,38.7597,84.33552,99.81618,84.80273,40.40913,92.8082,142.0207,114.1519,89.45134,78.07079,104.4373,39.33931,76.92074,130.2244,138.9274,116.5859,79.88477,108.1304,117.8128,156.7316,117.8588,136.3302,110.9258,147.1714,53.25789,143.1624
5,"1981",129.0645,113.4909,141.1342,103.224,89.59679,134.2795,81.74803,102.3947,141.8879,145.0963,109.926,100.3465,117.9417,107.7039,88.86629,114.1619,94.22768,126.7742,119.4534,119.4439,67.37153,129.7697,117.7249,76.67027,116.2391,72.80972,112.4203,131.9595,135.3121,91.80277,53.24406,123.3176,128.9765,117.0607,116.2098,133.9632,76.90604,104.6223,118.9733,103.8048,117.7963,99.51004,43.76915,120.9108,106.4637,101.3848,36.21934,89.98347,119.331,127.5064,132.1782,140.6807,117.2051,92.78187,130.5831,111.3852,90.58673,90.21828,143.496,102.0467,90.11835,129.8661,88.42682,83.98952,116.2729,145.6571,133.7573,116.0914,101.1316,113.9638,150.1452,75.78204,110.0801,108.0385,137.2861,96.07748,93.53008,110.4637,100.2695,58.72194,103.7421,101.5166,130.1809,32.11391,93.26086,84.6478,100.7378,101.7623,41.40427,97.0749,101.8502,125.9218,131.3531,78.86158,74.09651,117.5773,88.16727,125.8593,117.15,100.8579,46.65631,107.2919,129.7185,21.65131,19.77554,140.9771,119.9953,131.164,59.48109,66.47575,121.9001,21.19881,140.5231,127.6332,118.3976,44.45361
6,"1981",94.49915,39.92101,56.01759,33.59634,47.65944,67.29053,36.62096,44.56297,36.27619,42.7913,56.74678,38.33719,57.20859,33.75258,80.05526,90.83848,42.53136,29.84933,45.79327,57.94492,59.21821,36.74527,52.12689,30.90237,38.33055,74.38428,62.23841,53.49807,33.14777,47.89398,70.92956,56.75541,68.31313,45.06647,81.78193,53.75971,30.59633,35.90001,81.50564,87.19523,98.5603,39.23734,68.16378,57.68382,55.29629,65.74368,78.66567,75.08813,38.83248,51.92403,59.37902,63.98116,75.60452,71.68269,76.27503,48.27192,32.30079,37.66772,40.74749,91.4474,33.74911,53.07936,77.6834,42.05273,51.46815,55.92159,42.87269,45.60828,50.9406,49.38534,60.57075,60.35658,50.44935,55.42958,63.36466,33.69672,43.22795,57.78943,73.05378,62.03458,100.4844,30.15694,66.19906,57.40392,46.54502,43.86728,45.60305,26.23733,44.14461,70.92531,49.30342,59.66906,76.32188,78.64068,32.12291,78.94112,51.17706,96.91043,36.06987,47.36696,56.8618,33.68473,63.71901,57.63624,33.94229,52.70148,42.98083,38.65504,37.82039,71.30193,98.77457,50.24445,71.8465,93.82542,50.53962,82.08043
7,"1981",103.6548,49.87409,50.23128,107.1116,96.57042,71.23277,95.95522,134.0258,73.90867,65.98898,144.3194,108.2953,142.0102,72.16929,73.82278,91.5971,110.5139,68.28387,61.57828,105.5162,41.65033,65.43826,62.35859,73.57268,59.76969,69.07288,98.48907,74.55894,72.59995,108.4031,40.03596,131.7752,125.5778,92.49969,94.89099,82.92612,85.78638,108.3978,111.0333,84.74424,103.0721,117.2698,62.62969,129.1786,98.83353,99.4356,74.69028,116.0899,62.32232,75.35408,124.2448,121.8237,96.60653,61.34535,51.95597,114.5444,110.6059,110.3446,60.02322,95.48755,106.7728,69.74195,72.47879,98.85334,98.50498,103.581,60.92719,124.4835,94.45361,96.78253,90.26853,105.7373,60.06993,73.57346,98.43371,105.2699,122.6446,131.8897,112.4898,101.8845,103.2434,83.6704,136.2484,74.81575,117.7067,100.7519,94.34519,54.78347,98.35099,58.36254,123.1662,115.0511,83.51156,129.3633,92.15121,88.21447,50.7136,110.4888,67.25784,101.2374,105.3907,97.02596,102.8461,75.73279,100.1507,62.57957,87.03326,63.66695,110.4714,46.18957,109.4678,97.56267,155.6937,102.163,100.5393,51.94153
8,"1981",27.29571,25.09216,23.78778,70.61558,34.47728,38.30693,35.33897,34.57908,28.7812,38.38128,36.22744,24.32119,38.91331,35.26022,29.26264,28.02522,31.13379,25.21154,36.07651,26.43318,20.37267,38.43916,22.21319,58.09939,29.1299,28.96172,86.89236,34.21218,34.56194,60.56557,13.53626,43.88619,54.14144,20.15484,59.02502,33.98568,29.50426,27.90073,65.59581,25.65608,23.56765,34.95648,17.17562,46.70498,26.36268,58.7512,23.3242,50.56288,22.29553,34.72352,46.28937,46.12756,74.72371,25.07097,17.56502,28.98184,34.65329,28.27864,35.64938,24.60172,25.4476,30.67873,27.955,30.10042,62.2225,44.5062,27.78968,36.83459,33.05519,69.98234,36.45106,58.58839,27.41866,25.53348,45.52591,35.63343,42.1014,41.82068,53.20151,37.93929,43.58833,31.76846,51.05119,14.06345,35.51427,29.24172,47.59928,25.93909,38.96104,29.11504,40.33421,47.33678,44.41288,37.07386,34.37896,28.81657,25.35068,26.73059,33.12503,30.06061,49.00633,34.25115,28.98786,16.20949,34.23813,34.90123,30.56345,20.55071,50.24355,20.12426,23.79602,31.33421,59.31451,33.17042,78.72686,20.79137
9,"1981",20.95613,36.74051,33.06348,47.74694,35.7872,8.542313,150.129,49.92227,18.52333,16.60176,22.21456,33.93046,19.93266,60.43956,28.09099,26.99928,72.2244,17.90586,13.20796,18.08965,9.99532,18.51197,17.06998,105.7734,51.49655,5.456673,29.62568,11.03485,19.24992,35.4465,7.357559,16.34098,37.96266,24.74968,16.6873,11.85927,114.9995,53.40105,16.14413,24.06084,17.11103,113.1118,6.757488,16.41813,21.52698,19.20245,9.786747,10.44908,11.31,10.88468,14.09229,14.35083,21.44476,31.04591,26.63571,32.83679,83.43993,53.44139,16.33424,16.60982,45.517,57.6538,24.88987,43.6678,40.12657,13.60048,15.13013,107.8922,30.28734,37.1105,11.17914,16.97775,15.32336,29.29803,10.52242,114.3983,128.2127,19.94651,23.3569,7.497804,7.641868,65.46864,22.82134,5.527527,117.52,68.18653,63.87476,54.15503,13.03521,7.776716,169.394,14.61799,7.231995,11.62627,118.6446,8.612361,13.41236,10.6683,15.56628,30.47785,12.0968,83.54694,11.98508,6.794855,13.06266,11.78064,49.61835,17.1068,31.44779,8.721559,11.80926,9.515295,28.67087,28.83155,35.54108,8.926278
10,"1981",2.789924,2.427784,2.710431,3.311976,4.559674,6.401917,30.96145,11.03734,4.181559,6.300181,4.163785,6.735889,5.221001,5.043108,1.694367,3.04777,6.949884,3.856142,8.548862,3.901169,3.896796,7.272779,3.198681,14.74979,8.920137,3.267252,2.661909,9.639721,5.321562,3.460472,3.356958,7.014436,4.087059,3.730698,2.419298,8.068732,22.07104,7.03004,3.272182,2.479609,2.18164,9.662625,2.506486,8.183496,3.577057,2.87057,3.095108,2.632598,5.003686,8.127382,8.481516,6.183888,2.532195,1.892304,2.372924,8.206099,12.98484,8.220466,7.380252,2.102248,8.01867,7.750608,2.315401,5.979321,2.936037,7.895417,3.281263,31.54518,5.762967,2.604405,7.199776,3.084741,3.386961,2.320675,7.288823,17.92801,29.1628,5.329733,2.527057,2.322916,3.386763,7.799022,4.425744,2.217433,8.329513,6.661427,6.708964,12.26132,2.990668,3.294524,12.04709,8.60114,5.749266,2.322604,26.74358,4.821198,4.113029,3.769377,6.202164,7.467588,4.122622,20.60224,5.151261,4.803947,3.209782,4.879495,3.929613,2.834403,3.650545,4.141093,2.154877,3.428108,5.180076,3.562469,2.554341,2.929425
