"dekad","year","1","2","3","4","5","6","7","8","9","10","11"
1,"1981",25.29004,21.94691,66.25893,61.3365,68.94589,27.87946,73.0432,40.15368,76.09943,47.01097,76.25309
2,"1981",58.58826,81.00321,53.75743,24.28141,45.93525,126.5966,46.65997,58.00516,89.98748,81.72449,54.47689
3,"1981",79.90456,88.40257,95.96899,57.74403,71.55939,65.78868,117.8051,71.716,106.16,94.94595,119.8304
4,"1981",78.83559,132.1134,66.05956,59.97107,70.87894,103.8705,65.0047,80.25872,69.18124,83.70344,54.40057
5,"1981",90.92307,55.18067,113.7512,115.9863,119.0927,100.6401,98.87064,116.2641,144.1582,104.9147,93.14903
6,"1981",104.2012,92.6882,68.06622,36.58329,39.81455,63.57372,45.87358,67.98676,66.98273,79.31299,28.47135
7,"1981",99.38886,54.49801,113.845,66.24148,72.73767,65.18474,110.1241,94.59284,128.5819,84.68863,110.773
8,"1981",48.80909,13.66933,52.84101,11.42459,30.3103,26.95312,58.07436,27.37605,27.68417,26.00316,39.97486
9,"1981",40.05164,8.907967,57.39392,68.242,42.17174,17.81331,75.04426,20.18237,20.69364,19.61617,86.58625
10,"1981",2.026085,0.751416,2.539073,19.15993,0.9274807,2.269566,4.212328,0.887907,2.673825,1.71787,9.56579
11,"1981",4.161836,1.107417,2.622314,9.062261,1.558149,2.494889,1.975391,2.36185,5.596561,3.611505,4.957269
12,"1981",6.4623,10.85888,20.11643,42.2026,20.57127,49.36307,64.22914,23.00266,44.17951,28.38295,40.34309
13,"1981",1.366903,0.2586294,0.9934998,17.44088,3.561497,0.5672544,2.537724,0.7568095,0.9661816,0.6118879,3.954394
14,"1981",0.2687036,0.04839637,0.1385026,0.4602933,0.5936339,0.3018622,0.2009192,0.3084799,0.08604158,0.2563172,0.4278462
15,"1981",0.1110747,0.03085071,0.05581714,0,0.6828749,0.2426399,0.09217614,0.3653478,0.01827409,0.1970422,0.319795
16,"1981",0.167105,0.1416328,0.1234619,0.3816961,0.3719873,0.1817687,0.1665888,0.2231477,0.1116833,0.141078,0.3144434
17,"1981",0.07455533,0.1793395,0.02135311,0,0.1727091,0.1071716,0.03661719,0.1585788,0.01685958,0.05693235,0.1323257
18,"1981",0.05214923,0.1376563,0.007730958,0,0.1024508,0.07464812,0.008328537,0.1198352,0.005232874,0.03740103,0.06642245
19,"1981",0.01890735,0.02616089,0.004017662,0.09081245,0.099776,0.04804272,0.004384656,0.1222697,0.005820112,0.04638656,0.02661448
20,"1981",0.004531863,0.00052915054,0.001296681,0.1107444,0.07138805,0.02913362,0.00095827458,0.09902859,5.625781e-05,0.03757849,0.007184885
21,"1981",0.00832662,0.001103462,0.01825467,0.09767723,0.08039413,0.04486024,0.002325172,0.1166292,0.005750141,0.05382054,0.008045213
