"dekad","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
1,"1981",33.70565,62.09912,47.63391,32.6172,82.6576,38.95256,27.18546,116.6164,22.28014,31.51984,69.49223,112.9009,70.31157,87.10355,38.40181,36.45375,69.01861,20.08127,28.20721,60.33775,23.98413,28.04511,13.67867,51.02099,70.71539,33.63517,55.2627,34.14658,26.00939,23.00738,26.86208,79.16393,70.62378,85.97648,51.85059,44.72875,29.87463,98.32072,91.43098,37.67968,36.85675,52.27083,17.58531,80.89249,66.00743,29.75979,17.96704,34.64774,27.94446,34.53048,82.3889,79.03156,49.30789,36.78289,38.49611,108.1909,80.03714,93.74172,29.24083,44.99726,100.4836,70.51222,40.76982,87.69001,51.43224,73.93879,25.0745,79.08348,94.48582,29.65698,48.35263,26.37165,21.97283,56.18737,71.17817,51.67926,64.90688,76.92091,78.78618,15.54286,55.83795,86.09698,78.18431,10.64166,33.71231,51.81195,52.979,60.71399,18.41982,32.03556,25.2781,84.74521,63.0163,53.00175,38.29436,41.88157,18.4381,47.22146,27.85866,102.5639,19.27409,77.04033,48.20197,11.7051,12.10523,38.24238,84.89536,15.73471,17.12556,19.03156,36.9657,15.118,74.50345,36.59883,39.34065,23.61326
2,"1981",70.45621,28.10936,21.78348,46.42067,71.1355,124.6152,25.95998,42.7297,150.9194,161.9084,95.93559,46.69326,90.61502,45.85448,46.12981,62.53158,50.69742,144.2307,146.7627,49.42696,97.03848,173.4911,106.7064,62.33165,28.3569,51.50844,72.82224,128.8246,160.9595,76.8054,76.30296,103.0135,35.06371,71.23194,99.64655,112.8222,29.8743,63.98069,49.46022,64.19446,76.85045,51.83291,33.33265,102.4581,51.08582,97.53407,41.21115,77.78875,77.96954,92.72265,103.5183,83.65549,98.75434,27.82877,29.27232,41.13663,61.11761,40.62788,172.6079,68.62051,49.05628,29.5625,59.11712,51.4591,57.89728,96.75517,133.3782,79.19389,52.89403,76.05842,73.45764,88.36647,114.7597,49.35943,89.8577,52.1876,66.5695,96.71661,55.69246,31.53676,78.41846,53.05352,60.36608,14.4661,53.29947,52.10806,55.66606,30.71605,63.01009,75.14298,37.2368,101.436,89.94104,76.3737,37.51391,75.65858,107.133,82.84401,108.4148,32.12423,56.97721,65.95135,55.28157,15.07023,29.16904,138.0291,64.94832,118.9506,53.96936,75.9888,83.55301,22.48058,49.15591,61.94149,63.49877,67.02332
3,"1981",64.56162,54.3181,60.6678,113.0656,122.3178,88.13287,80.96793,133.2626,75.36953,77.69521,116.447,116.7271,112.4145,84.91769,66.01871,66.17854,141.1573,68.30009,85.67786,79.95606,84.68997,83.55074,56.3698,138.4314,58.4504,147.1881,83.84364,92.09093,74.76548,80.32728,100.7639,104.638,84.87474,89.02554,61.88296,92.22752,80.47509,129.9173,103.3721,78.30872,78.16022,125.8255,107.6207,99.41,75.82199,62.97936,92.53054,100.6783,49.60406,58.68846,99.23108,113.4688,64.05477,60.57218,66.39444,102.5496,130.0503,126.5038,82.05759,83.86153,121.0371,55.07345,73.58216,130.2121,74.65012,90.48271,67.7077,152.5343,104.4432,86.92373,57.97704,67.7597,68.88879,67.8812,103.5009,114.514,143.0393,99.46371,78.14446,109.4506,112.3107,107.4619,115.0557,87.50514,138.6205,140.6124,101.4662,67.0832,70.62808,111.0057,102.7762,97.01521,107.0586,90.87907,94.5237,72.4082,67.88509,92.24429,59.83006,93.86739,74.25429,126.6368,68.86995,70.93105,72.62758,77.04173,95.84376,61.37262,92.27042,65.09151,87.48889,66.96975,111.6102,56.66248,103.6056,84.88601
4,"1981",113.2445,49.88635,45.89693,51.61142,54.02259,92.28225,43.47163,92.89552,141.414,128.0842,59.85189,97.30218,66.0429,51.44633,86.70033,116.9197,59.34158,112.8351,91.33903,84.5741,143.3757,121.0868,149.0617,33.03128,58.47405,79.47536,51.07352,71.81271,126.6259,66.28074,121.7744,61.82279,68.19141,107.9609,44.1192,63.64217,43.52714,72.01463,91.29217,94.02657,99.33727,51.23209,122.5005,56.74618,91.36723,36.29749,134.2234,53.72852,93.06155,76.03318,57.02543,78.29639,43.90275,49.26554,61.12566,111.508,57.46706,72.49245,135.385,73.46581,77.50679,76.30202,61.95873,62.2844,45.04595,58.90142,138.6004,41.23515,73.45189,58.45048,70.15013,29.18928,146.5447,68.72482,69.22612,49.23012,41.58302,54.72725,63.97834,105.0182,103.0071,40.22067,92.68842,140.8993,42.19341,49.74154,39.30985,39.3227,67.52193,114.2123,42.32262,54.61709,84.27756,65.27651,41.74743,94.18839,150.1456,115.7702,88.78353,91.42673,65.36768,35.62223,74.93777,120.514,115.3344,117.354,76.48511,120.5868,95.79699,158.3194,112.0027,115.5989,108.7605,123.3376,62.80837,140.6561
5,"1981",149.9335,112.2658,131.3258,109.1539,96.9122,109.7978,88.70392,101.1718,92.5354,97.32661,125.0757,101.1945,130.7724,108.0632,107.469,138.5672,99.71469,87.14086,94.3987,105.462,42.30179,91.37185,82.42229,79.45932,117.8182,69.26115,122.6227,116.7679,93.02522,120.6419,39.16356,136.7891,121.4572,127.3721,143.2077,129.5332,82.71707,101.2142,110.0826,129.6876,135.9369,107.4026,39.531,133.6147,112.4448,144.5905,30.0581,111.7058,113.7652,115.1283,148.1102,148.9649,145.3582,105.7383,123.1313,108.653,88.2601,92.50199,96.01205,110.7619,89.85726,131.4103,111.3485,86.10043,117.4148,154.3141,83.97507,110.4825,98.93873,133.8099,131.8442,123.3077,67.84907,126.6837,143.5723,101.3422,89.07039,123.3965,100.2655,68.43327,94.29293,96.43169,128.5833,33.82136,102.2894,90.46886,101.268,100.9296,85.14134,73.13234,111.5861,140.51,129.128,93.74739,76.11595,105.59,55.16306,125.4285,102.3404,92.75156,83.88855,101.2447,103.4013,33.04882,44.21074,96.35801,128.2796,94.44354,80.03379,49.91899,132.204,44.11707,134.1699,146.2555,128.492,33.84696
6,"1981",87.30488,29.80225,35.31853,36.88945,46.59515,94.91457,39.12887,45.02053,86.51025,92.77624,56.9759,34.05665,59.25877,28.30389,69.9787,85.77557,46.40361,70.77116,86.69658,56.13388,93.00288,84.7634,91.98574,25.74818,35.91084,79.35207,72.94376,84.88517,76.10269,105.1445,98.60978,57.73744,77.79553,38.76716,115.793,75.20689,31.46395,27.14535,85.30092,78.85995,84.56809,43.07212,88.24086,58.09958,55.04643,146.7934,108.6448,96.36073,42.27769,64.75797,62.94553,69.63723,116.6109,57.70286,56.59895,46.67745,25.61991,39.20438,94.49099,78.10619,30.03012,52.10177,66.99502,42.89274,54.11781,64.67825,88.54324,33.15774,50.57201,81.28887,70.27497,154.438,93.37749,47.54786,72.20305,33.39438,33.44365,57.72961,78.37965,80.54826,105.8742,19.25916,76.08318,69.77872,51.15969,47.42979,42.93764,19.28654,143.0259,92.29695,54.05972,61.57236,82.9653,84.34902,29.54721,63.68975,90.5871,77.97325,53.32952,47.4099,135.8163,20.04677,58.64351,86.04569,91.64436,94.51697,34.30497,77.23864,82.00345,95.89783,80.68478,105.427,84.12222,88.94904,61.48017,112.7619
7,"1981",125.7547,46.78941,50.66759,105.0407,99.75927,58.03594,103.9404,130.2021,71.90524,59.18294,157.4227,108.172,153.1737,74.74333,94.2861,114.9159,111.0626,66.66361,56.69547,106.5118,39.78099,61.30013,60.77095,68.71712,58.82383,63.14785,116.4766,71.12006,70.12337,110.6238,39.18221,148.9337,120.7764,89.37155,106.3543,86.76302,93.67863,116.3371,113.2561,108.9391,126.9137,124.1924,67.27827,148.9723,97.36483,104.3142,82.59328,114.062,63.23966,78.00136,144.7684,129.0282,113.1007,69.41833,57.82722,111.1647,120.5123,109.3657,54.46622,109.2922,111.0972,66.12144,91.30595,95.06451,113.7335,120.9465,50.51083,134.4482,98.02905,101.1577,98.19249,102.0369,52.31937,70.72858,107.5702,114.976,131.321,151.1086,125.6992,99.58133,94.02704,93.22205,132.6671,75.73524,122.3246,100.1559,91.77228,57.62016,93.4417,48.17419,130.7657,135.1301,79.32165,128.679,99.47863,94.19697,47.16249,121.0855,66.46777,98.35282,97.13709,108.3012,106.1728,70.45611,93.017,50.56637,87.56055,63.98353,111.0127,43.61569,127.1838,87.6353,146.5987,124.2807,106.9705,54.51166
8,"1981",33.44213,18.86974,22.93317,57.05499,48.35458,20.09255,35.9188,88.00137,22.27509,23.69103,22.15429,74.51206,23.88128,24.69776,37.38005,35.9142,58.98021,23.06656,20.45626,35.10645,10.6511,28.44888,15.7902,66.56068,15.37335,23.75917,71.87425,15.35499,28.72841,67.04297,4.697792,25.22074,48.47668,49.49217,61.11758,13.65713,29.20174,44.46358,53.47768,31.74107,26.50894,46.78386,13.55497,26.54423,43.74353,70.55876,18.40687,54.66424,21.26718,25.90229,24.16813,31.21505,71.89204,30.63152,19.0404,79.22414,44.03463,69.25571,21.07334,21.60331,60.75315,19.80536,32.51284,63.75312,54.31117,22.09045,15.70744,27.13137,59.91138,63.81681,22.33423,71.53292,16.1307,31.7832,26.72085,38.33805,37.40626,25.60681,44.7225,38.74873,33.77066,23.3323,41.21373,13.17211,41.14452,46.4534,52.87934,9.25808,50.5535,17.06528,41.05901,26.61226,27.90852,36.9688,32.81893,22.97009,15.88703,21.0322,28.43112,74.83701,55.17154,22.64042,25.88803,14.73701,36.26063,18.06701,34.31992,18.04403,57.23979,12.30661,22.38253,29.96293,52.42466,41.67579,61.96679,13.03479
9,"1981",21.73442,37.80797,27.64414,55.85979,34.1065,13.70718,149.1072,51.32824,16.54266,19.15279,21.49678,37.72218,24.73203,67.46892,26.59676,27.52379,69.52779,16.0305,18.77761,34.0834,7.037297,21.20378,14.07076,116.5616,58.58595,8.394178,48.57147,17.79646,19.3676,58.62105,5.345234,15.04112,76.2681,30.62098,46.03723,19.82199,112.8352,56.71698,37.85495,23.0061,16.59892,108.8699,7.231862,13.1038,32.3863,55.39171,10.06139,30.54868,11.57416,21.10395,12.7883,25.68611,50.91039,27.53679,21.48514,37.53561,84.52883,52.52068,18.93817,16.72473,46.68372,61.5493,24.26294,43.63556,54.64926,16.89191,13.42052,115.7194,32.84626,54.61966,29.69078,60.1479,12.22147,31.69421,16.56385,112.1263,132.6534,17.17494,44.97186,17.93478,13.30756,73.62125,52.90092,9.185778,110.9646,65.25344,80.99037,63.16469,53.99813,6.650521,163.041,11.78568,14.38038,28.91287,117.9961,12.94637,9.693316,8.671611,17.94786,36.35138,49.6537,92.81145,30.59535,21.27827,39.51953,14.05625,54.66163,15.24277,48.12205,6.261922,9.485831,36.98627,67.10318,31.31938,49.4819,7.709549
10,"1981",0.5055149,0.400059,0.4865327,3.049547,1.679657,0.4538473,27.06094,2.890269,0.03209222,0.008644874,0.8791487,0.5721945,1.600123,0.1083314,0.004422061,0.3898012,1.618016,0.3043412,0.6089566,0.9049408,0.5093455,0.4438523,0.4650817,14.56519,2.339708,2.203648,0.7226307,0.9838546,0.5305814,2.215948,0.9093104,1.401722,2.194949,0.2918344,0.2739827,1.012692,17.35278,0.5391106,1.401981,0.06772032,0.1968216,2.298533,1.239038,1.473101,0.747399,0.5094598,0.4182172,1.385134,4.088868,4.77915,1.731805,3.452523,0.4205801,0.01335026,0.22334,1.204009,6.389893,2.021535,0.2627338,0.1810237,1.529286,4.765911,0.03266481,2.58501,1.760263,1.242291,0,23.37226,1.61979,1.827688,2.585072,1.164825,0.08008803,0.3204832,3.545557,11.82581,22.69603,0.2913558,1.000026,1.980757,1.297519,0.3757773,2.314139,1.945953,1.865639,2.898609,6.318327,4.238745,1.383995,0.9078941,5.759315,1.310661,2.46493,0.8787962,22.34991,3.371785,0.4415592,1.09143,3.298024,1.341835,2.715317,11.20001,1.402205,4.662714,2.693046,0.00040627291,0.7700098,0.2475914,3.174512,1.849185,0.2423511,2.649148,1.201989,1.046287,1.848979,0.6204347
11,"1981",0.9743321,1.570381,1.840986,3.561391,0.9030722,2.28853,11.44097,2.17367,0.05523604,0.120707,0.7023003,0.6584158,1.968607,0.4530466,0.04778391,0.7931,0.3218825,0.3815489,0.3180954,1.957775,0.8220351,0.02762783,1.384847,3.344583,2.429149,3.2512,1.001707,1.368136,0.2592364,5.682506,1.364877,2.387827,3.402029,0.129886,0.5804831,2.053077,7.816597,1.088359,3.255464,0.7160197,0.4759599,1.231171,1.374617,2.61207,1.885425,1.292071,0.4861123,2.350437,5.197796,8.355982,3.338056,6.562663,0.8579082,0.3153349,0.8380136,0.7118306,6.150047,0.8722723,0.3462678,0.7681081,2.219035,10.2028,2.167454,0.6322147,2.164292,2.478708,0.002581404,7.522295,2.049515,3.745994,3.438865,2.193006,0.1913341,0.6777509,9.280725,6.492991,9.811696,0.35873,2.05621,2.81083,4.229277,0.3896803,3.687891,2.655228,0.9074407,0.7593577,2.61108,1.368835,3.059345,1.965648,2.262592,2.495914,7.775254,1.708863,11.249,7.477147,0.6871334,2.777387,3.568768,1.248239,5.571094,5.951461,2.653216,9.559795,5.977206,0.5636408,0.6064792,1.001617,8.829022,2.846446,0.414637,5.113524,2.045041,2.287258,1.64142,0.8348684
12,"1981",19.0791,23.05359,33.37943,7.730623,68.86881,44.35978,57.96098,74.25098,37.68222,53.91563,41.58116,30.49117,44.26444,27.24438,18.56828,25.7776,72.22414,36.46713,63.00789,16.73537,8.042641,62.67106,18.96898,51.15294,34.06969,3.230562,9.267076,64.78968,46.35752,8.095685,6.315702,48.52746,29.53225,11.30075,4.95375,56.39928,42.42526,25.66516,13.9314,22.41239,13.4742,64.40627,4.296886,55.1147,15.03711,6.065492,6.532307,3.411922,38.22514,52.11504,53.05468,39.06071,6.060179,25.70474,26.91425,34.96682,48.74994,67.4466,67.59299,13.14387,40.74102,38.13628,22.63096,73.55013,16.11481,49.42063,21.63041,40.92862,63.58454,5.666339,39.75888,5.470644,10.74493,16.0597,45.18651,58.53619,48.07357,50.02039,10.03716,3.144696,8.87229,26.38966,33.09118,3.90116,72.07105,74.86359,36.70077,24.62317,5.722335,4.208539,57.3237,52.90008,33.68025,4.02823,43.30306,28.59257,12.53824,21.0055,48.14857,54.41203,7.516397,39.85152,21.51024,13.93173,6.432816,36.67187,20.28581,27.57141,8.413285,10.24424,10.55522,6.490767,36.0887,29.00435,5.213728,7.206563
