"dekad","year","1","2","3","4","5","6","7","8","9","10"
24,"1991",7.903984,16.07738,3.35441,6.603143,22.99339,4.838934,6.764844,3.154886,8.545658,12.29606
25,"1991",9.177527,15.38384,4.112095,6.002445,28.5317,3.373021,9.103998,4.271864,9.374967,17.24204
26,"1991",10.66457,15.16915,4.305147,4.966856,31.91596,2.430342,11.91882,4.218229,11.22791,22.11995
27,"1991",13.9146,19.37882,5.147169,13.97515,33.45634,8.92714,13.49429,8.342838,9.820829,21.00836
28,"1991",10.28589,14.8302,4.274496,8.593029,30.06068,3.087664,10.40961,10.28694,9.608504,18.31903
29,"1991",29.51472,48.77345,11.16835,37.51261,32.25667,9.248319,31.82513,32.44183,19.10712,26.21025
30,"1991",28.84562,59.67587,15.33504,49.13718,32.02064,12.24302,32.72456,40.09466,18.80703,19.42237
31,"1991",18.24004,31.22557,12.42523,37.88203,20.48879,12.77955,31.9445,49.90384,15.49711,25.53682
32,"1991",43.60671,52.16223,34.1953,47.59786,30.51723,28.12525,46.96621,49.33614,36.98057,28.58298
33,"1991",58.98761,70.53109,40.11023,69.70731,24.39602,36.64008,63.92608,64.83553,48.80188,46.40735
34,"1991",40.01874,71.7922,36.88948,70.83723,13.4841,35.71078,58.31802,73.50359,30.23075,42.8746
35,"1991",66.2345525,77.1836375,60.3552666666667,70.8616216666667,55.8281895833333,57.0806379166667,65.3875083333333,74.4535083333333,56.5195841666667,48.0543158333333
36,"1991",70.16318375,80.0415083333333,67.9822354166667,72.33783875,58.7692458333333,66.0679604166667,68.3505920833333,78.3507920833333,60.9234245833333,54.48394375
1,"1992",58.48041,74.28984,68.94315,71.54453,47.66634,78.8113,64.85025,84.02679,58.16999,59.72865
2,"1992",54.30443,67.62631,47.61283,75.09832,35.45191,58.01413,72.87196,83.23806,69.4792,57.75981
3,"1992",63.82186,69.8411,62.44929,63.87013,60.91814,69.16994,69.35973,73.96609,59.56504,54.93844
4,"1992",77.8443512,82.6585652,78.82005,77.0768148,67.3393152,79.5193276,76.5173,82.8210356,71.5759556,65.050196
5,"1992",75.7248507692308,79.3771603846154,75.3576976923077,77.8831669230769,63.7096753846154,79.7868007692308,76.0911192,84.1663757692308,69.4791184,64.9940536
6,"1992",74.2761875,79.6344725,74.9368920833333,77.4667941666667,61.6756066666667,78.3018483333333,75.4844866666667,82.1237379166667,66.22797375,63.3160104166667
7,"1992",41.91995,50.92732,44.6695,65.10754,32.15522,61.40165,46.31546,75.84417,41.23289,31.38564
8,"1992",37.209,42.53449,42.43192,55.57611,33.92407,51.82318,51.81957,63.17775,56.54481,50.18951
9,"1992",73.05729,76.16964,62.25723,71.45246,55.12266,68.90913,73.61183,75.83949,67.13226,63.67105
10,"1992",54.1368204347826,62.2560495652174,58.4850086956522,70.1647673913044,38.8111578695652,64.6906052173913,57.3842520833333,76.2318339130435,46.9242915217391,41.911635
11,"1992",18.14928,46.22288,15.77849,54.76067,8.658908,39.4217,27.92165,67.40311,16.8723,18.77335
12,"1992",25.82815,22.54685,18.6634,48.37037,14.14709,33.24383,31.64064,63.81493,22.43181,24.42769
13,"1992",29.7893,41.97926,15.22564,57.78322,21.10014,41.02559,28.74432,62.46387,35.29614,14.78868
14,"1992",13.835,20.63218,10.08485,36.59718,10.03131,20.52989,12.5325,55.42983,13.41442,10.6203
15,"1992",6.246682,7.723879,7.046883,16.1411,5.498816,19.27211,12.62743,32.15063,8.512252,11.24549
16,"1992",9.775595,14.13237,1.850342,23.66128,7.92174,6.499456,8.769331,21.36047,9.846248,9.711823
17,"1992",7.535893,7.592942,3.474056,14.1342,7.902201,12.5628,3.242419,23.7614,5.58069,1.391855
18,"1992",7.005374,13.46795,2.04292,9.460205,8.065204,4.466435,10.82464,8.603805,12.22829,8.596972
19,"1992",7.216026,8.394917,2.771262,18.08435,10.66792,10.10522,6.226198,21.82756,5.897316,10.88612
20,"1992",4.678366,5.549339,1.646579,5.653945,6.790334,6.135411,5.349737,7.821406,8.599951,5.833018
21,"1992",5.257865,6.280073,2.72162,10.74216,15.13417,3.044782,9.296124,8.593474,8.891391,21.00851
22,"1992",5.248507,2.762293,1.457699,11.61236,3.930302,9.109778,7.736473,16.82109,6.709676,9.424443
23,"1992",4.057659,4.651035,2.23513,9.837981,9.780267,4.690877,3.21789,10.13334,6.804732,7.817049
24,"1992",5.988231,4.354767,2.658068,14.51178,10.51768,7.002421,8.341191,13.62724,8.693981,15.47915
25,"1992",5.646122,4.925778,1.550659,10.65539,10.05354,10.37351,6.545981,14.07158,7.206471,14.11951
26,"1992",5.77369,4.128149,3.769433,10.53571,10.72298,5.242953,7.187666,11.80205,9.934215,17.78016
27,"1992",6.615762,5.531044,3.132798,5.875038,16.29361,5.496625,9.307598,7.13061,12.32239,16.18772
28,"1992",6.697286,4.410103,4.971498,10.52869,16.05454,3.361791,6.87429,8.96319,8.991324,16.63556
29,"1992",7.564105,6.713135,4.132512,14.01685,15.82255,5.528535,21.3321,14.23558,12.11104,18.45212
30,"1992",11.47898,15.54524,4.705821,20.97737,18.83736,4.379075,30.53153,19.02849,11.76455,19.8668
31,"1992",17.4235,24.74879,6.141544,23.55664,15.35846,5.935737,37.36812,19.20671,28.52807,33.4404
32,"1992",27.03552,50.35506,20.09194,31.42584,27.20792,28.27372,45.52576,35.95002,25.78981,34.60014
33,"1992",41.11811,52.2736,40.41129,70.33755,18.27908,55.85765,50.09702,77.02626,30.32547,28.51804
34,"1992",40.48008,44.42906,14.05353,46.69381,25.50212,17.03953,42.24095,48.28902,56.72258,30.64171
35,"1992",79.05447,82.48566,73.87413,76.59911,79.65536,61.23011,65.18577,76.68388,52.81467,44.10782
36,"1992",83.24123,87.11761,75.47608,68.93624,73.84836,74.66144,66.38534,79.5624,77.19991,60.91894
1,"1993",80.46043,85.73594,73.74132,68.89496,78.14223,59.10709,66.563,60.77355,82.18404,72.53993
2,"1993",77.35591,86.84293,64.89754,75.73392,73.99657,63.04351,74.1806,86.49944,67.72366,51.72708
3,"1993",79.62156,84.82651,75.13145,69.01968,64.46524,75.84976,75.4231,80.67276,62.49803,64.04933
4,"1993",84.19811,85.33717,79.90647,83.28664,76.38483,72.1389,83.52933,79.82755,79.90908,77.9743
5,"1993",86.18583,83.84429,81.15231,78.58308,74.31464,83.85275,86.28091,84.04617,85.96516,76.18645
6,"1993",90.29703,87.73601,89.6416,81.78596,82.46606,82.65462,82.51234,79.89072,84.29977,86.26627
7,"1993",89.17902,84.87466,89.71201,79.09637,75.24557,92.05759,85.41682,84.14098,84.3586,75.49765
8,"1993",81.54926,81.04829,78.65418,78.43365,65.68252,78.67011,78.73194,81.40699,69.62337,58.79605
9,"1993",75.22837,77.58925,77.65148,78.95516,55.42622,81.66883,74.7031,85.6174,64.52541,62.80949
10,"1993",64.21497,70.60809,66.1926,68.92224,36.86947,74.29868,73.8947,77.23383,53.79367,62.66028
11,"1993",74.55521,86.54073,61.66559,77.63151,65.92065,52.95511,62.69186,71.42049,61.83837,47.73009
12,"1993",54.19706,53.08508,68.5584,53.1977,33.95206,58.85783,56.28585,60.86386,44.60216,35.75462
13,"1993",41.63973,52.1931,34.882,50.38852,27.32252,34.70643,37.76312,51.52283,33.01546,25.94417
14,"1993",30.2438,23.12869,30.35009,31.70267,17.49839,30.66756,29.85735,39.83428,22.62708,22.927
15,"1993",24.61817,30.42296,20.49961,21.34874,16.92498,20.8099,22.10248,25.6473,21.062,17.97525
16,"1993",21.81581,21.35452,9.391385,25.60049,17.76512,10.39291,14.46304,23.01551,18.22138,14.30279
17,"1993",19.32843,5.414202,16.13527,14.45999,17.04724,18.39505,14.1912,22.31198,12.5566,13.42015
18,"1993",13.24104,20.1604,7.399812,17.37608,11.67038,6.026502,6.42778,13.13819,14.09786,9.262868
19,"1993",12.10688,7.010885,8.65323,13.51374,12.62799,12.92243,10.94865,19.25811,13.80994,13.05369
20,"1993",14.38842,18.41024,4.955756,12.40088,12.62217,6.919637,10.89698,8.434872,12.18218,18.38014
21,"1993",11.96374,11.90306,6.044384,12.88591,11.98731,8.568568,7.81797,13.75679,10.09566,12.17708
22,"1993",14.3372,6.805962,8.689674,9.772415,7.758527,12.37938,10.31654,14.32394,10.5125,11.57104
23,"1993",12.17364,10.72237,5.600037,15.04769,16.71869,5.597133,6.436348,12.17401,11.54472,12.59726
24,"1993",11.00925,2.823749,4.825706,9.73084,9.59742,12.79559,10.51963,14.37568,12.09393,15.37355
25,"1993",10.92923,9.730415,5.395787,8.154181,15.33937,5.076137,8.017058,6.338048,12.2912,15.38254
26,"1993",12.92904,5.561578,5.762919,13.23267,15.31324,7.005303,14.60662,12.19062,14.95969,21.65339
27,"1993",17.40111,14.8843,6.394928,9.109592,23.15521,6.928324,18.43947,8.455373,15.99266,33.22294
28,"1993",17.95582,12.08832,6.514112,11.89239,18.46408,5.682892,26.50053,9.010275,17.82022,26.50482
29,"1993",16.63162,11.12095,7.484072,9.734617,23.33498,6.620855,17.63342,7.541908,18.04243,22.99342
30,"1993",18.94314,16.86302,10.04236,22.82251,21.7218,6.440643,25.25606,13.67037,19.62837,27.86555
31,"1993",37.53396,49.29649,37.26685,56.93496,23.24868,47.22123,37.67764,64.69339,47.01222,29.30942
32,"1993",55.06403,59.35218,35.98112,48.84295,39.6284,33.76146,55.4277,50.13099,39.32325,47.57011
33,"1993",53.72814,52.15881,38.75761,48.24655,39.84667,44.65184,62.54332,53.92727,67.19308,57.11239
34,"1993",53.08411,56.12867,35.04275,44.16492,45.81547,27.17502,59.61659,44.34094,55.60374,48.41772
35,"1993",55.54998,66.65502,46.05561,61.97995,35.84467,30.96879,66.3921,53.96469,58.38649,43.96034
36,"1993",60.61121,76.08519,58.19249,47.99228,51.07887,43.40031,65.11519,56.66214,54.9743,59.2634
1,"1994",68.07705,71.02058,65.45554,61.31166,58.18856,70.10327,80.99549,71.33723,69.20237,64.86763
2,"1994",70.94137,82.61913,71.74195,73.2441,54.542,73.6199,83.09574,78.1,65.14741,73.89112
3,"1994",76.55212,78.95894,76.4427,68.19424,73.81207,73.53249,84.77422,75.34528,84.18845,76.03143
4,"1994",78.4286,80.4482,77.384,65.01114,68.08297,75.85647,88.52399,73.50103,75.98624,82.13628
5,"1994",73.93432,79.14331,70.5625,70.75417,57.10372,81.73818,86.77789,80.11216,62.8486,78.18181
6,"1994",57.26421,73.04004,56.75139,74.29531,42.94273,81.45683,83.42986,81.42426,51.38309,69.92339
7,"1994",44.95626,58.27708,46.65437,68.87167,30.60223,75.58367,69.58689,81.25484,41.233,54.76725
8,"1994",42.56707,54.08457,48.13496,68.99063,29.03117,72.18684,57.84695,80.53139,41.12063,48.50761
9,"1994",29.29641,33.69107,33.83266,54.72613,16.00725,55.66446,39.37124,72.11143,27.90603,31.64828
10,"1994",54.1368204347826,62.2560495652174,58.4850086956522,70.1647673913044,38.8111578695652,64.6906052173913,13.91648,76.2318339130435,46.9242915217391,11.57534
11,"1994",25.38693,43.08738,21.49843,58.93228,16.23102,41.08904,27.99609,67.64442,19.99613,26.33578
12,"1994",31.63724,34.26394,19.76811,52.29304,15.89469,43.98072,48.49199,72.01107,24.05512,30.02042
13,"1994",19.47663,30.86267,9.242618,36.86422,12.63164,21.75151,12.56921,35.62432,12.51528,9.572187
14,"1994",13.23116,10.18141,10.26647,23.55047,8.654297,29.01624,19.79357,38.77014,12.38258,17.07608
15,"1994",12.97569,23.16621,3.146154,25.96905,14.23321,9.80582,10.1429,22.21979,11.95472,11.02825
16,"1994",7.893595,2.358161,5.906475,9.964694,8.752023,16.32649,8.910412,20.99822,6.011447,9.926392
17,"1994",10.11513,12.19213,2.665917,20.21544,16.08267,7.667721,3.115723,17.47121,6.733637,9.035752
18,"1994",6.082069,2.550342,3.405779,11.56028,7.215458,9.709,3.432975,15.78018,8.762073,0.7176417
19,"1994",2.869942,0.8823631,0.3454306,3.816718,2.727589,2.623536,1.451678,9.139046,5.620523,5.696161
20,"1994",6.864429,6.266477,2.21435,9.453135,6.812318,3.855735,8.581333,4.636371,10.13822,12.32448
21,"1994",6.229138,6.018847,2.30667,13.301,7.621046,8.672355,4.301702,16.40408,6.601562,7.288143
22,"1994",7.206837,8.941389,1.982792,8.711096,12.27927,4.760046,4.736179,4.242829,8.407017,5.432937
23,"1994",6.505278,2.324096,3.3379,11.07987,7.996927,9.726746,6.728244,15.2658,7.534225,10.77966
24,"1994",6.564559,7.569127,2.687372,10.29025,13.06,4.306602,5.161436,9.260062,7.371795,10.53546
25,"1994",7.454912,2.917494,2.678964,6.41922,11.06426,6.920215,10.41056,8.802549,7.912304,10.6794
26,"1994",5.093728,3.679721,4.320535,4.752684,8.972007,1.016175,6.289333,1.827944,6.861524,11.81885
27,"1994",6.862193,5.505617,3.055833,2.345771,15.86094,2.34043,12.24491,1.715722,11.57893,8.674261
28,"1994",10.8844,10.51735,4.992133,18.07301,15.30745,11.51607,12.17756,22.16487,9.515759,16.9946
29,"1994",33.93068,26.6939,21.64986,42.96061,21.07737,12.70835,21.1648,28.41868,33.2871,14.57688
30,"1994",20.91296,28.05489,15.28184,32.20319,16.47825,10.05564,27.72201,18.26602,10.71974,18.46812
31,"1994",27.55678,42.61001,17.86728,28.50277,36.98124,9.342937,23.8433,20.85852,19.43621,17.17855
