"dekad","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
24,"1991",4.735982,4.368771,3.701224,1.912938,0.5264274,18.16283,8.983085,3.835812,8.23357348,10.2517528,12.22965,0.8864323,13.66648,9.014001,1.223682,3.457021,8.567704,8.105966,5.26386496,1.948968,6.126511,8.50136984,7.25874644,NA,9.132259,6.638518,6.339066,4.081988996,8.27517372,5.249034,6.753352,17.45118,15.86539,2.446136,7.76985,22.92323,2.608676,3.043121,12.63652,1.810355,2.641268,7.891825,9.966475,18.11117,2.702816,8.972821,10.44518,8.423161,20.81086,12.47458,18.3595,15.77338,5.72693,0.9567407,5.787376,2.537344,3.547452,8.239418,15.573612864,1.718631,5.720457,8.248054,0.7794391,5.689467,6.764844,18.3595,6.764844,0.03192567,1.438599,1.321265,4.27279,6.764844,8.045339,0.639346,18.19377,4.740661,2.416631,16.75229,5.394496,19.1789,9.056695,3.075788,12.4839,18.166,2.884971,5.369187,NA,11.22902,17.80191,7.025253,23.35462,4.368162028,19.08401,6.176619,1.274648,8.362892,4.264201,2.678292,25.68557,2.646982,18.8481,0.4452058,1.25896,19.78561,11.4802,10.53683,4.749658,12.44331972,8.723443,10.80315,2.288454,13.39922,15.86136,4.861536,3.649902,8.509037
25,"1991",2.481509,2.657484,4.075294,2.417234,1.746654,15.84263,4.340478,4.468994,8.66303988,10.337668,10.38384,1.818771,13.89306,4.039822,1.306552,0.8270836,10.59489,9.06562176,5.8142504,2.875934,6.612627,9.27977716,8.12332036,NA,6.026581,5.751249,13.85964,3.86420275833333,9.22052356,5.886225,7.827325,19.27888,16.91659,3.945432,14.06633,19.27057,3.562882,4.931538,16.86071,0.2459901,0.6875508,8.004454,10.43621,20.70287,2.183966,12.93408,13.236,14.61887,25.98205,24.03241,17.60892,15.64626,10.28942,1.443542,7.494019,1.891116,4.21551,9.521508,16.2211629583333,1.041298,7.037333,8.713784,0.4484051,6.926032,9.103998,17.60892,9.103998,0.1374147,2.02044,1.592705,7.121045,9.103998,9.445232,0.9545332,14.81746,7.284175,2.411107,15.35947,4.63035,26.00282,10.28831,5.817864,13.14572,23.98413,2.939857,6.860837,NA,4.471428,22.27787,6.897173,13.349,4.95966740869565,16.39739,6.858358,2.579525,14.34211,6.210919,1.605041,33.02367,2.137074,27.55775,0.7972604,4.551619,26.19518,17.19704,14.8881,3.853219,12.41757208,10.82098,17.64561,0.4828493,16.33785,16.72764,1.82374,6.464717,10.17308
26,"1991",3.392148,0.9375419,2.268454,3.26396,2.78708,20.74852,3.196812,4.410755,11.10184624,11.5015768333333,11.83143,1.461381,12.4439,1.569824,0.3472542,1.62447,8.406872,11.51557108,7.64226264,2.490715,5.901971,11.34413288,10.6278725416667,NA,0.819724,7.340296,19.48837,5.0801329625,11.58530724,7.350096,9.416623,14.08329,13.45782,4.864668,23.35861,19.20212,2.202951,5.736079,17.29745,0.8898443,1.346457,5.390489,14.55566,14.4984,2.18155,16.07976,15.17848,26.84397,31.50628,24.03127,19.32568,15.06261,17.3222,0.3882114,2.451768,2.378479,4.352717,9.902298,17.9967044166667,1.198021,7.357509,7.281716,0.3572266,6.290612,11.91882,19.32569,11.91882,0.6258297,2.88294,4.318448,8.20994,11.91882,6.728629,0.6152463,18.36282,6.543301,2.757943,15.0749,10.41321,32.49776,12.97236,5.043191,12.54507,27.15788,0.885071,8.425672,NA,1.203206,23.42214,5.872023,7.629042,7.53389708333333,19.66954,15.45703,1.717553,16.95015,6.159865,1.818859,33.61734,2.234761,31.90652,1.44133,5.048231,29.95564,19.40031,15.13146,5.55371,14.91702976,11.15945,16.21095,0.469712,21.51536,13.43015,3.863775,10.06795,13.2785
27,"1991",5.23623,7.668442,4.904822,3.85077,19.26669,21.92966,7.726197,12.0341,12.36168676,13.28524976,15.91068,3.594943,16.71698,12.42422,1.783478,3.401047,12.70848,13.24554936,8.33830948,10.48022,7.185357,12.18031812,10.8607306,NA,10.41976,8.856256,17.46033,6.495160572,13.47785452,6.687687,7.75786,21.09465,17.96502,11.82592,22.69571,18.41513,8.689144,6.669276,22.36048,1.497499,2.739407,15.59301,11.46306,22.293,8.932225,14.12765,13.56607,25.78477,30.29005,24.52067,24.45082,19.54618,15.58257,3.075104,6.487895,3.099884,10.23512,15.65652,19.03364048,2.138775,9.175618,12.34271,0.8535709,27.78932,13.49429,24.45082,13.49429,5.801911,15.07347,3.599074,11.76624,13.49429,7.71517,4.911366,20.2278,19.05297,4.145187,19.71017,12.12055,31.22634,16.99708,8.742623,18.4957,25.54586,3.487174,11.74032,NA,6.107896,21.18753,6.703283,12.35939,8.390181,19.45731,17.17833,5.893677,14.67035,6.513192,2.442618,36.81483,7.232151,29.96509,7.987015,8.943928,28.51208,18.15879,23.6234,11.13297,16.6389974,13.37199,16.57231,1.995158,19.11667,17.73872,5.254673,9.602433,11.36098
28,"1991",3.909454,2.178345,3.045717,1.827306,3.831884,21.91962,38.48406,5.773315,11.67620088,12.77121732,13.16725,1.001338,14.22011,3.232171,0.0763291,1.62507,4.035267,12.7711016,8.86246112,1.229763,6.278759,13.00283356,12.91226208,NA,4.184139,6.44702,12.72884,6.47910295833333,13.47858136,4.388584,9.023681,18.22742,15.00386,3.602786,19.53797,19.08454,37.91599,3.480958,19.3279,0.7985404,1.800175,10.53298,10.54107,19.26025,1.373094,11.22363,11.78286,23.00471,28.46611,19.85724,13.61547,14.23427,12.96006,0.4201605,2.757846,2.122251,5.722282,8.057023,19.90418688,1.385968,5.334064,9.383445,0.346546,4.801856,10.40961,13.61547,10.40961,11.54225,2.356449,1.616895,6.667033,10.40961,8.046134,0.4909376,14.41142,21.10916,6.472336,17.35484,10.14813,27.73584,14.84085,7.819649,12.50276,23.60116,1.361215,6.581226,NA,5.904635,17.05996,5.947293,28.83979,14.11753412,18.44198,15.21459,18.47759,16.14284,4.525891,2.169123,32.37117,2.403451,25.97583,12.39355,3.899001,26.44289,16.03439,16.76783,4.775853,17.02562596,11.39245,20.50937,1.108292,18.42109,15.07178,3.280973,6.416454,12.09876
29,"1991",23.41517,2.251946,1.022215,19.59429,43.95468,38.16056,46.29919,12.25937,12.62776088,13.14786564,49.993,7.643993,52.62984,9.817863,3.319125,15.83012,48.40406,13.72951036,9.92666564,20.85463,25.50668,13.65891644,13.32787716,NA,2.506631,12.9933,34.605,7.48201692,14.26257636,12.60985,13.94233,47.97973,44.50137,23.31993,30.33,69.39949,50.55938,28.20598,42.77814,13.93557,13.3118,51.00014,20.19677,45.40468,14.28724,18.77668,20.38869,27.02702,28.89197,32.1137,35.04786,46.66358,26.57056,0.7952103,0.4452912,4.001335,35.31594,29.59631,19.95207668,8.679338,18.9613,6.65213,3.218987,40.74146,31.82513,35.04787,31.82513,42.1079,36.69947,16.06371,50.26989,31.82513,20.32425,3.296162,52.47228,50.59233,39.78041,47.61281,25.54067,31.24559,33.53248,22.38354,51.91378,31.88844,38.14765,48.2026,NA,11.64539,23.72224,15.27062,45.26486,14.27545448,46.51181,19.30716,44.68617,25.87705,28.19965,19.37797,35.16021,15.47369,35.48358,32.49187,27.82686,35.8876,23.33464,27.05263,14.55706,17.71694804,14.3137,20.44772,7.889335,26.90971,44.44345,20.26298,27.19748,19.02288
30,"1991",23.36782,4.853406,4.56645,25.10743,52.8971,46.60152,41.74817,27.11354,15.54435076,16.01166212,54.86679,15.2969,53.10117,15.99866,12.94796,26.02065,72.19932,16.37127344,13.90910188,22.7464,34.65316,18.23066068,15.55361272,NA,7.324689,10.48092,31.28082,11.45408796,18.03918668,9.476245,18.0126,53.65129,72.64288,22.64889,26.23471,54.23806,54.29572,30.41968,33.50952,18.79837,11.72528,79.38876,16.45341,52.11025,15.13627,14.54734,17.30933,24.61969,28.83419,34.96296,17.2185524,60.53521,21.35472,10.26561,3.748242,4.83868,55.9516,60.06722,23.93416228,12.05225,52.76408,12.71424,9.954872,42.87002,32.72456,16.16812744,32.72456,36.65458,41.56615,12.59921,39.19183,32.72456,22.9722,9.491898,68.17118,72.64769,34.33589,55.83839,28.44702,24.98706,28.55863,23.06999,60.26352,23.94158,69.38061,69.04574,NA,15.56261,14.93884,14.1133,45.50019,18.46108604,51.76094,22.58459,43.22252,28.65838,46.19338,12.17373,33.91521,20.12094,23.29553,30.811,32.76331,22.2197,15.42973,42.40163,15.04135,19.0947956,11.94465,15.09667,6.51122,13.52676,73.04255,25.67088,28.24859,15.23706
31,"1991",22.27533,6.568828,8.66065,20.6707,20.87662,20.44186,66.23911,33.21354,21.9633972,18.8896430833333,34.82841,10.00998,36.70268,21.74652,10.27244,24.87491,39.79831,19.92323012,19.62227712,16.17906,9.808632,23.14814564,21.08079232,NA,15.38896,11.37475,32.46369,18.84065336,22.69468324,8.583908,13.94239,34.51206,65.61704,18.0195,32.01047,18.8198,64.56867,36.13193,33.25803,11.87074,12.36961,76.83964,20.91743,35.7505,11.45717,14.55476,20.64581,30.7656,15.73895,32.51391,40.46821,32.3907,27.31755,9.312097,4.826074,4.203516,62.21555,41.83114,26.76664375,7.92102,36.96449,9.959173,7.642325,25.31377,31.9445,40.46822,31.9445,62.27457,19.33536,11.31727,15.72132,31.9445,4.046259,6.382054,22.94347,83.74327,62.80489,33.30135,34.50233,32.1107,20.51828,38.59827,47.3927,32.58725,48.86419,40.21452,NA,25.30352,20.18122,5.518613,45.32697,30.44433528,20.79369,31.12325,64.01302,19.40064,10.51327,7.086775,23.8196,11.73325,29.30936,50.56881,17.5232,40.19882,16.58997,22.18797,17.6348,23.05587784,14.97486,21.87396,8.578242,25.38941,66.2869,34.83995,26.26038,17.93476
32,"1991",39.76338,18.31045,26.57546,35.48617,60.7272,51.21445,54.91666,28.81565,31.6112536,32.488816,39.19666,20.01619,38.9455,33.8384,23.07601,36.0251,66.66924,27.94660492,28.85789164,37.50085,50.21753,32.7704652,29.2303468,NA,19.13324,25.67835,43.58362,31.0410382083333,32.281472,14.93406,38.27613,41.78397,71.8108,50.5788,39.65582,35.42874,53.50626,53.2797,65.4319,36.50223,46.0641,73.26158,32.52179,43.00957,33.82988,20.87145,35.56813,34.75068,30.34236,50.28585,55.7222,53.05559,34.58249,21.44902,25.50488,5.993265,63.46624,57.45568,38.5248388,35.57095,54.07157,19.14748,27.05127,42.46855,46.96621,55.72221,46.96621,41.1688,48.88198,18.74622,57.96106,46.96621,30.72018,17.38853,70.73186,78.47221,45.53176,39.03622,48.69834,31.06645,48.48879,42.68032,47.05372,30.00408,42.17831,54.1059,NA,24.35512,18.65381,32.59376,41.90643,40.64478448,59.78758,41.0099,41.31915,45.8762,47.9659,44.36766,29.55935,22.20393,26.15892,40.54898,43.97498,36.64685,30.31575,45.42049,39.9352,29.7823868,16.22934,37.23929,42.01587,31.30533,72.31902,39.54533,36.66994,42.7257
33,"1991",47.33516,22.34034,22.6699,43.87075,82.4729,66.80075,59.60609,61.60999,39.8399345833333,44.0813304166667,52.92939,39.42464,61.75687,30.44591,41.7421,42.51397,92.7033,32.7220795833333,43.555535,53.34616,72.11917,46.1502825,38.0303717916667,NA,23.02662,52.01926,66.19358,45.3911570833333,41.3466345833333,35.67448,48.53748,64.61549,79.04276,57.30489,62.08518,55.18003,59.14772,71.39461,73.99301,41.34727,45.05111,83.04221,40.39708,61.83986,43.10355,53.24231,37.21422,53.09455,26.98263,36.93476,57.1821373913044,73.07995,60.88406,35.26083,23.39347,11.89973,77.29978,81.63487,48.568835,29.441,74.38087,31.60246,37.7272,82.64024,63.92608,55.1367156521739,63.92608,62.82056,78.42515,47.20292,62.72352,63.92608,67.53484,38.16563,83.0217,79.64302,58.64727,62.55481,64.96553,43.18516,73.5518,58.73281,65.5464,47.46537,66.03342,84.10802,NA,39.06174,40.66019,63.23353,46.78471,57.3024060869565,64.93845,66.82809,49.49747,48.36043,66.51691,47.37502,18.82697,53.04045,41.36254,64.94403,55.11983,52.03732,33.83288,81.26736,46.68633,33.3853079166667,33.89135,34.65964,43.7811,35.37033,79.18597,48.67108,61.37148,35.43461
