"dekad","year","1","2","3","4","5","6","7","8","9","10"
1,"1983",72.0874574675325,86.3146082229045,71.6034620951254,76.2115637972785,67.3697076607661,74.0106788111111,75.7157502015981,77.8637588651351,62.8369675708988,64.9004569119646
2,"1983",64.5290038,78.7435859,68.055989,77.226227,50.515488,68.576699,72.1313791,81.083169,62.0308924,64.4810119
3,"1983",93.152944,105.74897,65.7235382,78.2615493,72.05331502,62.443414,60.040741,80.72874,80.43265033,72.160871
4,"1983",107.59118,131.8342621,110.017143,101.194591,96.05181164,99.085678,120.459143,85.970337,89.8407399,82.9729913
5,"1983",71.25189997,88.948184111,108.3584199,115.173753,89.7685841,115.183493,85.50558896,87.7080411,41.4032462,40.51557105
6,"1983",1.927806,0.3241352,1.709218508,25.5987643,0.63697178,15.7558985,2.37217938009,44.44560602,4.96292832595,3.00270244
7,"1983",48.06258501,55.5318772,53.67423461,84.0957955,36.461542,67.844806,60.92306844,78.561044,45.3720783,60.73756
8,"1983",16.93557046,36.694965013,10.74732155,62.2683162,3.71303042,42.2297614,54.5481196,66.4853165,2.794233,30.11026082
9,"1983",17.306520294,23.9276787,14.4237097,39.86950911,11.70243188,28.3865013,34.62008264,37.2334081,19.182616,32.6090372
10,"1983",14.53312816266,37.46894396,25.37832146,50.988929,0.4990887,30.1058868,19.7000161,53.37982585,5.1954223,21.354359105
11,"1983",2.85691555842,5.26143955,7.42127623,40.37545,0.1328453,9.99764746,26.58039338,37.089918013,6.37001277,29.1648875
12,"1983",2.95735768,0.9211125,7.326895856,8.022034704,12.10326676,2.15609118,0.864803,9.07870207,3.9599274,0.146671
13,"1983",4.608519838,3.791594,5.38187997,0,12.744873611,0,0.2468798,0,1.28327759342,0.78332394011
14,"1983",0.02902825,0,0.1319361,0,0,0.01742787,0.008397252,0,0.082031129,0.018077876933
15,"1983",0,0,0,0,0,0,0,0,0,0
16,"1983",0,0,0.001580774,0,0,5.7138037e-05,0,0,0,0
17,"1983",0,0,0,0,0,0,0,0,0,0
18,"1983",0,0,0,0,0,0,0,0,0,0
19,"1983",0,0,0,0,0.06491546,0,0,0,0.0440133831,0
20,"1983",0,0,0,0,0,0,0,0,0,0
21,"1983",0,0,0,0,0,0,0.00013488517,0,0,0
22,"1983",0,0,0,0.09588959,0,0,0.002889553,0.1900589,0,0
23,"1983",0,0,0,0,0,0,0,0,0,0
24,"1983",0,0,0,0,0,0,0,0,0,0
25,"1983",0,0,0,0,0,0,0,0,0,0
26,"1983",0,0,0,0.01745101,0,0,0.171405,0,0,0
27,"1983",0.04489662,0,0,1.583887,0,0,0.050521774,0,0,0.004560808
28,"1983",0.007164735,0,0,3.501836647,0,0,13.245329366617,2.224886,0.9710341,6.5929419
29,"1983",13.75374646,18.8672113,1.89892927,21.8876591,4.25995503,1.091358458,44.1417389,16.600486072,10.833089,24.77739356
30,"1983",3.65118412,13.4932114,0.28963998,13.1490241,0.144184743,1.09224561,25.58578272,14.69523006,1.2112296,25.78881648
31,"1983",7.88552253,4.22687044,2.621595162,6.6490967,10.180962,1.92052578,20.1583297,4.1920852,11.83700676,16.9207327
32,"1983",31.49230544,51.3257484,24.92850432,26.8694916,16.71655842,20.0671611,43.8674622,30.0900666,33.70042254175,30.7017906
33,"1983",36.80166465,54.6263828,29.461453,53.369589,24.3616425,33.258818,50.8313394,48.801775,26.23540368,49.977486
34,"1983",59.418307,61.92804818,56.18227,61.271427,58.1158329,43.140046,52.362761,61.210585,64.414599,43.3867597
35,"1983",46.8467583,54.0923454,47.8270653,58.937786,31.94497205,59.223745,68.4601139,67.925428,42.860372,62.74379508
36,"1983",53.1642555,68.8976869,47.7560169,57.7241973,37.080223888,75.36968,44.4071446,74.730311,51.248359,65.4767031
1,"1984",44.6421528,70.496676,46.6241331,63.01421846,33.8126506,63.995007,74.3153488,76.734184,32.07396426,44.1859636
2,"1984",38.0192502,57.3186902,43.8093437,61.949898,27.4165948,62.461712,54.104690534,67.563093,25.9161831,33.4965022
3,"1984",35.53425939,41.462603327,40.602968,60.8728924,40.56727452,51.594698,45.9413752,72.4988537,21.7598238,36.30339414
4,"1984",102.037307,129.3190565,82.214276,84.818922,80.655936,96.815987,87.2044033,91.6436494,75.0932039,79.63322
5,"1984",53.54108160322,66.2894627,56.132928,74.2087305,48.161972,61.4074564,59.0734392,72.988989457,48.837566,31.9790034
6,"1984",40.3375731,51.1576622,46.4702207,65.371765,25.3767323,63.282495,38.1401034,64.38274,15.200392,32.6634602
7,"1984",43.8100404,55.1594705,63.218418,73.817167,26.337747294,72.777244,55.9320086,77.693847,24.479108923,42.479046301
8,"1984",16.85129921,15.5818862,25.3209303,59.142594,24.246192,35.7748051,33.94345095,68.355068,15.5019956,32.640413177
9,"1984",52.659287,73.46579732,31.5873969,64.6161878,44.7367847,31.64072765,79.6845363,44.2150892,50.0589506,80.188622
10,"1984",13.026076621,22.42509812,15.58557568,31.2103148,19.0409104,15.44523117,20.2552637,21.9861944,13.488880993,10.1622286
11,"1984",2.58840694,7.9308174,2.003731,17.89724566,0,7.220286452,19.243205,24.9270963,0.7747595,6.02011747
12,"1984",0,0,0,1.214588527,0,0,0,0.28747843,0,0
13,"1984",0,0,0,0,0,0,0,0,0,0
14,"1984",0.1077567,0.1672954,0.005176417,0.4153935,0.04662609,0.4279183,0.7432467,0,0.03159061,0.2322713
15,"1984",0,0,0,0,0,0,0,0,0,0
16,"1984",0,0,0,0,0.00099678477,0,0,0,0.000511166,0
17,"1984",0,0,0,0,0,0,0,0,0,0
18,"1984",0,0,0,0,0,0,0,0,0,0
19,"1984",0,0,0,0,0,0,0,0,0,0
20,"1984",0.0005491809,0,0.00066667702,0,0.00032182751,0.00072998629,0,0.00042595013,0.0009216796,0
21,"1984",0,0,0,0,0,0,0,0,0.00048101085,0
22,"1984",0,0,0,0,0,0,0,0,0,0
23,"1984",0,0,0,0,0,0,0,0,0,0
24,"1984",0,0,0,0,0,0,0.005117291,0,0,6.5751257e-05
25,"1984",0.00036209941,0,0,0,0,0,0.001183003,0,0.002009626,0
26,"1984",0.007919188,0,0,0.03764106,0.02108635,0,0.32435786249,0,0.877214774,0.58801373514
27,"1984",0,0,0.004451616,0,0,0,0,0,0,0
28,"1984",9.03269119,12.44890599,0.322405199,18.4635874,1.939967193,0.738845,27.6001473,6.94108069,11.01103834,17.97575188
29,"1984",0.51623212,0,0.005644099,3.04440803,0,0,11.519004831,0.00016538751,2.12811333909,17.5243916
30,"1984",4.21687517037,5.162308,5.193187753,3.42149603,0.768653077,1.23185015,15.855324162,0.46736355,12.540754024,11.16716363
31,"1984",46.44001352,60.70421,32.4913936,42.31940288,37.1166568,38.768876544,58.377295,47.621803683,31.372638,37.380517
32,"1984",33.515985,59.6130782,43.2950332,66.2247,25.14119946,69.356033,56.9305512,62.259317,24.477286464,32.05581092
33,"1984",25.7457239,33.9343109,15.53835684246,30.723496,16.7971622,13.221714046,74.839854,23.37432052,49.405755,70.684459
34,"1984",84.661778,114.538,79.9005951,89.127685,70.367328,99.08380728,82.87152,84.6779836,55.6350252,56.0235439
35,"1984",92.868545,131.362087,87.365011,98.319989,80.3108369,81.778779,94.347475,78.517732,54.546271744,90.774632
36,"1984",67.0408136,90.5330301,64.975073,108.680086,64.856891554,62.242498,66.9348719,77.6176623,43.03237265,28.131280579
1,"1985",70.94667039,93.140193,77.320999,100.556268,90.3016429,65.778649,78.414381,85.285832,56.218133782,46.034068
2,"1985",102.669852,119.457841,74.764288,71.806039,86.9751936,52.6287474,109.982862,52.4131331,75.0229838,78.16631
3,"1985",122.851254,155.365758,105.370734,105.697124,121.83206012,103.5268,92.69855,116.404719,104.5381491,77.021329
4,"1985",119.940801,114.487192,108.669174,94.8171312,161.586672,108.2818925,76.4706149,87.4318074,118.5537334,59.326531
5,"1985",22.87831578645,22.80061124,25.63776307,49.957319,7.77986599,35.3964116,36.614975,43.748642,18.73985796,44.3971095
6,"1985",50.8208669240398,61.7870092667648,49.6645546725383,64.3259149859685,41.880030670489,58.8634872025525,57.6001712211443,63.7554265989039,38.9722028261243,47.7293515841426
7,"1985",34.9836869,57.05904997,44.38015,57.302036,24.264532668,53.7721913,42.6927367,44.24013464,25.7295446,35.5983466
8,"1985",56.6683141,76.68995,71.183154,82.8342353,52.9812648,72.643623,66.8634565,75.0233587,37.625896386,57.91649321
9,"1985",28.293067922,42.000065,35.351931978277,71.5171295,19.3967791,54.0842305,56.809787144,84.5464136,7.6621096,23.38678058
10,"1985",52.0360726,61.580338,64.40405957191,52.788039,39.59022703,64.00014446,55.585588606,80.0220824,28.5332322,54.7199226327
11,"1985",0,0,0.867815658,0.31346936,0,0.5170807,0,0.53178288,0,0
12,"1985",0.09357867,0.3785353,0.03719932,1.687371904,0,0,0.073315187,3.33223274,0,8.60930497
13,"1985",0,0,0.16174472,2.24189022,0,0.422723,0.05239311748,3.2450559,0.15576724,0.697929605
14,"1985",0.27448882,0.8106474,0.00784906634,1.6780189,0.153936169,0.11994522,0.284501357,1.54298905,0.13497638535,0.045301461
15,"1985",0,0,0,0,0,0,0,0,0,0
16,"1985",0,0,0,0,0,0,0,0,0,0
17,"1985",0,0,0,0,0,0,0,0,0,0
18,"1985",0,0,0,0,0,0,0,0,0,0
19,"1985",0,0,0,0,0,0,0,0,0,0
20,"1985",0,0,0,0,0,0,0,0,0,0
21,"1985",0,0,0,0,0,0,0,0,0,0
22,"1985",0,0,0,0,0,0,0,0,0,0
23,"1985",0,0,0,0,0,0,0,0,0,0
24,"1985",0,0,0,0,0,0,0,0,0,0
25,"1985",0.003750342,0,0,0.008615362,0,0,0,0,0.001931063,0.005756537
26,"1985",0.00344063,0,0,0.06370185,0,0,4.1322633,0,0.24764068,0.00088995002
