"dekad","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
1,"1983",74.8708776873449,66.5436343029303,70.896704309638,61.4060874888954,85.3917401748479,70.7209226148279,51.2095151853092,91.9304345318492,70.6554815529915,68.9771670407617,94.1072633054652,83.8945433518183,90.077526797631,74.1353568282077,71.7842452816458,72.9482469130232,76.439204539356,63.6628197565669,70.4412496824708,81.0341552724381,64.3250020016045,71.2360249398701,64.6165955978867,79.5631584387034,66.8800073633798,64.5080503870003,76.5055622926814,74.4774881199708,69.6822260997345,70.684209657505,61.3926311066332,97.0242581141081,80.2101989526758,78.5202019635221,70.8901082585071,76.5789775241732,56.262067673309,85.8471250469986,73.5925384398137,70.0819016487781,71.7126800976689,73.607004178947,58.3891135442105,93.4090563385277,80.6093292259568,69.3143101134474,57.4591522610384,68.4999788680193,61.8414588657098,71.9231467236754,90.8693406744774,86.8937970727011,71.6760290259798,72.7847129917822,74.028875722633,86.2841724353279,83.7545342859033,80.7543809847307,70.9252378081259,71.1155356896721,85.3991518756259,70.9456694559005,68.2817749090669,81.7387385006435,81.1724189514467,83.7130368481593,70.0137294651024,84.9339995889121,84.1885584583129,64.4969719094616,75.7181404240449,69.7601606776913,68.042214670481,76.8866246016657,82.2795262143115,72.7369529482513,84.3996523752031,95.1070148409488,72.8351872152,64.2748193591876,67.7292914669858,73.4605630284566,82.117365034611,55.782592391724,66.99437341067,71.9655594393528,79.8797947869033,62.6680872135405,67.7310128802982,65.8523770864587,59.1888783699331,91.9780570908549,75.3960952831373,66.7243461892564,65.524486228771,71.9728540288115,67.4072129229121,73.6210095480655,68.2449813167872,85.5551572188905,64.0976593033578,77.0548476111849,78.1399061963305,54.3079420048166,61.1146497041489,71.0879463098371,82.2876108864431,63.8774960550405,73.6288226477909,60.6520776246691,70.7843671211892,55.9386178690868,82.5419204725142,73.2173118855832,67.7971020315562,62.7448399202397
2,"1983",47.45351392,60.4431224,81.00256663,57.8553101,97.802158,63.36271735,47.3454318,98.474545,72.7274921,62.572623,80.404945,95.173152,76.644744,74.6744361,70.7851816,60.765596,78.099788155,59.90629,52.0771937,77.957119,59.824142,57.79522687,65.0734762,69.0306211,48.366319,53.736358,62.15776158,69.77728446,61.838904,73.11936368,61.215611,91.44224628,76.8501104,74.746897,67.7620019,73.37820046,54.270699,88.25318,74.40103776,62.2392309,51.37364248,81.6736449,54.9092596,84.526098,79.336489,77.648956,53.3685012,63.935572,31.8415048,54.24992589,79.8260509,75.913848,64.635884,83.041318,83.3595401,89.762926,95.049538,83.0757107,66.034273,60.1690594,94.9228007,57.34274,65.048543,80.9765429,73.26106,71.634112537,71.6226944,84.826622,80.448081,65.9126471,66.9043086,62.84281937,76.5651036,69.953154,81.8243434,85.405647,89.441969,92.253716,65.3092488,54.7055677,62.4368735,69.8414524,72.852968,53.3144242,62.08075595,71.028661,84.0728302,46.4430246,72.1111226,58.11853567,50.70147,78.764134,69.74492816,63.083011,63.52506,65.7590863,70.5497769,71.684230212,45.4650034162,83.794071,56.2311336,67.3772175,71.248851,55.4518268,73.7685317,59.53747,81.205796,59.96083441,74.5891402,54.4132237,53.4866041,69.2959509,78.262521,49.14380497,64.25681793,71.302201
3,"1983",64.8632222,56.8433538,66.04215,51.2111211,106.7992085,107.2937257,47.05139998,93.574304,67.60024259,86.154009,123.226749,73.469119,130.356223,57.180067,67.1348808,72.78731585286,78.328589,51.0162197,102.7396569,77.5042198,95.192557,98.6648791,60.1763642,53.177216933,58.1855969,105.93359880931,78.2042424,98.611340077,77.122320624,60.90864,89.5911893,133.44868,45.25173897,62.717256,84.52512077,96.4392674,52.36178583,78.148206,70.274057,70.94140292,59.4177072,75.51204,75.94424381,125.2084385,70.5062298,91.5083587,54.371985,93.165989,49.62361743,79.591799,106.2334024,107.3740068,90.5871047,68.1405217,68.221319,89.588272,100.539304,83.126097,93.23647756,65.787778722,84.1750749,68.469849,55.68404208,84.80567278,53.6742092,88.0526313,70.41534188,103.812095,87.283006,66.543644,83.84404089,88.949014095,80.9328372,61.774247,97.0594723,82.6029088,102.149072,122.09839,56.7659681,88.92310403,95.4045832,60.426638,76.12322,72.37084833,62.15021141,73.7918965,45.804380682,60.5173607,73.842317,106.7975541,58.5556485,99.9663899,107.4401737,71.5630877,66.7155428,66.581121006,78.891347604,72.053782,72.22706898,79.822451,78.297265,85.678968,77.885724,59.9761012,37.0024585,84.0316361,65.2486368,43.3731948,49.3038053,86.96008722,62.7301087,46.9275425,53.4156079,61.285798,73.3318501,83.11451572
4,"1983",115.886719,83.39698386,112.9631582,108.6095639,122.55239766,101.6061322,71.285257,121.70741,103.362136,88.7709166,144.12842354,111.239496,145.2217003,84.12400475,115.890463,120.871728,108.888936,83.0201946,107.84154358,120.693691,83.826877,102.05237662,117.0631372,113.274001,83.4854766,89.359963,108.28306067,104.940099692,95.42097438133,109.33743923,87.7514442,127.9652783,142.211757,133.068656,99.866075816,108.918547,80.256268,81.6772563,122.8797155,114.114547,105.964244,97.690412,84.867847,120.06459,119.909439,89.478477,83.800822,101.7573637,95.80913382,105.8324715,108.945322,136.0387437,95.852382928,113.744598,115.658033,126.3472,84.167942,110.7391017,90.357621153,105.495531,102.150766,80.4742994,97.439965,99.9158615,108.546951,127.555217,95.365893639,74.83556815,107.5412578,107.714991,124.48849,78.879738,91.14448487,101.0370911,130.59702504,95.546239,79.0364462,128.9175543,109.370408134,84.0895041,95.341653,81.8693922,139.6694665,71.9530353,92.6047911,91.4470079,112.459579,73.95592336,59.8433561,74.4267335,72.44123,112.29904188,121.4312035,95.6147649,78.9470676,105.8513066,97.83613,111.166642,98.7695123,111.606193,65.0843009,73.5818463,126.20442,62.6907771,57.89562894,95.985388,99.9876521,101.3459,93.660542656,88.89198467,120.245683,56.172008807,138.509658,116.682251,116.664,90.266587
5,"1983",92.1859294,102.508432,116.3408758,31.7550631,140.533264,71.3451179,63.85648042,150.947423323,62.920987,76.944303,136.126261,129.749316,123.119293,112.347398,120.76179937,116.6247592,97.792588,75.413688,68.6101296,122.1564569,40.064004,69.73561,39.4636265,107.0087267,108.657287,20.03830969,62.93569421,69.149956,76.9462893,44.562517,41.46312,83.645386,121.6124898,125.422982,44.345302325,79.58299162,68.432182717,104.7369075,76.405016,112.5748021,87.48295,70.68549529,32.59282898,85.515209,131.1325292,37.246513,61.895031,23.9475004,105.8310361,104.2799556,82.972663,91.767474,62.7546334,124.9734772,119.6148905,161.07770595,78.7389735,102.617834099,74.8146964,104.0212298,108.4390825,104.789576,114.24397298,138.7523028,90.6105119,90.1375238,56.399186,76.1141011,150.31490504,35.596527,96.2246845,36.1496899,31.1101504,120.1379022,71.129243634,71.1785489,68.685146,105.3563,67.0169698,31.58772475212,39.1313244,97.2097844,129.04725527,39.0491826,80.270746,102.850022,103.0078717,77.3226498,50.36137788,25.9778636,71.1939277,93.655496,69.165496,26.33385076,68.1735614,101.52098214,32.183938,90.2859382,103.93776598,160.851608,37.25182264,83.2473662,99.11241062,38.9330008,45.517794,73.263858,125.19596,46.7956167,45.686725368,54.86309842,85.729433,46.67762436,121.92379,105.99026552,42.97552485,62.189429
6,"1983",1.00215,11.6725603,10.169471,3.734347,9.2520082,0.6347274,46.34860282,7.187238,0,0,0.009330038,11.901798689,0,33.71410874,1.448477,0.3990909,35.8319412,0.3338511,0.2073725,3.358051,2.204714,0,0.02756629,16.181569636,32.0609951,4.9436172,0,0.01225513,0,0,10.93071,0,5.6301849,11.73543896,0.1557631,0.103754,49.629416,33.9753153,0.133939629,0.1370931,2.034874,47.247354,10.47664847,1.368057,2.97779435,3.326886,11.22382,1.3953953,0.4176222,2.651897,0.007772719,0,0,2.75381568,3.20604,9.8087914,50.577946228,23.17357154,0,0.244154,26.11616047089,35.68314077,0.1469497,17.221245,0.3631099,2.403167,0,64.7568539,5.0848195,0.09572107,4.125457,2.498833,0.003042348,3.43915448,0.02463372,59.9487121,59.267508994,0,0.1509233,9.195181,0.9348157,40.9736722,3.1946003,3.054577,33.552824,29.901195,4.6647039,40.4280394,3.8634078,2.055626,46.018372,0.1420616,0.047906101,0,58.05169484,1.356179,0.5936674,0.2165862,1.318543,6.743437719,2.882927,49.2454373,0.4665645,4.2239511,10.26343,0,26.37367928,0.3817936,2.746653,0.03521074,1.628721,1.2201605,4.793764,0,0.23981183,4.463726
7,"1983",60.008229,57.200899,67.6459421,51.1392945,59.531235,42.27589264,69.934821,105.16702559,45.5977374,41.254682,68.47210265,77.186117,63.17960980217,69.495094784,59.1717907,61.939475,93.59614274,38.1334182,34.694368,67.9822183,54.0420169,35.594017,46.3076828,76.143185,54.402418,40.3110112,61.85415233,45.09831,42.4733863,65.224388,47.6427083,63.011159,66.05351386,81.082651397,63.938114,43.6614771,71.960392,74.39114889,53.90978631,55.76247879,57.815091,100.016177,41.4777113,75.885602974,72.1141212,63.706995,48.6121994,59.014168,36.5257466,42.6608381,64.31784262,50.84062253,61.428757,58.443205949,63.46433369,71.46144,87.4133892,86.77181177,37.077074,54.2948458,82.9401346,84.425832,51.9960365,85.27865041,69.6677541,57.9790948,41.6729316,74.95261,67.93407557,48.589303,52.5995731,63.372257,45.2382787,66.6237007,49.9902013,90.871084,87.668318,71.86932535,58.46738396,52.9903644,46.49763747,71.56109212,54.70099079,42.590695,90.765921,83.06258143,75.9271163,55.46118375,64.129015,47.108833981,92.299817,72.379949877,50.47547412,63.4665266,71.919602,41.856121457,52.83076476,46.48179857,32.1411758,73.18865725,66.395681,67.6224628,55.5753997,50.7575122,68.828031,40.3276884,75.79879957,36.47595849,66.675633,51.1525441,53.2309327,74.3054024,60.4516378,63.53911041,49.6391792,42.6166405
8,"1983",7.786277,36.8390699,26.96538441,72.2777195,57.0928206,13.032271,80.008209,78.953074304,0.3782775,3.26231566,53.87273793,60.01709624,46.32360424,59.7515033,14.65757423,11.3210824,67.910239804,3.866468,16.345423,24.23260388,1.7584393,4.4237864,0.3961937,116.36859,60.47118776,10.61298,62.8724586,25.582895,2.913011644,66.967157,4.54944586454,43.136012,67.7428994,36.5668212309,23.636263469,26.355272,66.070487,62.063432597,24.961771044,8.7813535,6.77529022,69.8458308,4.38050562,41.7437711,26.16983173733,29.4306912,1.9093794,14.2929145,2.2598587,13.00362,46.1367266,32.3360641,43.6290136,15.277100177,14.34467999,49.983891112,64.517115932,63.105761,3.7157572,8.42243918,69.3372251,77.376214,10.56230522702,52.0258884,63.2218129,37.8144986,0.19971926,76.666198,36.6396379,66.6926772,20.252307923,19.862437241,0.9038134,30.01153065,34.67074627,71.36984772,81.6615725,41.0111693,27.44916774,17.9208771,8.2512072,49.7889554,35.18631377,4.018182982,78.9236738,72.522061,92.2114292,51.446193,24.53052076,4.4136049,91.80864267,41.857504,28.337393142,18.2439617,73.847127,7.74638288,0.03466944,4.26938198,5.152048,32.0294288,28.4748477,65.26001,21.904352712,13.0503425,25.14659512,0.6436335,62.758208,2.4410318,68.8945147,1.024701,4.127363798,16.5094435,38.9328975,9.188994,63.87282207,3.663624
9,"1983",16.4883194,25.920742,12.07967623,16.5107851,17.0449659,17.2220452,72.64788082,20.02081555,11.75875205,16.809521,23.9961333,16.5803081,21.9159065,32.9958994,16.461986167,17.74493806,35.9049727,9.39958131,11.964851,18.2743273,20.8965038,13.39308052,15.14942279,61.960803,41.5316699,18.67661146,36.674394,25.493835262,12.9542365,32.17739743,17.6805139,17.91488269,34.7335965,20.84094509303,32.914475,20.68890222,63.97470824,29.580315876,23.636465569,15.03019469,13.5762862,57.8271419,22.89230159,15.30375023,25.422107,34.5617368,28.81334893,36.76974612,9.65697681,12.7067231,20.9048661,25.26542971,36.36171,14.93544837,6.5602377,14.82178085,32.74027677,29.50851607,15.75237892,16.0139212,30.43727266,40.553790888,16.99964202,29.495292361,48.58848,22.5612621,17.6939103,39.55785037,17.03930737,22.073630515,11.13264302,36.2630968,20.5329782,27.2753003,26.709366,57.29269246,49.93939232,18.373471048,35.5805445,30.4940792,20.669974039,23.40748045,21.1206803,25.459687,68.52122258,38.877024858,56.7686757,24.18365486,28.2339185,16.5561282,88.492086,15.2079205,23.21555563,33.836950262,56.13022879,13.661931787,18.25938645,11.6705222,9.8611402,16.37487339685,37.1293092,20.4513236,12.02723069246,25.64111834,39.686715,18.659939,34.0313081,9.95905281,35.5113143,15.3482348,9.69575707,32.95135299586,25.9426673,21.5094784,26.170412,23.1305304
10,"1983",31.8523486,19.7579142,43.53306866,17.32288781,44.889742,9.01949034,49.623811737,65.379315803,0,2.174286,56.480711,46.7552504,60.859709,27.297234,35.6631539,40.60244393,61.11493636,0,3.50198944,22.0994164,1.4658021,0,0.005139181,26.80731337,30.3184978,14.638891,21.40363445,20.01355,0.1548547,31.5371375,4.10326367,66.692467,24.20930744,44.34944924,37.931705556,17.309166338,35.3091491,65.03429826,10.1593464,24.7723385,18.72890848,66.443049,13.311264,62.6084308,31.5352359,23.8029978,14.938586,38.2388157,0.9920507,8.16267183,43.049819,39.71538497,37.1255184,38.94636918,58.276497,61.1006482,85.193532698,65.6746979,0.557982,11.5895456,82.5547268,39.0350825,25.4229122,36.403353436,6.89664366,25.4983749,0,41.177089,34.93169334,29.3208243,15.54386786,15.4044728,0,28.463289461,22.8089131,52.7991113,45.679533,51.372314,13.06610311,23.77345647,15.34254388,38.4250341,37.333907,16.76197047,57.944824,40.5993427,18.20507223,33.250653,8.95568248,0.3697817,61.9399787,50.7369633,12.006971076,36.606344,34.1864989,6.97848373405,0.322334,14.5066764,0.506893235,36.8166957,9.09076524,46.0044299,17.819054,12.98895556,0.708333,0.60268313,32.4434157,0,16.59047274,4.9006942,16.20164122,1.880712,40.230772,55.22644753,27.778394908,6.24125124
11,"1983",0,19.2801918,19.63259447,47.353357,7.67065,0,110.915317,29.4961914,0,0,4.905123,13.43401139,14.76695,9.61314114,7.2651368,0.184129012,39.221983231,0.3995414,0,4.97086669,3.81184,0,0,48.99365,18.79538564,10.50404,33.6049519,0,0.05253078,35.47680384,11.48863268,0,41.920789468,4.21787162,23.3061649,0,89.8669757,5.117556,3.89169818,9.707618,0,69.340771,6.263201,0,3.16263202,35.6597619,7.376935,18.55493546,0,0,0,11.5756155,37.699735,21.8901422,7.0970708,2.23206,25.488089,41.7971539,0,0.5428856,20.75480709,12.762825119,10.2621075562,6.9002714,26.98196336,0.02297952,0,28.00572038,2.7917381,25.048004,0,32.5704029,0,10.54179107728,0.2777109,73.7357465,52.666919,0,13.58805109642,19.3838994,3.7806227,5.9040768,19.4765173,7.01722002,100.735184,34.56029561,39.5493389,7.785031974,28.8836691,4.501504,105.791723,0.1468609,0,18.2083754,94.954637246,0.0217432,0,0,0,5.8178659,27.84269284,18.88436,0.6717284,18.0819358,66.1094157,0,2.137376091,1.04054,44.46893685,13.05896,0,33.3073956,32.3945001,0,33.01813448,20.5798005
