system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,id,mean,sum,year,.geo
0_0000000000000000090e,270,Zambia,3426,Central,65174,Chibombo,NO,3000,Member State,1000,1.11833044945,5.89621883158,0000000000000000090e,85.0980008128675,94.4420950197706,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000090f,270,Zambia,3426,Central,65175,Kabwe,NO,3000,Member State,1000,0.134045337947,1.92767994167,0000000000000000090f,90.90730285644531,11.407975260416666,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000910,270,Zambia,3426,Central,65176,Kapiri-Mposhi,NO,3000,Member State,1000,1.01889710873,5.90679291045,00000000000000000910,90.69815051461768,90.34247149299173,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000911,270,Zambia,3426,Central,65177,Mkushi,NO,3000,Member State,1000,1.89619604338,6.29344100584,00000000000000000911,90.75678477287295,170.8363007489373,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000912,270,Zambia,3426,Central,65178,Mumbwa,NO,3000,Member State,1000,1.82882415307,8.27381667033,00000000000000000912,72.30751386601874,133.27267261579925,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000913,270,Zambia,3426,Central,65179,Serenje,NO,3000,Member State,1000,1.94023088437,6.4000732274,00000000000000000913,94.21100245836787,168.8408946018593,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000914,270,Zambia,3427,Copperbelt,65180,Chililabombwe,NO,3000,Member State,1000,0.076861087,1.70216299553,00000000000000000914,96.24845123291016,7.171453229118796,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000915,270,Zambia,3427,Copperbelt,65181,Chingola,NO,3000,Member State,1000,0.145244809729,2.4382542831,00000000000000000915,96.24845123291016,12.833126831054686,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000916,270,Zambia,3427,Copperbelt,65182,Kalulushi,NO,3000,Member State,1000,0.0924955015499,1.6334852631,00000000000000000916,96.24845123291016,3.3970041611615347,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000917,270,Zambia,3427,Copperbelt,65183,Kitwe,NO,3000,Member State,1000,0.0733425205532,1.33689389861,00000000000000000917,,0.0,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000918,270,Zambia,3427,Copperbelt,65184,Luanshya,NO,3000,Member State,1000,0.0782957793831,1.22777418439,00000000000000000918,95.0058822631836,7.078869658825444,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000919,270,Zambia,3427,Copperbelt,65185,Lufwanyama,NO,3000,Member State,1000,0.928958237277,5.18039690528,00000000000000000919,95.51165341522734,88.39509884703392,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000091a,270,Zambia,3427,Copperbelt,65186,Masaiti,NO,3000,Member State,1000,0.303964177896,3.88643831243,0000000000000000091a,95.00221524173267,27.196712598613665,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000091b,270,Zambia,3427,Copperbelt,65187,Mpongwe,NO,3000,Member State,1000,0.695483716908,5.79599016634,0000000000000000091b,94.46886542123124,66.31343886431526,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000091c,270,Zambia,3427,Copperbelt,65188,Mufulira,NO,3000,Member State,1000,0.0943917801245,1.53293550178,0000000000000000091c,,0.0,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000091d,270,Zambia,3427,Copperbelt,65189,Ndola,NO,3000,Member State,1000,0.0848668248019,1.82054199088,0000000000000000091d,95.0058822631836,3.7257208730660234,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000091e,270,Zambia,3428,Eastern,65190,Chadiza,NO,3000,Member State,1000,0.210545720269,3.0605684967,0000000000000000091e,95.7214584350586,4.129160952100567,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000091f,270,Zambia,3428,Eastern,65191,Chama,NO,3000,Member State,1000,1.50010521245,7.24512773616,0000000000000000091f,89.19406434077366,109.83112236471736,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000920,270,Zambia,3428,Eastern,65192,Chipata,NO,3000,Member State,1000,0.51003063855,4.4506147343,00000000000000000920,95.7214584350586,48.79917488846124,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000921,270,Zambia,3428,Eastern,65193,Katete,NO,3000,Member State,1000,0.328155505878,3.24696524139,00000000000000000921,94.87818145751953,8.185568596335019,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000922,270,Zambia,3428,Eastern,65194,Lundazi,NO,3000,Member State,1000,1.11701530271,5.98888433285,00000000000000000922,96.41688439605433,82.42698352290134,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
