"gid","province","bad_aggregation","bad1","bad2","bad3","bad4","bad5","bad6","bad7","bad8","bad9","bad10"
1,"Central","Province","1992","1991","1994","1995","2019","1984","2018","2004","1990","2017"
2,"Copperbelt","Province","1994","1991","1992","2019","2017","1993","1989","1990","2015","1983"
3,"Eastern","Province","1992","1991","2002","1994","1995","2000","1996","1990","2017","1993"
4,"Luapula","Province","2019","1998","1993","1994","1985","2016","2000","1991","2017","1989"
5,"Lusaka","Province","1992","1991","1995","2018","1994","2019","1987","1988","2000","1993"
6,"Muchinga","Province","1998","1997","2000","1992","1996","1993","1995","1994","1991","1999"
7,"North_Western","Province","1994","1983","2019","2018","1995","1993","1996","1997","1991","2017"
8,"Northern","Province","1983","1987","1984","1995","2000","2017","1997","1996","1986","1990"
9,"Southern","Province","1995","2018","1991","1994","2019","1992","1983","1985","1987","2005"
10,"Western","Province","2019","1995","1994","1983","1986","1987","1996","1991","2018","1990"
