"gid","province","bad_aggregation","bad1","bad2","bad3","bad4","bad5","bad6","bad7","bad8","bad9","bad10"
1,"Central","Province",2001,2000,2007,2005,1995,2021,1988,1985,1992,2017
2,"Copperbelt","Province",1988,2007,2020,1996,2005,2006,2016,2010,2019,2000
3,"Eastern","Province",2020,2019,1986,2001,2017,1996,2000,2007,2010,1987
4,"Luapula","Province",2020,1984,1998,2008,1987,1988,1992,1997,1989,2003
5,"Lusaka","Province",1986,1988,1984,1990,2007,2000,1991,1998,1992,2015
6,"Muchinga","Province",2019,2020,1996,1997,1998,2018,1990,2010,1988,1995
7,"North_Western","Province",1988,1997,2020,2008,2012,1999,1987,1998,2021,2018
8,"Northern","Province",2019,2020,1988,1998,1996,1984,1990,2014,1995,2001
9,"Southern","Province",2008,1988,1986,1997,1998,2002,1993,2001,2004,1987
10,"Western","Province",2008,2018,2013,2004,1997,2009,2000,2005,2010,2012
