"gid","province","district","bad_aggregation","bad1","bad2","bad3","bad4","bad5","bad6","bad7","bad8","bad9","bad10"
1,"Eastern","Chadiza","District","1991","1992","1994","1990","2000","1995","2016","2017","2006","2005"
2,"Muchinga","Chama","District","2000","2003","1996","2006","1992","1997","1994","2013","2001","2008"
3,"Eastern","Chasefu","District","1992","1991","1994","1996","2002","1995","2011","2001","1997","2000"
4,"North_Western","Chavuma","District","1991","1983","1988","1995","2019","1985","2000","2018","1993","1989"
5,"Luapula","Chembe","District","1985","1995","1986","1998","1993","2013","2014","2019","1990","1992"
6,"Central","Chibombo","District","1991","1992","1989","1998","1995","2019","1983","2018","1986","2012"
7,"Luapula","Chiengi","District","1994","2015","1991","1983","2014","2001","2012","1993","2019","2013"
8,"Luapula","Chifunabuli","District","1986","1985","1984","1996","1987","1995","1988","1983","1991","1990"
9,"Southern","Chikankanta","District","1995","1991","1992","2018","2019","2001","1994","1987","1997","1990"
10,"Lusaka","Chilanga","District","1995","1994","1992","1991","2018","1986","2003","1987","2002","2005"
11,"Copperbelt","Chililabombwe","District","1983","1993","1994","2019","1996","2000","1992","2014","1989","1997"
12,"Northern","Chilubi","District","2000","1984","2001","1987","1995","2004","1988","2007","1996","1999"
13,"Copperbelt","Chingola","District","2017","2019","2016","1991","1985","2015","1989","1994","1990","1986"
14,"Muchinga","Chinsali","District","1998","1992","1996","1997","1995","1991","1993","2004","1999","1985"
15,"Eastern","Chipangali","District","1992","1984","2000","2002","1994","1987","1990","1988","1995","2001"
16,"Eastern","Chipata","District","1990","1995","1992","1991","2002","2007","2000","1987","2017","2010"
17,"Luapula","Chipili","District","2014","2016","1987","2013","2000","2005","2010","2017","1991","2019"
18,"Lusaka","Chirundu","District","1995","1992","2018","2019","2002","1983","2008","2005","1994","1985"
19,"Central","Chisamba","District","1992","2002","1995","1987","1999","1988","2004","2007","2018","2001"
20,"Central","Chitambo","District","1986","1993","1996","2016","2007","1999","2019","1987","2017","1995"
21,"Southern","Choma","District","1995","2018","1991","1992","2019","1990","2005","1998","1985","1987"
22,"Lusaka","Chongwe","District","1991","1992","2018","1994","1990","2017","1989","2019","1995","1985"
23,"Southern","Gwembe","District","1994","1995","2018","1983","1991","2002","1987","2019","2015","2004"
24,"North_Western","Ikelenge","District","1986","2003","2014","2016","2018","2019","2006","1990",NA,NA
25,"Muchinga","Isoka","Province","1998","1997","2000","1992","1996","1993","1995","1994","1991","1999"
26,"Central","Itezhi_tezhi","District","1992","1995","2018","2005","1983","1991","1996","2016","2002","2003"
27,"North_Western","Kabompo","District","1994","2008","1990","1996","1983","2003","1984","1986","1995","1999"
28,"Central","Kabwe","District","1994","1991","1984","1992","1987","2011","2019","2018","1995","2015"
29,"Lusaka","Kafue","District","1991","1992","1994","1986","1983","2016","2000","1989","1995","2007"
30,"Western","Kalabo","District","2019","2018","1994","1983","1995","1987","1985","2006","1996","2003"
31,"Southern","Kalomo","District","1995","2019","1992","1985","1987","2005","2018","1991","2002","1997"
32,"Copperbelt","Kalulushi","District","1994","1993","1990","1984","1985","1992","2018","1986","2002","2015"
33,"North_Western","Kalumbila","District","1993","1994","2002","2013","1997","2017","2001","2003","1995","1998"
34,"Muchinga","Kanchibiya","District","1993","1986","1997","1995","1996","2000","2015","2002","1999","2017"
35,"Western","Kaoma","District","2018","1996","1993","1995","1987","1986","1994","1992","2006","2019"
36,"Central","Kapiri_Mposhi","District","2004","2018","1994","2002","2017","2015","2019","1992","2003","1991"
37,"Northern","Kaputa","District","1993","1997","1983","2003","2017","1987","1985","1994","2002","2014"
38,"Northern","Kasama","District","1983","1990","1984","1987","2006","2017","2004","1985","1995","2013"
39,"North_Western","Kasempa","District","1997","1994","1992","1993","2000","2018","2007","1996","2004","2005"
40,"Eastern","Kasenengwa","District","1992","1998","1991","2001","2002","1993","2000","1999","2012","1990"
41,"Eastern","Katete","District","1992","1991","2018","2015","1993","2017","1998","2005","1996","2013"
42,"Luapula","Kawambwa","District","1990","1996","1997","1989","2000","2005","2019","2015","1993","2018"
43,"Southern","Kazungula","District","1983","1995","1989","1985","1998","2001","1992","1988","1990","2019"
44,"Copperbelt","Kitwe","District","1991","1989","1998","2001","1990","1995","1996","2015","2016","2014"
45,"Muchinga","Lavushimanda","District","2000","1995","1992","1997","1989","2014","1996","2002","1991","1994"
46,"Western","Limulunga","District","2019","1996","1994","1995","1984","1986","1989","2015","1983","2006"
47,"Southern","Livingstone","District","1995","1991","2005","2019","1996","1985","2018","1986","2004","2013"
48,"Western","Luampa","District","1984","1983","1991","1995","2018","1992","2000","1985","1987","2005"
49,"Lusaka","Luangwa","District","1992","1985","1988","1993","1987","1989","1991","1994","1995","2019"
50,"Central","Luano","District","1995","1994","1992","1997","1990","2000","2019","1998","1991","2017"
51,"Copperbelt","Luanshya","District","1986","1990","1994","1987","1983","2015","2005","1988","1991","1998"
52,"Copperbelt","Lufwanyama","District","1994","2015","2008","2019","2010","1990","1991","2017","2014","2018"
53,"Western","Lukulu","District","2019","1991","1992","1990","1986","2017","1995","2000","2005","2008"
54,"Eastern","Lumezi","District","2012","2014","2015","2002","2017","2016","2018","2013","2019","2005"
55,"Eastern","Lundazi","District","2002","2001","1991","2015","2005","1996","1990","1987","1989","1988"
56,"Luapula","Lunga","District","1998","2000","1993","1989","2019","2018","2003","2014","1996","1999"
57,"Northern","Lunte","District","1987","2019","1996","1992","1983","1998","2007","2011","2001","2005"
58,"Northern","Lupososhi","District","1996","1994","2000","1999","1988","2017","1995","1987","2018","2005"
59,"Lusaka","Lusaka","District","1992","1988","2018","1993","1991","1996","2000","2017","2004","2001"
60,"Eastern","Lusangazi","District","1994","1992","1991","2000","2018","2017","1983","2002","1990","1984"
61,"Northern","Luwingu","District","1988","1995","1987","1985","1984","1983","1997","1994","1996","1998"
62,"Muchinga","Mafinga","District","1998","2014","1999","2007","2016","2017","2001","2011","1992","1993"
63,"Eastern","Mambwe","District","1991","1994","2017","1992","1993","2000","2018","1996","1987","1995"
64,"Luapula","Mansa","District","2016","2015","2008","2012","1984","2013","2000","2006","1990","1991"
65,"North_Western","Manyinga","District","2018","1983","2019","1995","1988","1996","1990","1991","1998","1984"
66,"Copperbelt","Masaiti","District","1992","1994","1997","2004","1993","1995","2017","2002","2018","1999"
67,"Southern","Mazabuka","District","1995","1991","1994","2019","1992","2018","2004","2002","2017","1997"
68,"Northern","Mbala","District","1986","2000","1990","1995","2017","2013","1988","2015","2018","1998"
69,"Luapula","Milengi","District","2018","1993","2016","1989","1985","2017","1994","1999","2006","1991"
70,"Western","Mitete","Province","2019","1995","1994","1983","1986","1987","1996","1991","2018","1990"
71,"Central","Mkushi","District","1992","1985","1998","1991","1995","2008","1986","1997","1984","1999"
72,"Western","Mongu","District","1983","2018","1998","1985","1986","1991","1989","1997","1994","2017"
73,"Southern","Monze","District","2018","1995","1994","1992","1991","1988","2002","1983","1998","2008"
74,"Muchinga","Mpika","District","1998","1997","1987","1991","1990","1983","1988","1996","1994","1992"
