gid,province,district,bad_aggregation,bad1,bad2,bad3,bad4,bad5,bad6,bad7,bad8,bad9,bad10
1,Eastern,Chadiza,Province,2020,2019,1986,2001,2017,1996,2000,2007,2010,1987
2,Muchinga,Chama,District,1996,2019,2003,2000,2008,2010,2017,1990,1991,1992
3,Eastern,Chasefu,District,2020,1986,2007,2009,NA,NA,NA,NA,NA,NA
4,North_Western,Chavuma,District,1988,1998,1999,2004,2007,2008,2012,2016,2019,NA
5,Luapula,Chembe,District,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Central,Chibombo,District,2001,2017,2021,NA,NA,NA,NA,NA,NA,NA
7,Luapula,Chiengi,Province,2020,1984,1998,2008,1987,1988,1992,1997,1989,2003
8,Luapula,Chifunabuli,District,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Southern,Chikankanta,Province,2008,1988,1986,1997,1998,2002,1993,2001,2004,1987
10,Lusaka,Chilanga,District,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Copperbelt,Chililabombwe,District,1996,2003,2019,NA,NA,NA,NA,NA,NA,NA
12,Northern,Chilubi,District,2020,1998,2017,2019,1986,1990,NA,NA,NA,NA
13,Copperbelt,Chingola,Province,1988,2007,2020,1996,2005,2006,2016,2010,2019,2000
14,Muchinga,Chinsali,District,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Eastern,Chipangali,Province,2020,2019,1986,2001,2017,1996,2000,2007,2010,1987
16,Eastern,Chipata,Province,2020,2019,1986,2001,2017,1996,2000,2007,2010,1987
17,Luapula,Chipili,District,1987,1989,1998,2018,NA,NA,NA,NA,NA,NA
18,Lusaka,Chirundu,Province,1986,1988,1984,1990,2007,2000,1991,1998,1992,2015
19,Central,Chisamba,District,2001,1985,1989,1996,2004,2005,2007,2009,NA,NA
20,Central,Chitambo,District,2020,1998,1999,2000,2001,2007,2010,2013,2016,NA
21,Southern,Choma,Province,2008,1988,1986,1997,1998,2002,1993,2001,2004,1987
22,Lusaka,Chongwe,District,1984,2007,NA,NA,NA,NA,NA,NA,NA,NA
23,Southern,Gwembe,District,2002,2004,1987,2008,NA,NA,NA,NA,NA,NA
24,North_Western,Ikelenge,Province,1988,1997,2020,2008,2012,1999,1987,1998,2021,2018
25,Muchinga,Isoka,Province,2019,2020,1996,1997,1998,2018,1990,2010,1988,1995
26,Central,Itezhi_tezhi,District,1992,2007,2008,2010,NA,NA,NA,NA,NA,NA
