"","province","district","crops","crop_share"
"1","Central","Chibombo","cassava",0.166666666666667
"2","Central","Chibombo","cotton",0.833333333333333
"3","Central","Chibombo","groundnuts",1
"4","Central","Chibombo","maize",1
"5","Central","Chibombo","other",0.333333333333333
"6","Central","Chibombo","sorghum",0.5
"7","Central","Chibombo","soya_beans",1
"8","Central","Chibombo","sunflower",0.833333333333333
"9","Central","Chibombo","sweet_potato",0.5
"10","Central","Chisamba","cassava",0.166666666666667
"11","Central","Chisamba","cotton",0.166666666666667
"12","Central","Chisamba","groundnuts",1
"13","Central","Chisamba","maize",1
"14","Central","Chisamba","other",1
"15","Central","Chisamba","soya_beans",0.833333333333333
"16","Central","Chisamba","sunflower",0.833333333333333
"17","Central","Chisamba","sweet_potato",1
"18","Central","Chitambo","cassava",1
"19","Central","Chitambo","groundnuts",1
"20","Central","Chitambo","maize",1
"21","Central","Chitambo","millet",0.833333333333333
"22","Central","Chitambo","pigeon_peas",0.333333333333333
"23","Central","Chitambo","sorghum",0.833333333333333
"24","Central","Chitambo","soya_beans",0.833333333333333
"25","Central","Chitambo","sunflower",0.166666666666667
"26","Central","Chitambo","sweet_potato",1
"27","Central","Itezhi-tezhi","cassava",0.833333333333333
"28","Central","Itezhi-tezhi","cotton",1
"29","Central","Itezhi-tezhi","groundnuts",1
"30","Central","Itezhi-tezhi","maize",1
"31","Central","Itezhi-tezhi","millet",0.333333333333333
"32","Central","Itezhi-tezhi","other",0.5
"33","Central","Itezhi-tezhi","pigeon_peas",0.166666666666667
"34","Central","Itezhi-tezhi","sorghum",0.333333333333333
"35","Central","Itezhi-tezhi","soya_beans",1
"36","Central","Itezhi-tezhi","sunflower",1
"37","Central","Itezhi-tezhi","sweet_potato",1
"38","Central","Kabwe","cassava",0.166666666666667
"39","Central","Kabwe","groundnuts",1
"40","Central","Kabwe","maize",1
"41","Central","Kabwe","other",0.833333333333333
"42","Central","Kabwe","sorghum",0.166666666666667
"43","Central","Kabwe","soya_beans",1
"44","Central","Kabwe","sunflower",0.5
"45","Central","Kabwe","sweet_potato",0.833333333333333
"46","Central","Kabwe","wheat",0.166666666666667
"47","Central","Kapiri Mposhi","cassava",0.5
"48","Central","Kapiri Mposhi","cotton",0.75
"49","Central","Kapiri Mposhi","groundnuts",1
"50","Central","Kapiri Mposhi","maize",1
"51","Central","Kapiri Mposhi","other",0.25
"52","Central","Kapiri Mposhi","sorghum",0.25
"53","Central","Kapiri Mposhi","soya_beans",1
"54","Central","Kapiri Mposhi","sunflower",0.75
"55","Central","Kapiri Mposhi","sweet_potato",0.75
"56","Central","Luano","cotton",0.333333333333333
"57","Central","Luano","groundnuts",1
"58","Central","Luano","maize",1
"59","Central","Luano","millet",0.333333333333333
"60","Central","Luano","pigeon_peas",0.5
"61","Central","Luano","sorghum",0.666666666666667
"62","Central","Luano","soya_beans",1
"63","Central","Luano","sunflower",0.666666666666667
"64","Central","Luano","sweet_potato",1
"65","Central","Mkushi","cassava",0.833333333333333
"66","Central","Mkushi","cotton",0.166666666666667
"67","Central","Mkushi","groundnuts",1
"68","Central","Mkushi","maize",1
"69","Central","Mkushi","millet",0.666666666666667
"70","Central","Mkushi","other",0.5
"71","Central","Mkushi","pigeon_peas",0.166666666666667
"72","Central","Mkushi","sorghum",0.666666666666667
"73","Central","Mkushi","soya_beans",1
"74","Central","Mkushi","sunflower",0.5
"75","Central","Mkushi","sweet_potato",1
"76","Central","Mkushi","wheat",0.166666666666667
"77","Central","Mumbwa","cotton",0.666666666666667
"78","Central","Mumbwa","groundnuts",0.666666666666667
"79","Central","Mumbwa","maize",1
"80","Central","Mumbwa","other",0.166666666666667
"81","Central","Mumbwa","soya_beans",0.666666666666667
"82","Central","Mumbwa","sunflower",0.666666666666667
"83","Central","Mumbwa","sweet_potato",0.166666666666667
"84","Central","Ngabwe","cassava",0.5
"85","Central","Ngabwe","cotton",0.25
"86","Central","Ngabwe","groundnuts",1
"87","Central","Ngabwe","maize",1
"88","Central","Ngabwe","other",0.5
"89","Central","Ngabwe","sorghum",0.75
"90","Central","Ngabwe","soya_beans",0.75
"91","Central","Ngabwe","sunflower",0.75
"92","Central","Ngabwe","sweet_potato",0.75
"93","Central","Serenje","cassava",0.833333333333333
"94","Central","Serenje","groundnuts",0.666666666666667
"95","Central","Serenje","maize",1
"96","Central","Serenje","millet",0.5
"97","Central","Serenje","other",0.5
"98","Central","Serenje","sorghum",0.166666666666667
"99","Central","Serenje","soya_beans",1
"100","Central","Serenje","sweet_potato",0.833333333333333
"101","Central","Shibuyunji","cotton",1
"102","Central","Shibuyunji","groundnuts",1
"103","Central","Shibuyunji","maize",1
"104","Central","Shibuyunji","other",0.666666666666667
"105","Central","Shibuyunji","soya_beans",0.833333333333333
"106","Central","Shibuyunji","sunflower",1
"107","Central","Shibuyunji","sweet_potato",0.166666666666667
"108","Copperbelt","Chililabombwe","cassava",0.666666666666667
"109","Copperbelt","Chililabombwe","groundnuts",1
"110","Copperbelt","Chililabombwe","maize",1
"111","Copperbelt","Chililabombwe","millet",0.166666666666667
"112","Copperbelt","Chililabombwe","other",0.166666666666667
"113","Copperbelt","Chililabombwe","sorghum",0.5
"114","Copperbelt","Chililabombwe","soya_beans",0.666666666666667
"115","Copperbelt","Chililabombwe","sunflower",0.166666666666667
"116","Copperbelt","Chililabombwe","sweet_potato",0.833333333333333
"117","Copperbelt","Chingola","cassava",0.857142857142857
"118","Copperbelt","Chingola","cotton",0.142857142857143
"119","Copperbelt","Chingola","groundnuts",1
"120","Copperbelt","Chingola","maize",1
"121","Copperbelt","Chingola","millet",0.142857142857143
"122","Copperbelt","Chingola","other",0.714285714285714
"123","Copperbelt","Chingola","pigeon_peas",0.142857142857143
"124","Copperbelt","Chingola","sorghum",0.142857142857143
"125","Copperbelt","Chingola","soya_beans",0.857142857142857
"126","Copperbelt","Chingola","sunflower",0.285714285714286
"127","Copperbelt","Chingola","sweet_potato",0.857142857142857
"128","Copperbelt","Kalulushi","cassava",0.666666666666667
"129","Copperbelt","Kalulushi","groundnuts",1
"130","Copperbelt","Kalulushi","maize",1
"131","Copperbelt","Kalulushi","other",0.833333333333333
"132","Copperbelt","Kalulushi","soya_beans",0.5
"133","Copperbelt","Kalulushi","sunflower",0.166666666666667
"134","Copperbelt","Kalulushi","sweet_potato",1
"135","Copperbelt","Kitwe","cassava",0.833333333333333
"136","Copperbelt","Kitwe","groundnuts",1
"137","Copperbelt","Kitwe","maize",1
"138","Copperbelt","Kitwe","other",0.666666666666667
"139","Copperbelt","Kitwe","sorghum",0.166666666666667
"140","Copperbelt","Kitwe","soya_beans",0.833333333333333
"141","Copperbelt","Kitwe","sweet_potato",1
"142","Copperbelt","Luanshya","cassava",1
"143","Copperbelt","Luanshya","groundnuts",0.833333333333333
"144","Copperbelt","Luanshya","maize",1
"145","Copperbelt","Luanshya","other",0.166666666666667
"146","Copperbelt","Luanshya","sorghum",0.833333333333333
"147","Copperbelt","Luanshya","soya_beans",1
"148","Copperbelt","Luanshya","sunflower",0.166666666666667
"149","Copperbelt","Luanshya","sweet_potato",0.833333333333333
"150","Copperbelt","Lufwanyama","cassava",0.571428571428571
"151","Copperbelt","Lufwanyama","groundnuts",0.857142857142857
"152","Copperbelt","Lufwanyama","maize",1
"153","Copperbelt","Lufwanyama","millet",0.142857142857143
"154","Copperbelt","Lufwanyama","other",0.142857142857143
"155","Copperbelt","Lufwanyama","pigeon_peas",0.142857142857143
"156","Copperbelt","Lufwanyama","sorghum",0.714285714285714
"157","Copperbelt","Lufwanyama","soya_beans",0.857142857142857
"158","Copperbelt","Lufwanyama","sunflower",0.142857142857143
"159","Copperbelt","Lufwanyama","sweet_potato",0.714285714285714
"160","Copperbelt","Masaiti","cassava",0.571428571428571
"161","Copperbelt","Masaiti","groundnuts",1
"162","Copperbelt","Masaiti","maize",1
"163","Copperbelt","Masaiti","pigeon_peas",0.142857142857143
"164","Copperbelt","Masaiti","sorghum",0.571428571428571
"165","Copperbelt","Masaiti","soya_beans",0.714285714285714
"166","Copperbelt","Masaiti","sweet_potato",0.714285714285714
"167","Copperbelt","Mpongwe","cassava",0.166666666666667
"168","Copperbelt","Mpongwe","groundnuts",0.666666666666667
"169","Copperbelt","Mpongwe","maize",1
"170","Copperbelt","Mpongwe","other",0.166666666666667
"171","Copperbelt","Mpongwe","sorghum",0.333333333333333
"172","Copperbelt","Mpongwe","soya_beans",1
"173","Copperbelt","Mpongwe","sunflower",0.166666666666667
"174","Copperbelt","Mpongwe","sweet_potato",0.166666666666667
"175","Copperbelt","Mufulira","cassava",0.666666666666667
"176","Copperbelt","Mufulira","groundnuts",0.833333333333333
"177","Copperbelt","Mufulira","maize",1
"178","Copperbelt","Mufulira","millet",0.166666666666667
"179","Copperbelt","Mufulira","pigeon_peas",0.166666666666667
"180","Copperbelt","Mufulira","sorghum",0.666666666666667
"181","Copperbelt","Mufulira","soya_beans",0.5
"182","Copperbelt","Mufulira","sweet_potato",0.5
"183","Copperbelt","Mufulira","wheat",0.166666666666667
"184","Copperbelt","Ndola","cassava",0.5
"185","Copperbelt","Ndola","groundnuts",1
"186","Copperbelt","Ndola","maize",1
"187","Copperbelt","Ndola","millet",0.166666666666667
"188","Copperbelt","Ndola","sorghum",0.166666666666667
"189","Copperbelt","Ndola","soya_beans",0.833333333333333
"190","Copperbelt","Ndola","sweet_potato",1
"191","Eastern","Chadiza","cassava",0.333333333333333
"192","Eastern","Chadiza","cotton",0.333333333333333
"193","Eastern","Chadiza","groundnuts",1
"194","Eastern","Chadiza","maize",1
"195","Eastern","Chadiza","other",0.666666666666667
"196","Eastern","Chadiza","soya_beans",1
"197","Eastern","Chadiza","sunflower",1
"198","Eastern","Chadiza","sweet_potato",0.666666666666667
"199","Eastern","Chasefu","cassava",0.166666666666667
"200","Eastern","Chasefu","groundnuts",1
"201","Eastern","Chasefu","maize",1
"202","Eastern","Chasefu","soya_beans",1
"203","Eastern","Chasefu","sunflower",1
"204","Eastern","Chasefu","sweet_potato",0.166666666666667
"205","Eastern","Chipangali","barley",0.5
"206","Eastern","Chipangali","cotton",0.333333333333333
"207","Eastern","Chipangali","groundnuts",1
"208","Eastern","Chipangali","maize",1
"209","Eastern","Chipangali","soya_beans",1
"210","Eastern","Chipangali","sunflower",1
"211","Eastern","Chipata","groundnuts",1
"212","Eastern","Chipata","maize",1
"213","Eastern","Chipata","sorghum",0.333333333333333
"214","Eastern","Chipata","soya_beans",1
"215","Eastern","Chipata","sunflower",0.5
"216","Eastern","Kasenengwa","barley",0.166666666666667
"217","Eastern","Kasenengwa","cassava",0.166666666666667
"218","Eastern","Kasenengwa","cotton",0.666666666666667
"219","Eastern","Kasenengwa","groundnuts",1
"220","Eastern","Kasenengwa","maize",1
"221","Eastern","Kasenengwa","other",0.166666666666667
"222","Eastern","Kasenengwa","soya_beans",1
"223","Eastern","Kasenengwa","sunflower",1
"224","Eastern","Kasenengwa","sweet_potato",0.333333333333333
"225","Eastern","Katete","cotton",0.5
"226","Eastern","Katete","groundnuts",1
"227","Eastern","Katete","maize",1
"228","Eastern","Katete","soya_beans",0.833333333333333
"229","Eastern","Katete","sunflower",0.833333333333333
"230","Eastern","Katete","sweet_potato",0.166666666666667
"231","Eastern","Lumezi","cassava",0.4
"232","Eastern","Lumezi","cotton",0.4
"233","Eastern","Lumezi","groundnuts",1
"234","Eastern","Lumezi","maize",1
"235","Eastern","Lumezi","sorghum",0.2
"236","Eastern","Lumezi","soya_beans",1
"237","Eastern","Lumezi","sunflower",1
"238","Eastern","Lumezi","sweet_potato",0.6
"239","Eastern","Lundazi","cassava",0.2
"240","Eastern","Lundazi","groundnuts",1
"241","Eastern","Lundazi","maize",1
"242","Eastern","Lundazi","millet",0.6
"243","Eastern","Lundazi","soya_beans",0.8
"244","Eastern","Lundazi","sunflower",0.8
"245","Eastern","Lundazi","sweet_potato",0.2
"246","Eastern","Lusangazi","cassava",0.333333333333333
"247","Eastern","Lusangazi","cotton",0.5
"248","Eastern","Lusangazi","groundnuts",1
"249","Eastern","Lusangazi","maize",1
"250","Eastern","Lusangazi","other",0.5
"251","Eastern","Lusangazi","sorghum",0.166666666666667
"252","Eastern","Lusangazi","soya_beans",1
"253","Eastern","Lusangazi","sunflower",1
"254","Eastern","Lusangazi","sweet_potato",0.333333333333333
"255","Eastern","Mambwe","cassava",0.5
"256","Eastern","Mambwe","cotton",1
"257","Eastern","Mambwe","groundnuts",1
"258","Eastern","Mambwe","maize",1
"259","Eastern","Mambwe","millet",0.333333333333333
"260","Eastern","Mambwe","other",0.333333333333333
"261","Eastern","Mambwe","pigeon_peas",0.333333333333333
"262","Eastern","Mambwe","sorghum",0.5
"263","Eastern","Mambwe","soya_beans",0.833333333333333
"264","Eastern","Mambwe","sunflower",1
"265","Eastern","Mambwe","sweet_potato",0.5
"266","Eastern","Nyimba","cassava",0.166666666666667
"267","Eastern","Nyimba","cotton",0.5
"268","Eastern","Nyimba","groundnuts",1
"269","Eastern","Nyimba","maize",1
"270","Eastern","Nyimba","other",0.333333333333333
"271","Eastern","Nyimba","sorghum",0.166666666666667
"272","Eastern","Nyimba","soya_beans",0.666666666666667
"273","Eastern","Nyimba","sunflower",0.666666666666667
"274","Eastern","Nyimba","sweet_potato",0.333333333333333
"275","Eastern","Petauke","cassava",0.333333333333333
"276","Eastern","Petauke","cotton",0.333333333333333
"277","Eastern","Petauke","groundnuts",1
"278","Eastern","Petauke","maize",1
"279","Eastern","Petauke","pigeon_peas",0.166666666666667
"280","Eastern","Petauke","soya_beans",0.833333333333333
"281","Eastern","Petauke","sunflower",1
"282","Eastern","Petauke","sweet_potato",0.333333333333333
"283","Eastern","Sinda","cassava",0.666666666666667
"284","Eastern","Sinda","cotton",0.333333333333333
"285","Eastern","Sinda","groundnuts",1
"286","Eastern","Sinda","maize",1
"287","Eastern","Sinda","other",0.833333333333333
"288","Eastern","Sinda","sorghum",0.5
"289","Eastern","Sinda","soya_beans",1
"290","Eastern","Sinda","sunflower",1
"291","Eastern","Sinda","sweet_potato",0.833333333333333
"292","Eastern","Sinda","wheat",0.166666666666667
"293","Eastern","Vubwi","groundnuts",1
"294","Eastern","Vubwi","maize",1
"295","Eastern","Vubwi","other",0.666666666666667
"296","Eastern","Vubwi","soya_beans",1
"297","Eastern","Vubwi","sunflower",1
"298","Eastern","Vubwi","sweet_potato",0.333333333333333
"299","Luapula","Chembe","cassava",1
"300","Luapula","Chembe","groundnuts",1
"301","Luapula","Chembe","maize",1
"302","Luapula","Chembe","other",0.2
"303","Luapula","Chembe","soya_beans",0.2
"304","Luapula","Chembe","sweet_potato",0.4
"305","Luapula","Chfunabuli","cassava",1
"306","Luapula","Chfunabuli","groundnuts",1
"307","Luapula","Chfunabuli","maize",1
"308","Luapula","Chfunabuli","millet",0.166666666666667
"309","Luapula","Chfunabuli","other",0.5
"310","Luapula","Chfunabuli","soya_beans",0.666666666666667
"311","Luapula","Chfunabuli","sweet_potato",1
"312","Luapula","Chiengi","cassava",1
"313","Luapula","Chiengi","groundnuts",1
"314","Luapula","Chiengi","maize",1
"315","Luapula","Chiengi","other",0.166666666666667
"316","Luapula","Chiengi","pigeon_peas",0.166666666666667
"317","Luapula","Chiengi","sorghum",0.833333333333333
"318","Luapula","Chiengi","soya_beans",0.666666666666667
"319","Luapula","Chiengi","sweet_potato",1
"320","Luapula","Chipili","cassava",1
"321","Luapula","Chipili","groundnuts",1
"322","Luapula","Chipili","maize",1
"323","Luapula","Chipili","millet",0.833333333333333
"324","Luapula","Chipili","other",0.5
"325","Luapula","Chipili","pigeon_peas",0.166666666666667
"326","Luapula","Chipili","soya_beans",0.5
"327","Luapula","Chipili","sweet_potato",0.666666666666667
"328","Luapula","Kawambwa","cassava",1
"329","Luapula","Kawambwa","groundnuts",1
"330","Luapula","Kawambwa","maize",1
"331","Luapula","Kawambwa","millet",0.833333333333333
"332","Luapula","Kawambwa","other",0.666666666666667
"333","Luapula","Kawambwa","sweet_potato",0.5
"334","Luapula","Lunga","cassava",1
"335","Luapula","Lunga","maize",0.8
"336","Luapula","Lunga","other",1
"337","Luapula","Lunga","sweet_potato",0.6
"338","Luapula","Mansa","cassava",1
"339","Luapula","Mansa","groundnuts",1
"340","Luapula","Mansa","maize",1
"341","Luapula","Mansa","millet",0.666666666666667
"342","Luapula","Mansa","other",0.5
"343","Luapula","Mansa","sorghum",0.333333333333333
"344","Luapula","Mansa","soya_beans",0.666666666666667
"345","Luapula","Mansa","sweet_potato",1
"346","Luapula","Milenge","cassava",1
"347","Luapula","Milenge","groundnuts",1
"348","Luapula","Milenge","maize",1
"349","Luapula","Milenge","millet",0.666666666666667
"350","Luapula","Milenge","other",0.833333333333333
"351","Luapula","Milenge","sorghum",0.833333333333333
"352","Luapula","Milenge","soya_beans",0.833333333333333
"353","Luapula","Milenge","sweet_potato",1
"354","Luapula","Mwansabombwe","cassava",1
"355","Luapula","Mwansabombwe","groundnuts",1
"356","Luapula","Mwansabombwe","maize",1
"357","Luapula","Mwansabombwe","other",0.6
"358","Luapula","Mwansabombwe","sorghum",0.2
"359","Luapula","Mwansabombwe","soya_beans",0.6
"360","Luapula","Mwansabombwe","sweet_potato",1
"361","Luapula","Mwense","barley",0.2
"362","Luapula","Mwense","cassava",1
"363","Luapula","Mwense","groundnuts",0.8
"364","Luapula","Mwense","maize",1
"365","Luapula","Mwense","other",1
"366","Luapula","Mwense","pigeon_peas",0.2
"367","Luapula","Mwense","sorghum",0.2
"368","Luapula","Mwense","soya_beans",0.6
"369","Luapula","Mwense","sweet_potato",1
"370","Luapula","Nchelenge","cassava",1
"371","Luapula","Nchelenge","groundnuts",1
"372","Luapula","Nchelenge","maize",1
"373","Luapula","Samfya","cassava",1
"374","Luapula","Samfya","groundnuts",1
"375","Luapula","Samfya","maize",1
"376","Luapula","Samfya","millet",0.166666666666667
"377","Luapula","Samfya","other",0.666666666666667
"378","Luapula","Samfya","sorghum",0.333333333333333
"379","Luapula","Samfya","soya_beans",0.333333333333333
"380","Luapula","Samfya","sunflower",0.166666666666667
"381","Luapula","Samfya","sweet_potato",0.833333333333333
"382","Lusaka","Chilanga","cassava",0.166666666666667
"383","Lusaka","Chilanga","cotton",0.166666666666667
"384","Lusaka","Chilanga","groundnuts",0.666666666666667
"385","Lusaka","Chilanga","maize",1
"386","Lusaka","Chilanga","soya_beans",0.333333333333333
"387","Lusaka","Chilanga","sunflower",0.166666666666667
"388","Lusaka","Chilanga","sweet_potato",0.333333333333333
"389","Lusaka","Chirundu","cassava",0.285714285714286
"390","Lusaka","Chirundu","groundnuts",0.428571428571429
"391","Lusaka","Chirundu","maize",1
"392","Lusaka","Chirundu","millet",0.285714285714286
"393","Lusaka","Chirundu","other",0.428571428571429
"394","Lusaka","Chirundu","sorghum",0.571428571428571
"395","Lusaka","Chirundu","soya_beans",0.428571428571429
"396","Lusaka","Chirundu","sunflower",0.142857142857143
"397","Lusaka","Chirundu","sweet_potato",0.428571428571429
"398","Lusaka","Chongwe","groundnuts",1
"399","Lusaka","Chongwe","maize",1
"400","Lusaka","Chongwe","other",0.166666666666667
"401","Lusaka","Chongwe","soya_beans",0.666666666666667
"402","Lusaka","Chongwe","sunflower",0.166666666666667
"403","Lusaka","Chongwe","sweet_potato",1
"404","Lusaka","Kafue","groundnuts",0.833333333333333
"405","Lusaka","Kafue","maize",1
"406","Lusaka","Kafue","sorghum",0.666666666666667
"407","Lusaka","Kafue","soya_beans",1
"408","Lusaka","Kafue","sunflower",0.166666666666667
"409","Lusaka","Kafue","sweet_potato",0.666666666666667
