"","Decad","var","province","cnt.total","year","decad.name"
"1",1,"planting_end","Central",36,"2021",2022-01-01
"2",2,"planting_end","Central",29,"2021",2022-01-11
"3",4,"planting_end","Central",3,"2021",2022-02-01
"4",5,"planting_end","Central",3,"2021",2022-02-11
"5",6,"planting_end","Central",1,"2021",2022-02-21
"6",31,"planting_end","Central",1,"2021",2021-11-02
"7",35,"planting_end","Central",12,"2021",2021-12-12
"8",36,"planting_end","Central",16,"2021",2021-12-22
"9",3,"planting_end","Central",0,"2021",2022-01-21
"10",7,"planting_end","Central",0,"2021",2022-03-02
"11",8,"planting_end","Central",0,"2021",2022-03-12
"12",9,"planting_end","Central",0,"2021",2022-03-22
"13",10,"planting_end","Central",0,"2021",2022-04-02
"14",11,"planting_end","Central",0,"2021",2022-04-12
"15",12,"planting_end","Central",0,"2021",2022-04-22
"16",13,"planting_end","Central",0,"2021",2022-05-02
"17",14,"planting_end","Central",0,"2021",2022-05-12
"18",15,"planting_end","Central",0,"2021",2022-05-22
"19",16,"planting_end","Central",0,"2021",2022-06-02
"20",17,"planting_end","Central",0,"2021",2022-06-12
"21",18,"planting_end","Central",0,"2021",2022-06-22
"22",19,"planting_end","Central",0,"2021",2022-07-02
"23",20,"planting_end","Central",0,"2021",2022-07-12
"24",21,"planting_end","Central",0,"2021",2022-07-22
"25",22,"planting_end","Central",0,"2021",2022-08-02
"26",23,"planting_end","Central",0,"2021",2022-08-12
"27",24,"planting_end","Central",0,"2021",2022-08-22
"28",25,"planting_end","Central",0,"2021",2021-09-02
"29",26,"planting_end","Central",0,"2021",2021-09-12
"30",27,"planting_end","Central",0,"2021",2021-09-22
"31",28,"planting_end","Central",0,"2021",2021-10-02
"32",29,"planting_end","Central",0,"2021",2021-10-12
"33",30,"planting_end","Central",0,"2021",2021-10-22
"34",32,"planting_end","Central",0,"2021",2021-11-12
"35",33,"planting_end","Central",0,"2021",2021-11-22
"36",34,"planting_end","Central",0,"2021",2021-12-02
"37",1,"planting_end","Copperbelt",28,"2021",2022-01-01
"38",2,"planting_end","Copperbelt",27,"2021",2022-01-11
"39",3,"planting_end","Copperbelt",2,"2021",2022-01-21
"40",5,"planting_end","Copperbelt",1,"2021",2022-02-11
"41",6,"planting_end","Copperbelt",2,"2021",2022-02-21
"42",32,"planting_end","Copperbelt",1,"2021",2021-11-12
"43",33,"planting_end","Copperbelt",4,"2021",2021-11-22
"44",34,"planting_end","Copperbelt",4,"2021",2021-12-02
"45",35,"planting_end","Copperbelt",13,"2021",2021-12-12
"46",36,"planting_end","Copperbelt",31,"2021",2021-12-22
"47",4,"planting_end","Copperbelt",0,"2021",2022-02-01
"48",7,"planting_end","Copperbelt",0,"2021",2022-03-02
"49",8,"planting_end","Copperbelt",0,"2021",2022-03-12
"50",9,"planting_end","Copperbelt",0,"2021",2022-03-22
"51",10,"planting_end","Copperbelt",0,"2021",2022-04-02
"52",11,"planting_end","Copperbelt",0,"2021",2022-04-12
"53",12,"planting_end","Copperbelt",0,"2021",2022-04-22
"54",13,"planting_end","Copperbelt",0,"2021",2022-05-02
"55",14,"planting_end","Copperbelt",0,"2021",2022-05-12
"56",15,"planting_end","Copperbelt",0,"2021",2022-05-22
"57",16,"planting_end","Copperbelt",0,"2021",2022-06-02
"58",17,"planting_end","Copperbelt",0,"2021",2022-06-12
"59",18,"planting_end","Copperbelt",0,"2021",2022-06-22
"60",19,"planting_end","Copperbelt",0,"2021",2022-07-02
"61",20,"planting_end","Copperbelt",0,"2021",2022-07-12
"62",21,"planting_end","Copperbelt",0,"2021",2022-07-22
"63",22,"planting_end","Copperbelt",0,"2021",2022-08-02
"64",23,"planting_end","Copperbelt",0,"2021",2022-08-12
"65",24,"planting_end","Copperbelt",0,"2021",2022-08-22
"66",25,"planting_end","Copperbelt",0,"2021",2021-09-02
"67",26,"planting_end","Copperbelt",0,"2021",2021-09-12
"68",27,"planting_end","Copperbelt",0,"2021",2021-09-22
