gid,province,district,sum_early_first,sum_early_last,sum_late_first,sum_late_last,roll_early_first,roll_early_last,roll_late_first,roll_late_last,sm_first,sm_last,ndvi_month,excess_early_first,excess_early_last,excess_late_first,excess_late_last,roll_excess_early_first,roll_excess_early_last,roll_excess_late_first,roll_excess_late_last
1,Eastern,Chadiza,32,36,38,42,33,37,37,43,37,43,Mar,32,36,38,42,32,36,38,42
2,Muchinga,Chama,32,36,40,43,33,37,37,43,37,43,Mar,32,36,40,43,32,36,40,43
3,Eastern,Chasefu,32,36,38,42,33,37,37,43,37,43,Mar,32,36,38,42,32,36,38,42
4,North_Western,Chavuma,32,37,38,41,33,37,37,43,37,43,Mar,32,37,38,41,32,37,38,41
5,Luapula,Chembe,30,36,37,42,33,37,37,43,37,43,Mar,30,36,37,42,30,36,37,42
6,Central,Chibombo,31,36,38,42,33,37,37,43,37,43,Mar,31,36,38,42,31,36,38,42
7,Luapula,Chiengi,30,36,37,42,33,37,37,43,37,43,Mar,30,36,37,42,30,36,37,42
8,Luapula,Chifunabuli,30,36,37,42,33,37,37,43,37,43,Mar,30,36,37,42,30,36,37,42
9,Southern,Chikankanta,32,38,39,42,33,37,37,43,37,43,Mar,32,38,39,42,32,38,39,42
10,Lusaka,Chilanga,32,38,39,42,33,37,37,43,37,43,Mar,32,38,39,42,32,38,39,42
11,Copperbelt,Chililabombwe,32,36,37,40,33,37,37,43,37,43,Mar,32,36,37,40,32,36,37,40
12,Northern,Chilubi,31,37,38,41,33,37,37,43,37,43,Mar,31,37,38,41,31,37,38,41
13,Copperbelt,Chingola,32,36,37,40,33,37,37,43,37,43,Mar,32,36,37,40,32,36,37,40
14,Muchinga,Chinsali,32,36,40,43,33,37,37,43,37,43,Mar,32,36,40,43,32,36,40,43
15,Eastern,Chipangali,32,36,38,42,33,37,37,43,37,43,Mar,32,36,38,42,32,36,38,42
16,Eastern,Chipata,32,36,38,42,33,37,37,43,37,43,Mar,32,36,38,42,32,36,38,42
17,Luapula,Chipili,30,36,37,42,33,37,37,43,37,43,Mar,30,36,37,42,30,36,37,42
18,Lusaka,Chirundu,32,38,39,42,33,37,37,43,37,43,Mar,32,38,39,42,32,38,39,42
19,Central,Chisamba,31,36,38,42,33,37,37,43,37,43,Mar,31,36,38,42,31,36,38,42
20,Central,Chitambo,31,36,38,42,33,37,37,43,37,43,Mar,31,36,38,42,31,36,38,42
21,Southern,Choma,32,38,39,42,33,37,37,43,37,43,Mar,32,38,39,42,32,38,39,42
22,Lusaka,Chongwe,32,38,39,42,33,37,37,43,37,43,Mar,32,38,39,42,32,38,39,42
23,Southern,Gwembe,32,38,39,42,33,37,37,43,37,43,Mar,32,38,39,42,32,38,39,42
24,North_Western,Ikelenge,32,37,38,41,33,37,37,43,37,43,Mar,32,37,38,41,32,37,38,41
25,Muchinga,Isoka,32,36,40,43,33,37,37,43,37,43,Mar,32,36,40,43,32,36,40,43
26,Central,Itezhi_tezhi,31,36,38,42,33,37,37,43,37,43,Mar,31,36,38,42,31,36,38,42
27,North_Western,Kabompo,32,37,38,41,33,37,37,43,37,43,Mar,32,37,38,41,32,37,38,41
28,Central,Kabwe,31,36,38,42,33,37,37,43,37,43,Mar,31,36,38,42,31,36,38,42
29,Lusaka,Kafue,32,38,39,42,33,37,37,43,37,43,Mar,32,38,39,42,32,38,39,42
30,Western,Kalabo,32,37,38,40,33,37,37,43,37,43,Mar,32,37,38,40,32,37,38,40
31,Southern,Kalomo,32,38,39,42,33,37,37,43,37,43,Mar,32,38,39,42,32,38,39,42
32,Copperbelt,Kalulushi,32,36,37,40,33,37,37,43,37,43,Mar,32,36,37,40,32,36,37,40
33,North_Western,Kalumbila,32,37,38,41,33,37,37,43,37,43,Mar,32,37,38,41,32,37,38,41
34,Muchinga,Kanchibiya,32,36,40,43,33,37,37,43,37,43,Mar,32,36,40,43,32,36,40,43
35,Western,Kaoma,32,37,38,40,33,37,37,43,37,43,Mar,32,37,38,40,32,37,38,40
36,Central,Kapiri_Mposhi,31,36,38,42,33,37,37,43,37,43,Mar,31,36,38,42,31,36,38,42
37,Northern,Kaputa,31,37,38,41,33,37,37,43,37,43,Mar,31,37,38,41,31,37,38,41
