"province","district","Pricing_Scenario","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Southern","Chikankanta","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","696.61","0.00","0.00","0.00","0.00","350.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","296.22","0.00","0.00","0.00","0.00","566.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","447.00","0.00","0.00","337.55","271.49","0.00"
"Lusaka","Chilanga","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","752.81","0.00","0.00","0.00","0.00","384.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","615.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","369.32","0.00","471.58","0.00","619.50","0.00"
"Lusaka","Chirundu","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","507.18","0.00","0.00","0.00","0.00","274.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","498.15","0.00","0.00","0.00","0.00","208.69","0.00","0.00","0.00","0.00","508.37","212.47","553.55","0.00"
"Southern","Choma","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","0.00","224.52","226.35","0.00","0.00","300.44","0.00","0.00","0.00","0.00","0.00","314.38","0.00","271.43","0.00","0.00","0.00","0.00","575.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","657.63","532.65","0.00","0.00"
"Lusaka","Chongwe","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","775.07","0.00","0.00","0.00","0.00","449.36","390.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","211.36","0.00","0.00","0.00","0.00","634.15","0.00","0.00","0.00","0.00","0.00","0.00","744.61","0.00","0.00","0.00","0.00","0.00","0.00"
"Southern","Gwembe","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","648.44","0.00","0.00","0.00","0.00","0.00","237.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","298.41","0.00","0.00","0.00","0.00","530.20","0.00","0.00","0.00","0.00","0.00","0.00","504.34","0.00","0.00","0.00","605.88","328.72","0.00"
"Lusaka","Kafue","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","685.53","0.00","0.00","0.00","0.00","338.48","201.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","504.54","0.00","0.00","0.00","0.00","550.58","0.00","0.00","0.00","0.00","0.00","0.00","600.66","0.00","0.00","284.19","210.06","0.00","0.00"
"Western","Kalabo","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","633.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","493.19","0.00","0.00","0.00","0.00","0.00","1,252.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","825.86","0.00","0.00"
"Southern","Kalomo","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","274.05","0.00","0.00","0.00","0.00","0.00","450.67","0.00","0.00","0.00","0.00","0.00","0.00","240.10","0.00","0.00","0.00","0.00","0.00","608.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,159.01","422.86","0.00","0.00"
"Western","Kaoma","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","372.76","0.00","244.97","0.00","0.00","334.61","319.33","0.00","0.00","0.00","0.00","0.00","0.00","311.17","0.00","0.00","0.00","0.00","225.40","443.65","0.00","0.00","734.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","486.19","0.00","0.00"
"Southern","Kazungula","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","492.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","469.97","0.00","0.00","975.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","425.73","488.11","0.00","0.00"
"Western","Limulunga","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","280.67","310.64","0.00","0.00","248.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","399.17","0.00","0.00","0.00","0.00","0.00","866.42","0.00","0.00","620.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","659.60","0.00","0.00"
"Southern","Livingstone","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","377.47","0.00","0.00","0.00","0.00","0.00","0.00","324.87","0.00","0.00","0.00","0.00","0.00","697.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","877.93","484.14","0.00","0.00"
"Western","Luampa","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","0.00","214.23","0.00","0.00","205.22","340.34","0.00","0.00","0.00","0.00","0.00","0.00","328.77","0.00","0.00","250.50","0.00","0.00","1,226.29","0.00","0.00","214.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","561.87","0.00","0.00"
"Lusaka","Luangwa","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","360.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","240.62","0.00","0.00","321.62","0.00","0.00","0.00","0.00","0.00","315.22","0.00","0.00","0.00","645.31","0.00","0.00","651.86","0.00","369.86","0.00"
"Western","Lukulu","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","484.25","0.00","458.11","0.00","0.00","318.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","343.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","840.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","564.99","0.00","0.00"
"Lusaka","Lusaka","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","831.41","0.00","0.00","0.00","0.00","500.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","259.92","253.36","0.00","0.00","681.12","0.00","0.00","0.00","0.00","0.00","0.00","239.90","0.00","0.00","472.36","0.00","0.00","0.00"
"Southern","Mazabuka","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","683.53","0.00","341.51","0.00","0.00","223.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","560.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","208.62","0.00","350.80","282.42","623.95","0.00"
"Western","Mitete","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","267.50","778.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","381.95","0.00","0.00","256.89","0.00","0.00","0.00","636.88","0.00","497.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","711.03","0.00","0.00"
"Western","Mongu","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","582.43","0.00","0.00","0.00","201.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","320.92","0.00","0.00","0.00","0.00","0.00","1,213.37","0.00","0.00","329.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","675.15","0.00","0.00"
"Southern","Monze","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","646.91","0.00","350.39","0.00","0.00","0.00","293.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","529.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","277.63","0.00","239.11","337.15","589.23","0.00"
"Western","Mulobezi","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","245.96","0.00","0.00","314.78","0.00","0.00","1,320.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","606.22","662.81","0.00"
"Western","Mwandi","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","359.37","0.00","0.00","0.00","0.00","0.00","0.00","259.56","0.00","0.00","390.11","0.00","0.00","1,211.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","647.29","627.68","0.00"
"Western","Nalolo","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","555.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","302.04","0.00","0.00","206.99","0.00","0.00","1,348.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","918.68","0.00","0.00"
"Southern","Namwala","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","635.81","0.00","302.82","0.00","0.00","0.00","367.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","524.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","210.11","0.00","774.04","0.00","392.54","0.00"
"Western","Nkeyema","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","391.26","0.00","0.00","0.00","0.00","316.42","322.03","0.00","0.00","0.00","0.00","0.00","0.00","275.39","0.00","0.00","0.00","0.00","632.89","835.88","0.00","0.00","266.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","372.63","0.00","0.00"
"Southern","Pemba","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","917.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","340.17","0.00","0.00","0.00","0.00","753.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","535.86","380.33","0.00"
"Lusaka","Rufunsa","100 ZMK Premium","0.00","310.96","0.00","0.00","0.00","372.07","0.00","0.00","0.00","0.00","382.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","340.40","0.00","0.00","0.00","0.00","0.00","558.90","0.00","0.00","0.00","0.00","0.00","0.00","427.71","0.00","0.00","531.03","0.00","391.52","0.00"
"Western","Senanga","100 ZMK Premium","0.00","0.00","0.00","0.00","0.00","0.00","419.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","231.25","0.00","0.00","0.00","0.00","0.00","1,333.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,113.82","0.00","0.00"
