"","year","gid","payout","farmer_bad","hazard","province","district"
"1","1984",1,0.0864935431034482,0,"Drought","Eastern","Chadiza"
"2","1984",2,0.00900151881720429,0,"Drought","Muchinga","Chama"
"3","1984",3,0.094538515625,0,"Drought","Eastern","Chasefu"
"4","1984",4,0.0228088793103447,0,"Drought","North_Western","Chavuma"
"5","1984",5,0,0,"Drought","Luapula","Chembe"
"6","1984",6,0,0,"Drought","Central","Chibombo"
"7","1984",7,0,0,"Drought","Luapula","Chiengi"
"8","1984",8,0,1,"Drought","Luapula","Chifunabuli"
"9","1984",9,0,0,"Drought","Southern","Chikankanta"
"10","1984",10,0,1,"Drought","Lusaka","Chilanga"
"11","1984",11,0.0267977727272727,1,"Drought","Copperbelt","Chililabombwe"
"12","1984",12,0.00375260937499999,1,"Drought","Northern","Chilubi"
"13","1984",13,0,1,"Drought","Copperbelt","Chingola"
"14","1984",14,0,1,"Drought","Muchinga","Chinsali"
"15","1984",15,0.0255934999999999,0,"Drought","Eastern","Chipangali"
"16","1984",16,0.234624008741259,0,"Drought","Eastern","Chipata"
"17","1984",17,0.024637125,1,"Drought","Luapula","Chipili"
"18","1984",18,0,0,"Drought","Lusaka","Chirundu"
"19","1984",19,0,0,"Drought","Central","Chisamba"
"20","1984",20,0.0199841808510638,0,"Drought","Central","Chitambo"
"21","1984",21,0,0,"Drought","Southern","Choma"
"22","1984",22,0,0,"Drought","Lusaka","Chongwe"
"23","1984",23,0,0,"Drought","Southern","Gwembe"
"24","1984",24,0.000730127118644111,0,"Drought","North_Western","Ikelenge"
"25","1984",25,0,0,"Drought","Muchinga","Isoka"
"26","1984",26,0,0,"Drought","Central","Itezhi_tezhi"
"27","1984",27,0.0158004166666667,1,"Drought","North_Western","Kabompo"
"28","1984",28,0,1,"Drought","Central","Kabwe"
"29","1984",29,0.00213998148148144,0,"Drought","Lusaka","Kafue"
"30","1984",30,0,0,"Drought","Western","Kalabo"
"31","1984",31,0.00505760869565217,0,"Drought","Southern","Kalomo"
"32","1984",32,0,0,"Drought","Copperbelt","Kalulushi"
"33","1984",33,0,0,"Drought","North_Western","Kalumbila"
"34","1984",34,0.0123517391304347,0,"Drought","Muchinga","Kanchibiya"
"35","1984",35,0,0,"Drought","Western","Kaoma"
"36","1984",36,0,0,"Drought","Central","Kapiri_Mposhi"
"37","1984",37,0.0413569999999999,0,"Drought","Northern","Kaputa"
"38","1984",38,0,0,"Drought","Northern","Kasama"
"39","1984",39,0,0,"Drought","North_Western","Kasempa"
"40","1984",40,0.0235073979591837,0,"Drought","Eastern","Kasenengwa"
"41","1984",41,0.04611028125,0,"Drought","Eastern","Katete"
"42","1984",42,0.0483687727272727,0,"Drought","Luapula","Kawambwa"
"43","1984",43,0,0,"Drought","Southern","Kazungula"
"44","1984",44,0,0,"Drought","Copperbelt","Kitwe"
"45","1984",45,0.177937338516746,1,"Drought","Muchinga","Lavushimanda"
"46","1984",46,0,1,"Drought","Western","Limulunga"
"47","1984",47,0.031761375,0,"Drought","Southern","Livingstone"
"48","1984",48,0,1,"Drought","Western","Luampa"
"49","1984",49,0,0,"Drought","Lusaka","Luangwa"
"50","1984",50,0.00773809615384617,0,"Drought","Central","Luano"
"51","1984",51,0,0,"Drought","Copperbelt","Luanshya"
"52","1984",52,0,0,"Drought","Copperbelt","Lufwanyama"
"53","1984",53,0,0,"Drought","Western","Lukulu"
"54","1984",54,0.0139739393939394,0,"Drought","Eastern","Lumezi"
"55","1984",55,0.171324942185008,0,"Drought","Eastern","Lundazi"
"56","1984",56,0,0,"Drought","Luapula","Lunga"
"57","1984",57,0.0261107840909092,0,"Drought","Northern","Lunte"
"58","1984",58,0.00979632258064513,0,"Drought","Northern","Lupososhi"
"59","1984",59,0,0,"Drought","Lusaka","Lusaka"
"60","1984",60,0.162022848484849,0,"Drought","Eastern","Lusangazi"
"61","1984",61,0.00945939843749999,1,"Drought","Northern","Luwingu"
"62","1984",62,0.0866096323529412,0,"Drought","Muchinga","Mafinga"
"63","1984",63,0.0193579633540372,0,"Drought","Eastern","Mambwe"
"64","1984",64,0,1,"Drought","Luapula","Mansa"
"65","1984",65,0.0116058620689656,0,"Drought","North_Western","Manyinga"
"66","1984",66,0,0,"Drought","Copperbelt","Masaiti"
"67","1984",67,0,0,"Drought","Southern","Mazabuka"
"68","1984",68,0.0752183416666665,0,"Drought","Northern","Mbala"
"69","1984",69,0,0,"Drought","Luapula","Milengi"
"70","1984",70,0,0,"Drought","Western","Mitete"
"71","1984",71,0,0,"Drought","Central","Mkushi"
"72","1984",72,0,0,"Drought","Western","Mongu"
"73","1984",73,0,1,"Drought","Southern","Monze"
"74","1984",74,0.18949944047619,0,"Drought","Muchinga","Mpika"
"75","1984",75,0,1,"Drought","Copperbelt","Mpongwe"
"76","1984",76,0.0984552596153847,1,"Drought","Northern","Mporokoso"
"77","1984",77,0.01425315625,1,"Drought","Northern","Mpulungu"
"78","1984",78,0,0,"Drought","Copperbelt","Mufulira"
"79","1984",79,0,0,"Drought","North_Western","Mufumbwe"
"80","1984",80,0,1,"Drought","Western","Mulobezi"
"81","1984",81,0,0,"Drought","Central","Mumbwa"
"82","1984",82,0,1,"Drought","Northern","Mungwi"
"83","1984",83,0,0,"Drought","North_Western","Mushindano"
"84","1984",84,0.00397287037037033,1,"Drought","Western","Mwandi"
"85","1984",85,0.0334093548387098,0,"Drought","Luapula","Mwansabombwe"
"86","1984",86,0,0,"Drought","Luapula","Mwense"
"87","1984",87,0,0,"Drought","North_Western","Mwinilunga"
"88","1984",88,0,0,"Drought","Muchinga","Nakonde"
"89","1984",89,0,0,"Drought","Western","Nalolo"
"90","1984",90,0.00311473214285713,0,"Drought","Southern","Namwala"
"91","1984",91,0,0,"Drought","Luapula","Nchelenge"
"92","1984",92,0,0,"Drought","Copperbelt","Ndola"
"93","1984",93,0,0,"Drought","Central","Ngabwe"
"94","1984",94,0,1,"Drought","Western","Nkeyema"
"95","1984",95,0.0303963636363637,1,"Drought","Northern","Nsama"
"96","1984",96,0,0,"Drought","Eastern","Nyimba"
"97","1984",97,0,0,"Drought","Southern","Pemba"
"98","1984",98,0.161592715544872,0,"Drought","Eastern","Petauke"
"99","1984",99,0,0,"Drought","Lusaka","Rufunsa"
"100","1984",100,0,1,"Drought","Luapula","Samfya"
"101","1984",101,0,1,"Drought","Western","Senanga"
"102","1984",102,0,0,"Drought","Northern","Senga_Hill"
"103","1984",103,0.0121398989361702,0,"Drought","Central","Serenje"
"104","1984",104,0,0,"Drought","Western","Sesheke"
"105","1984",105,0,0,"Drought","Western","Shangombo"
"106","1984",106,0,0,"Drought","Central","Shibuyunji"
"107","1984",107,0.090035,0,"Drought","Muchinga","Shiwang_andu"
"108","1984",108,0,0,"Drought","Southern","Siavonga"
"109","1984",109,0,0,"Drought","Western","Sikongo"
"110","1984",110,0.00377906250000004,0,"Drought","Southern","Sinazongwe"
"111","1984",111,0.189253839285714,0,"Drought","Eastern","Sinda"
"112","1984",112,0,0,"Drought","Western","Sioma"
"113","1984",113,0,0,"Drought","North_Western","Solwezi"
"114","1984",114,0.308877774545455,0,"Drought","Eastern","Vubwi"
"115","1984",115,0,0,"Drought","North_Western","Zambezi"
"116","1984",116,0,0,"Drought","Southern","Zimba"
"117","1985",1,0.00593280487804882,0,"Drought","Eastern","Chadiza"
"118","1985",2,0,0,"Drought","Muchinga","Chama"
"119","1985",3,0.0388319626623377,0,"Drought","Eastern","Chasefu"
"120","1985",4,0.00745594827586209,1,"Drought","North_Western","Chavuma"
"121","1985",5,0.00717070161290312,0,"Drought","Luapula","Chembe"
"122","1985",6,0,0,"Drought","Central","Chibombo"
"123","1985",7,0.0336310416666666,0,"Drought","Luapula","Chiengi"
"124","1985",8,0.00953816964285714,1,"Drought","Luapula","Chifunabuli"
"125","1985",9,0.0109830263157895,0,"Drought","Southern","Chikankanta"
"126","1985",10,0.0812561973684211,0,"Drought","Lusaka","Chilanga"
"127","1985",11,0.103258703703704,0,"Drought","Copperbelt","Chililabombwe"
"128","1985",12,0,1,"Drought","Northern","Chilubi"
