Case_ID,Farm_Polygon,Crop_Type,Planting_Date,Harvesting_date,crop_condition,season,Intercropping,inter_with_which_crop,ADM0(Country),ADM1,ADM2,Final_Weight,Yield(Mt/ha),,,,,,,,,,,,
0008712b-ac62-47f0-8eb7-063c82d82da3,"MULTIPOLYGON (((31.5188203920061 -8.8304333305516,31.5186139226193 -8.83034506882901,31.5188188159039 -8.83005191382184,31.5189937632469 -8.83012283842035,31.5188203920061 -8.8304333305516)))",groundnuts,2021-12-17,2022-07-21,good,Main Season,no,,Zambia,Mbala,Kawimbe,2.38,0.60,,,,,,,,,,,,
002834de-6920-4026-9333-25c00ee22cb1,"MULTIPOLYGON (((31.4136657415866 -14.2100808303286,31.4136821983173 -14.2098956921074,31.4138138521635 -14.2098531788862,31.4137905384616 -14.2100863159055,31.4136657415866 -14.2100808303286)))",groundnuts,2021-12-01,2022-06-14,below_average,Main Season,no,,Zambia,Nyimba,Mchimdzi,2.79,0.70,,,,,,,,,,,,
0038714a-9caf-4deb-9a95-7e125b275834,"MULTIPOLYGON (((29.1004660887359 -10.728674383732,29.1004839426769 -10.7287940441838,29.1003538639633 -10.7288297543618,29.1003181560812 -10.7288410312592,29.1002991170989 -10.7286985635563,29.1004660887359 -10.728674383732)))",groundnuts,2021-12-04,2022-06-08,below_average,Main Season,yes,maize,Zambia,Chipili,Mupeta,1.42,0.36,,,,,,,,,,,,
0041b669-24b3-4466-82b7-ffff143620ea,"MULTIPOLYGON (((26.2341967523227 -12.3903124396405,26.2342368138006 -12.390096973854,26.234425211021 -12.3901857587509,26.2344187145652 -12.3904326240743,26.2341967523227 -12.3903124396405)))",maize,2021-12-10,2022-07-24,good,Main Season,no,,Zambia,Kalumbila,Mumena,7.43,1.86,,,,,,,,,,,,
0054718e-47ca-4b17-b9e6-ddcfa0d4b83d,"MULTIPOLYGON (((27.2881222 -16.5467174,27.2881892490642 -16.546007374808,27.2892058028311 -16.5460185457285,27.2893621957184 -16.5468228520057,27.2881222 -16.5467174)))",maize,2021-12-29,2022-05-28,average,Main Season,no,,Zambia,Pemba,Kasiya,8.18,2.05,,,,,,,,,,,,
005edc63-fb63-4b0c-b7ec-e785143fc869,"MULTIPOLYGON (((27.6890303 -12.5294266,27.6892607 -12.5297085,27.6890175 -12.5298295,27.6887007 -12.5295733,27.6890303 -12.5294266)))",maize,2021-12-17,2022-06-14,good,Main Season,no,,Zambia,Chingola,Ipafu,36.71,9.18,,,,,,,,,,,,
0060a8f2-8843-467b-872b-3654214d57ab,"MULTIPOLYGON (((29.3722084903345 -14.3831057952756,29.3726065432529 -14.3829116199623,29.3726895902647 -14.3831501781806,29.3723782929453 -14.3833085894149,29.3722084903345 -14.3831057952756)))",soybeans,2021-11-03,2022-05-03,below_average,Main Season,no,,Zambia,Luano,Old Mkushi,6.63,1.66,,,,,,,,,,,,
006f6a69-3067-454b-8f91-8578a68a4744,"MULTIPOLYGON (((26.6904816133568 -17.1626273711329,26.6901854768836 -17.1626794934617,26.6899568803078 -17.161798375935,26.6902270398974 -17.1617388072751,26.6904816133568 -17.1626273711329)))",groundnuts,2021-12-26,2022-05-04,average,Main Season,no,,Zambia,Kalomo,Sikweya,0.39,0.10,,,,,,,,,,,,
007cca98-57ca-4651-939e-e560af572137,"MULTIPOLYGON (((26.8224609737821 -16.274583764659,26.82244200124 -16.274739339504,26.8216034148804 -16.2746406822852,26.8217172501329 -16.2742915875111,26.8224761518158 -16.2744016282551,26.8224609737821 -16.274583764659)))",groundnuts,2021-12-25,2022-05-15,average,Main Season,yes,other,Zambia,Choma,Simaubi,0.77,0.19,,,,,,,,,,,,
0097c4ac-21d7-4a24-a55b-3fd9235faf84,"MULTIPOLYGON (((23.0994090719271 -14.4558385333493,23.0994813072221 -14.4555443386246,23.0998509819666 -14.45555462516,23.0998722276416 -14.4559023097767,23.0995599162195 -14.4558529344796,23.0994090719271 -14.4558385333493)))",maize,2021-11-20,2022-05-08,good,Main Season,no,,Zambia,Mitete,Lubelele,4.09,1.02,,,,,,,,,,,,
009b8efb-2a0f-489f-be8e-02a4bfc99ee4,"MULTIPOLYGON (((30.6510733 -12.9163733,30.6507483 -12.9163867,30.65083 -12.9160483,30.6512183 -12.9160567,30.6510733 -12.9163733)))",soybeans,2021-12-27,2022-05-11,good,Main Season,no,,Zambia,Chitambo,Chitambo,3.32,0.83,,,,,,,,,,,,
