year,Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North_Western,Northern,Southern,Western
1983,38,38,38,38,38,38,38,38,38,38
1984,38,38,38,38,38,38,38,38,38,38
1985,38,38,38,38,38,38,38,38,38,38
1986,38,38,38,38,38,38,38,38,38,38
1987,24,21,20,9,2,19,13,13,19,14
1988,33,32,29,23,20,34,21,33,34,34
1989,32,14,24,26,21,21,22,1,28,32
1990,19,34,5,19,9,10,9,17,9,25
1991,30,33,11,11,11,18,27,14,12,28
1992,7,4,1,17,3,1,8,12,1,3
1993,34,28,34,22,32,33,16,18,33,29
1994,2,8,9,32,5,12,18,24,16,21
1995,8,9,12,15,4,9,19,21,6,16
1996,22,15,25,21,27,26,20,22,30,33
1997,6,2,10,13,12,11,12,15,21,24
1998,18,1,8,1,10,4,2,5,10,6
1999,1,12,16,10,14,8,4,7,15,12
2000,12,3,17,3,7,13,6,2,25,31
2001,10,13,6,2,19,7,1,3,22,9
2002,5,6,7,7,15,3,3,4,3,5
2003,23,18,3,5,34,15,10,8,7,20
2004,26,22,18,8,31,23,15,9,26,23
2005,4,7,2,4,6,2,5,6,5,4
2006,27,19,15,14,26,22,17,10,20,11
2007,27,11,4,6,24,14,7,11,13,7
2008,13,5,13,12,8,6,11,16,4,2
2009,15,10,14,16,18,16,14,23,18,10
2010,31,24,27,18,30,31,24,29,32,30
2011,21,30,26,31,23,29,25,34,31,27
2012,25,27,30,30,29,30,32,30,27,18
2013,17,26,28,25,25,24,28,27,14,17
2014,29,29,32,33,33,32,30,31,29,19
2015,9,17,22,28,17,20,34,28,8,8
2016,20,31,23,34,28,27,33,26,17,26
2017,14,20,33,29,22,28,23,32,24,15
2018,11,16,19,27,13,17,26,25,23,13
2019,3,23,21,24,1,5,29,19,2,1
2020,16,25,31,20,16,25,31,19,11,22
2021,38,38,38,38,38,38,38,38,38,38
